# Matter power spectrum P(k) at redshift z=0
# for k=5.25106e-06 to 1.63516 h/Mpc,
# number of wavenumbers equal to 531
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       5.251063378143e-06       4.166633484940e+02 
       1.466844715085e-05       1.119124444305e+03 
       2.410013492096e-05       1.803883350775e+03 
       3.355967110391e-05       2.479673748661e+03 
       4.306070415344e-05       3.150325315429e+03 
       5.261705172017e-05       3.818226188246e+03 
       6.224276682753e-05       4.485136418689e+03 
       7.195220555490e-05       5.152487472656e+03 
       8.176009672049e-05       5.821519935691e+03 
       9.168161406183e-05       6.493356403414e+03 
       1.017324514170e-04       7.169044135973e+03 
       1.119289014159e-04       7.849582011374e+03 
       1.222879381958e-04       8.535938638628e+03 
       1.328273046567e-04       9.229065161509e+03 
       1.435656047712e-04       9.929904694148e+03 
       1.545224014519e-04       1.063939951099e+04 
       1.657183204622e-04       1.135849666423e+04 
       1.771751608200e-04       1.208815244081e+04 
       1.889160120934e-04       1.282933591116e+04 
       2.009653789071e-04       1.358303171785e+04 
       2.133493128695e-04       1.435024218069e+04 
       2.260955519768e-04       1.513198874086e+04 
       2.392336673451e-04       1.592931272269e+04 
       2.527952168513e-04       1.674327535217e+04 
       2.668139049107e-04       1.757495693236e+04 
       2.813257471701e-04       1.842545503490e+04 
       2.963692383263e-04       1.929588152199e+04 
       3.119855205800e-04       2.018735816233e+04 
       3.282185493674e-04       2.110101054769e+04 
       3.451152519811e-04       2.203795995320e+04 
       3.627256734601e-04       2.299931271714e+04 
       3.811031027163e-04       2.398614664875e+04 
       4.003041702568e-04       2.499949391387e+04 
       4.203889071166e-04       2.604031981166e+04 
       4.414207527774e-04       2.710949686047e+04 
       4.634664980355e-04       2.820777368231e+04 
       4.865961471518e-04       2.933573834426e+04 
       5.108826823853e-04       3.049377611083e+04 
       5.364017134769e-04       3.168202200527e+04 
       5.632309951558e-04       3.290030916853e+04 
       5.914497976858e-04       3.414811470355e+04 
       6.211381192517e-04       3.542450541187e+04 
       6.523757349554e-04       3.672808643600e+04 
       6.852410855486e-04       3.805695616497e+04 
       7.198100197209e-04       3.940867073814e+04 
       7.561544164011e-04       4.078022111486e+04 
       7.943407272505e-04       4.216802515897e+04 
       8.344284930443e-04       4.356793683070e+04 
       8.764688992351e-04       4.497527460332e+04 
       9.205034437858e-04       4.638487145510e+04 
       9.665627925517e-04       4.779114848698e+04 
       1.014665892808e-03       4.918821237607e+04 
       1.064819403503e-03       5.056997307197e+04 
       1.117017482168e-03       5.193027347251e+04 
       1.171241944898e-03       5.326301984163e+04 
       1.227462790169e-03       5.456230280216e+04 
       1.285639052558e-03       5.582250359144e+04 
       1.345719931653e-03       5.703838546801e+04 
       1.407646126899e-03       5.820517190700e+04 
       1.471351301874e-03       5.931860955029e+04 
       1.536763601703e-03       6.037500973443e+04 
       1.603807153832e-03       6.137131823022e+04 
       1.672403493569e-03       6.230509610532e+04 
       1.742472869612e-03       6.317454300585e+04 
       1.813935399344e-03       6.397848869359e+04 
       1.886712057411e-03       6.471636076366e+04 
       1.960725492930e-03       6.538813076096e+04 
       2.035900680091e-03       6.599424584090e+04 
       2.112165413677e-03       6.653555415707e+04 
       2.189450665398e-03       6.701323167062e+04 
       2.267690819192e-03       6.742871783823e+04 
       2.346823804293e-03       6.778366617493e+04 
       2.426791144298e-03       6.807989686938e+04 
       2.507537939135e-03       6.831941761139e+04 
       2.589012794994e-03       6.850435872633e+04 
       2.671167715301e-03       6.863694844426e+04 
       2.753957963792e-03       6.871948289672e+04 
       2.837341908774e-03       6.875428870154e+04 
