# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.482630529254e-10       4.435217467639e-15       3.772169073423e-13       0.000000000000e+00       8.761713013505e-09       4.824027799649e-10      -1.970871904622e-12 
    3       1.401637823068e-10       5.702836010962e-15       4.242055070921e-13       0.000000000000e+00       5.422045781561e-09       3.421900977077e-10      -1.493409827137e-12 
    4       1.325353628085e-10       4.953838380434e-15       3.970501417052e-13       0.000000000000e+00       3.772143183218e-09       2.590514763438e-10      -9.798845759141e-13 
    5       1.268133705794e-10       3.325121854899e-15       3.387639600215e-13       0.000000000000e+00       2.813608955735e-09       2.045686294951e-10      -5.474532859948e-13 
    6       1.228721706870e-10       1.874514769437e-15       2.736466340094e-13       0.000000000000e+00       2.196391983205e-09       1.664053213662e-10      -2.282497828142e-13 
    7       1.202812432724e-10       1.020910710866e-15       2.157407588218e-13       0.000000000000e+00       1.771831403634e-09       1.384029497689e-10      -2.392243636626e-14 
    8       1.187461400013e-10       6.597340482717e-16       1.711635737195e-13       0.000000000000e+00       1.464596291564e-09       1.171790544692e-10       8.117686049086e-14 
    9       1.180042238278e-10       5.276125754294e-16       1.412734605982e-13       0.000000000000e+00       1.233507522240e-09       1.007296146495e-10       1.115566475971e-13 
   10       1.177998404613e-10       4.483670613193e-16       1.246857913881e-13       0.000000000000e+00       1.054613331942e-09       8.771271953967e-11       9.446946624973e-14 
   11       1.180785265080e-10       3.762617643726e-16       1.185839141019e-13       0.000000000000e+00       8.885865995999e-10       7.751381448366e-11       5.544203300357e-14 
   12       1.186696703353e-10       3.276293035912e-16       1.197574529330e-13       0.000000000000e+00       7.764513670170e-10       6.851279848489e-11       1.320204906298e-14 
   13       1.195197878189e-10       3.148252527113e-16       1.253717922212e-13       0.000000000000e+00       6.843962401891e-10       6.120625246308e-11      -1.931057298817e-14 
   14       1.205903321693e-10       3.297240680764e-16       1.332578866327e-13       0.000000000000e+00       6.078069185401e-10       5.486732067177e-11      -3.738548690620e-14 
   15       1.218559777730e-10       3.594217523549e-16       1.419822327572e-13       0.000000000000e+00       5.433367899356e-10       4.952770688066e-11      -4.107171820435e-14 
   16       1.232319696009e-10       4.004955957835e-16       1.508809370792e-13       0.000000000000e+00       4.885206669948e-10       4.492069977360e-11      -3.442023058339e-14 
   17       1.247558586723e-10       4.581232244859e-16       1.597538963697e-13       0.000000000000e+00       4.414965490803e-10       4.089760718786e-11      -2.288791660616e-14 
   18       1.263588516712e-10       5.381288089457e-16       1.687091670422e-13       0.000000000000e+00       4.006808801931e-10       3.740068459962e-11      -1.167144780094e-14 
   19       1.280534268122e-10       6.409949224521e-16       1.780203534685e-13       0.000000000000e+00       3.654271385175e-10       3.437455553249e-11      -3.596304998986e-15 
   20       1.298331588202e-10       7.646770508835e-16       1.879579340560e-13       0.000000000000e+00       3.343763086677e-10       3.168273030806e-11      -5.755525225805e-16 
   21       1.316965074342e-10       9.083431778599e-16       1.984573285033e-13       0.000000000000e+00       3.070410364660e-10       2.927494082768e-11      -2.083400995899e-15 
   22       1.336116255699e-10       1.071291778560e-15       2.092613458793e-13       0.000000000000e+00       2.827679279323e-10       2.709511348309e-11      -6.334086400320e-15 
   23       1.355871572364e-10       1.253919240583e-15       2.200269566749e-13       0.000000000000e+00       2.612236449253e-10       2.514104797278e-11      -1.149501347065e-14 
   24       1.376211099704e-10       1.456732791222e-15       2.303423212943e-13       0.000000000000e+00       2.419104851456e-10       2.340124208492e-11      -1.559031617692e-14 
   25       1.397113460260e-10       1.679630650767e-15       2.399321685572e-13       0.000000000000e+00       2.246014946076e-10       2.184559356483e-11      -1.772320500007e-14 
   26       1.418399421723e-10       1.922592823430e-15       2.485580557192e-13       0.000000000000e+00       2.089835784276e-10       2.042480665038e-11      -1.750879911397e-14 
   27       1.440062009682e-10       2.187784103612e-15       2.560687919797e-13       0.000000000000e+00       1.948695319561e-10       1.912797199472e-11      -1.554369966041e-14 
   28       1.462048933530e-10       2.478031610446e-15       2.623722125133e-13       0.000000000000e+00       1.820161850676e-10       1.794695353244e-11      -1.283038525888e-14 
   29       1.484451722949e-10       2.794892956504e-15       2.675257580084e-13       0.000000000000e+00       1.703580484058e-10       1.687817041887e-11      -1.005466845054e-14 
   30       1.507279649087e-10       3.139521295250e-15       2.716740294273e-13       0.000000000000e+00       1.597701077094e-10       1.590863700662e-11      -7.930420235053e-15 
