# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       3.539530026235e-10       3.286119769290e-14       6.531143881483e-13       0.000000000000e+00       4.084995865387e-09       8.911443262208e-10      -4.544510850653e-12 
    3       2.796569513651e-10       2.907622466397e-14       9.025688902464e-13       0.000000000000e+00       2.445156970953e-09       5.759421611513e-10      -2.486667276785e-12 
    4       2.305177713167e-10       1.667130556887e-14       8.445134310423e-13       0.000000000000e+00       1.650702957816e-09       4.048442053061e-10      -7.846888298188e-13 
    5       1.985572859294e-10       8.379633237664e-15       6.641016820391e-13       0.000000000000e+00       1.196020626944e-09       3.003189103842e-10       2.220941475042e-13 
    6       1.778948436859e-10       5.176896942179e-15       4.754652788152e-13       0.000000000000e+00       9.071636186010e-10       2.316553437886e-10       6.201297530466e-13 
    7       1.646264967753e-10       3.946510964085e-15       3.334894053606e-13       0.000000000000e+00       7.110115857044e-10       1.842424396056e-10       6.187772535108e-13 
    8       1.562041950641e-10       2.904170818287e-15       2.480940160563e-13       0.000000000000e+00       5.713001450808e-10       1.501515109939e-10       4.329534572341e-13 
    9       1.511097629366e-10       1.949521698094e-15       2.051631933069e-13       0.000000000000e+00       4.681009939014e-10       1.247585681450e-10       2.226732734005e-13 
   10       1.483173722965e-10       1.296726319814e-15       1.835973726200e-13       0.000000000000e+00       3.896497819877e-10       1.052399499611e-10       7.286351495036e-14 
   11       1.472147458878e-10       9.059716825204e-16       1.665809503627e-13       0.000000000000e+00       3.279182526459e-10       9.061157403403e-11       3.994398126317e-15 
   12       1.474028957774e-10       6.527256243826e-16       1.460932420801e-13       0.000000000000e+00       2.797600345853e-10       7.801020089744e-11      -6.548718376904e-15 
   13       1.486259363700e-10       4.853312900557e-16       1.223622421494e-13       0.000000000000e+00       2.409087930274e-10       6.783314759244e-11       9.340629850322e-15 
   14       1.506428298428e-10       3.959354009472e-16       1.002843862784e-13       0.000000000000e+00       2.091408113314e-10       5.948834077930e-11       2.526559680488e-14 
   15       1.532833286368e-10       3.711640940965e-16       8.523802431167e-14       0.000000000000e+00       1.828561278083e-10       5.257735909507e-11       2.923458217851e-14 
   16       1.565036037327e-10       3.895794257154e-16       7.972590061782e-14       0.000000000000e+00       1.608836320854e-10       4.680690762924e-11       2.200533423997e-14 
   17       1.600896935063e-10       4.293311261374e-16       8.239821758410e-14       0.000000000000e+00       1.423477429252e-10       4.193120708576e-11       1.064335966439e-14 
   18       1.640463936633e-10       4.690019133903e-16       8.963192176013e-14       0.000000000000e+00       1.265229673157e-10       3.772840656059e-11       2.411220730809e-15 
   19       1.683670622161e-10       4.997337004114e-16       9.797513281874e-14       0.000000000000e+00       1.130782053172e-10       3.411925157902e-11      -5.267601355900e-16 
   20       1.729388473239e-10       5.181805141596e-16       1.038488188095e-13       0.000000000000e+00       1.014247239183e-10       3.097358425366e-11       1.771678193012e-15 
   21       1.777607108444e-10       5.329656310328e-16       1.067708617239e-13       0.000000000000e+00       9.133002042964e-11       2.823962037939e-11       6.585228260964e-15 
   22       1.828236068255e-10       5.575171764784e-16       1.075739845650e-13       0.000000000000e+00       8.250494183795e-11       2.584369533910e-11       1.012916836619e-14 
   23       1.881002771452e-10       5.976626813736e-16       1.076052226768e-13       0.000000000000e+00       7.479437727212e-11       2.374301162448e-11       1.148015040458e-14 
   24       1.935324419943e-10       6.561060721245e-16       1.083444288472e-13       0.000000000000e+00       6.798644840091e-11       2.187695229074e-11       1.088587454715e-14 
   25       1.991152217588e-10       7.316190792211e-16       1.098176365915e-13       0.000000000000e+00       6.197755452536e-11       2.021592519373e-11       9.543062495580e-15 
   26       2.048413556236e-10       8.211711033994e-16       1.114014321278e-13       0.000000000000e+00       5.663584491286e-11       1.872399612096e-11       8.934489526503e-15 
   27       2.107016906484e-10       9.227911397868e-16       1.120123232108e-13       0.000000000000e+00       5.187994364141e-11       1.738499692115e-11       9.277282503213e-15 
   28       2.166752794362e-10       1.034614287218e-15       1.105290308057e-13       0.000000000000e+00       4.761049534874e-11       1.617911553537e-11       1.032005514943e-14 
   29       2.227622282519e-10       1.155804211000e-15       1.070988815084e-13       0.000000000000e+00       4.379473093399e-11       1.509821196712e-11       1.163212178014e-14 
   30       2.289546441097e-10       1.285615313998e-15       1.023992697227e-13       0.000000000000e+00       4.038037930829e-11       1.412603877152e-11       1.261737569763e-14 
   31       2.352327172878e-10       1.423451527861e-15       9.719298987472e-14       0.000000000000e+00       3.728398390237e-11       1.323742077671e-11       1.270225501298e-14 
   32       2.415963216252e-10       1.570470351464e-15       9.182240431442e-14       0.000000000000e+00       3.448231293973e-11       1.242625441641e-11       1.199088733434e-14 
   33       2.480422542174e-10       1.728609845296e-15       8.653469173410e-14       0.000000000000e+00       3.194914742066e-11       1.168625714783e-11       1.086283062084e-14 
   34       2.545590550668e-10       1.899862740166e-15       8.149286280840e-14       0.000000000000e+00       2.964125000331e-11       1.100617514881e-11       9.704910064897e-15 
   35       2.611427574859e-10       2.085094319438e-15       7.635445431537e-14       0.000000000000e+00       2.754183512749e-11       1.038115279318e-11       8.536648260320e-15 
   36       2.677846283191e-10       2.284816642971e-15       7.053313335428e-14       0.000000000000e+00       2.562897882727e-11       9.804361067621e-12       7.255234540108e-15 
   37       2.744713364088e-10       2.499455612536e-15       6.346636505139e-14       0.000000000000e+00       2.387187685501e-11       9.266590526971e-12       5.763365682588e-15 
   38       2.812034356587e-10       2.729216687664e-15       5.518835722396e-14       0.000000000000e+00       2.226290930924e-11       8.766819085376e-12       4.075747408097e-15 
   39       2.879816867518e-10       2.974162503922e-15       4.594479165431e-14       0.000000000000e+00       2.079427943659e-11       8.304592790719e-12       2.247595506934e-15 
   40       2.948013319646e-10       3.234238090388e-15       3.604450946994e-14       0.000000000000e+00       1.944835854263e-11       7.876904019273e-12       3.471542172083e-16 
   41       3.016547861115e-10       3.509402089465e-15       2.575413145853e-14       0.000000000000e+00       1.820317335397e-11       7.479362051287e-12      -1.548711733349e-15 
   42       3.085422234852e-10       3.800091866429e-15       1.493120313779e-14       0.000000000000e+00       1.705302692589e-11       7.110712813773e-12      -3.371409663021e-15 
   43       3.154634146856e-10       4.106895752526e-15       3.278248242837e-15       0.000000000000e+00       1.599318289445e-11       6.769405571714e-12      -5.047865150068e-15 
   44       3.224143516903e-10       4.430427763478e-15      -9.561740034190e-15       0.000000000000e+00       1.501372692238e-11       6.452190601126e-12      -6.495339069173e-15 
   45       3.293892850963e-10       4.771320544321e-15      -2.392187626174e-14       0.000000000000e+00       1.410268125505e-11       6.155164694053e-12      -7.639165961587e-15 
   46       3.363884606736e-10       5.130198714143e-15      -3.982294904297e-14       0.000000000000e+00       1.325740462280e-11       5.877592611003e-12      -8.473338947109e-15 
   47       3.434120471260e-10       5.507699699664e-15      -5.718170576534e-14       0.000000000000e+00       1.247591768036e-11       5.619002724701e-12      -9.017282280595e-15 
   48       3.504576826111e-10       5.904482123809e-15      -7.588896633273e-14       0.000000000000e+00       1.175348919934e-11       5.378045242461e-12      -9.299829177840e-15 
   49       3.575202327244e-10       6.321226588979e-15      -9.580818794251e-14       0.000000000000e+00       1.108243716545e-11       5.152427559917e-12      -9.359825083880e-15 
   50       3.645937144342e-10       6.758491944699e-15      -1.168127153401e-13       0.000000000000e+00       1.045422661664e-11       4.939569411049e-12      -9.241726084087e-15 
   51       3.716782450236e-10       7.216236279017e-15      -1.389127813817e-13       0.000000000000e+00       9.866895920354e-12       4.738927945576e-12      -8.979586046560e-15 
   52       3.787745610209e-10       7.694167259572e-15      -1.621604984677e-13       0.000000000000e+00       9.319302459600e-12       4.550192022507e-12      -8.609765756779e-15 
   53       3.858818803398e-10       8.191869410548e-15      -1.866145621489e-13       0.000000000000e+00       8.808913406234e-12       4.372587530428e-12      -8.175916907971e-15 
   54       3.929977621903e-10       8.708798095208e-15      -2.123406363967e-13       0.000000000000e+00       8.331714900098e-12       4.204846613997e-12      -7.729349846714e-15 
   55       4.001192980261e-10       9.244504899850e-15      -2.393980022939e-13       0.000000000000e+00       7.883303033183e-12       4.045578795628e-12      -7.318780900026e-15 
   56       4.072473517730e-10       9.799393137356e-15      -2.677947374732e-13       0.000000000000e+00       7.462682241760e-12       3.894562802475e-12      -6.955749289136e-15 
   57       4.143831275877e-10       1.037413948689e-14      -2.975220771194e-13       0.000000000000e+00       7.069251436486e-12       3.751721754800e-12      -6.641253169969e-15 
   58       4.215268448016e-10       1.096948196906e-14      -3.285670283635e-13       0.000000000000e+00       6.701661068049e-12       3.616734601393e-12      -6.375572309779e-15 
   59       4.286776496901e-10       1.158622294413e-14      -3.609122203612e-13       0.000000000000e+00       6.357768350634e-12       3.489021004316e-12      -6.158222050218e-15 
   60       4.358335272427e-10       1.222523211015e-14      -3.945357543713e-13       0.000000000000e+00       6.034592485389e-12       3.367726223668e-12      -5.987907270401e-15 
   61       4.429922035956e-10       1.288727907941e-14      -4.294182360326e-13       0.000000000000e+00       5.729068568438e-12       3.251956216299e-12      -5.862177063780e-15 
   62       4.501542896352e-10       1.357248041046e-14      -4.655660558910e-13       0.000000000000e+00       5.440608359023e-12       3.141578792331e-12      -5.776402341347e-15 
   63       4.573206896553e-10       1.428073321194e-14      -5.029930921797e-13       0.000000000000e+00       5.169037462365e-12       3.036576282949e-12      -5.724486002748e-15 
   64       4.644916172868e-10       1.501187225035e-14      -5.417140661555e-13       0.000000000000e+00       4.913828315921e-12       2.936804160806e-12      -5.699087538889e-15 
   65       4.716665387004e-10       1.576566754084e-14      -5.817446200636e-13       0.000000000000e+00       4.674080754504e-12       2.841983863883e-12      -5.691567498883e-15 
   66       4.788441158094e-10       1.654182193806e-14      -6.231013951013e-13       0.000000000000e+00       4.448502575406e-12       2.751695619347e-12      -5.691931956989e-15 
   67       4.860221494724e-10       1.733996872702e-14      -6.658021093832e-13       0.000000000000e+00       4.235390103519e-12       2.665371267403e-12      -5.688776979550e-15 
   68       4.931984379115e-10       1.815976514209e-14      -7.098619651155e-13       0.000000000000e+00       4.033042803671e-12       2.582446459370e-12      -5.671891176192e-15 
   69       5.003736809066e-10       1.900120031404e-14      -7.552818504769e-13       0.000000000000e+00       3.841148116144e-12       2.502869103999e-12      -5.640799851114e-15 
   70       5.075490647378e-10       1.986434567992e-14      -8.020578762030e-13       0.000000000000e+00       3.659643600904e-12       2.426681527591e-12      -5.597860314310e-15 
   71       5.147253662459e-10       2.074926461928e-14      -8.501848192239e-13       0.000000000000e+00       3.488299533611e-12       2.353867170851e-12      -5.545769204763e-15 
   72       5.219029194421e-10       2.165601249834e-14      -8.996561067456e-13       0.000000000000e+00       3.326710571691e-12       2.284347488810e-12      -5.487574939084e-15 
   73       5.290815821177e-10       2.258463671422e-14      -9.504638003335e-13       0.000000000000e+00       3.174287420413e-12       2.217978850750e-12      -5.426690160145e-15 
   74       5.362607024540e-10       2.353517673923e-14      -1.002598579994e-12       0.000000000000e+00       3.030248498958e-12       2.154549440128e-12      -5.366904185716e-15 
   75       5.434390856319e-10       2.450766416504e-14      -1.056049728256e-12       0.000000000000e+00       2.893611606499e-12       2.093776154494e-12      -5.312395457100e-15 
