# Matter power spectrum P(k) at redshift z=0
# for k=5.25106e-06 to 1.64096 h/Mpc,
# number of wavenumbers equal to 531
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       5.251063378143e-06       4.166582351642e+02 
       1.467853034883e-05       1.119849607567e+03 
       2.412033918375e-05       1.805310659332e+03 
       3.359007789743e-05       2.481790124773e+03 
       4.310143906167e-05       3.153123002447e+03 
       5.266828531450e-05       3.821700446700e+03 
       6.230471589387e-05       4.489284619322e+03 
       7.202513468948e-05       5.157308654723e+03 
       8.184432030914e-05       5.827014568405e+03 
       9.177749866106e-05       6.499526253576e+03 
       1.018404185592e-04       7.175892199789e+03 
       1.120494308645e-04       7.857112490710e+03 
       1.224215716806e-04       8.544156952286e+03 
       1.329746501227e-04       9.237977987644e+03 
       1.437273411782e-04       9.939520043282e+03 
       1.546992841665e-04       1.064972683139e+04 
       1.659111872857e-04       1.136954698326e+04 
       1.773849386992e-04       1.209993854764e+04 
       1.891437245630e-04       1.284187258763e+04 
       2.012121543133e-04       1.359633602625e+04 
       2.136163934244e-04       1.436433381884e+04 
       2.263843036877e-04       1.514689047679e+04 
       2.395455908609e-04       1.594505092315e+04 
       2.531319592552e-04       1.675988062137e+04 
       2.671772724766e-04       1.759246487903e+04 
       2.817177190774e-04       1.844390718771e+04 
       2.967919813026e-04       1.931532641455e+04 
       3.124414044002e-04       2.020785260992e+04 
       3.287101630908e-04       2.112262113761e+04 
       3.456454207448e-04       2.206076476980e+04 
       3.632974755697e-04       2.302340332021e+04 
       3.817198866777e-04       2.401163032069e+04 
       4.009695712813e-04       2.502649618737e+04 
       4.211068624986e-04       2.606898728612e+04 
       4.421955153945e-04       2.714000031383e+04 
       4.643026470633e-04       2.824031148812e+04 
       4.874985949178e-04       2.937054021396e+04 
       5.118566761328e-04       3.053110720193e+04 
       5.374528306807e-04       3.172218746890e+04 
       5.643651309519e-04       3.294365925458e+04 
       5.926731429760e-04       3.419505059256e+04 
       6.224571281563e-04       3.547548599052e+04 
       6.537970805388e-04       3.678363626104e+04 
       6.867716031637e-04       3.811767485418e+04 
       7.214566379212e-04       3.947524397761e+04 
       7.579240761441e-04       4.085343338876e+04 
       7.962402910262e-04       4.224877421860e+04 
       8.364646465399e-04       4.365724985773e+04 
       8.786480490831e-04       4.507432599681e+04 
       9.228316157201e-04       4.649500212455e+04 
       9.690455347859e-04       4.791388633705e+04 
       1.017308189537e-03       4.932529318967e+04 
       1.067625603062e-03       5.072336024566e+04 
       1.119991243556e-03       5.210217429794e+04 
       1.174386205163e-03       5.345589572923e+04 
       1.230779753713e-03       5.477887137678e+04 
       1.289130201891e-03       5.606573186690e+04 
       1.349386057753e-03       5.731147475517e+04 
       1.411487376189e-03       5.851153612986e+04 
       1.475367236108e-03       5.966184813854e+04 
       1.540953266700e-03       6.075888237486e+04 
       1.608169153053e-03       6.179971441221e+04 
       1.676936062889e-03       6.278201067418e+04 
       1.747173950218e-03       6.370405310410e+04 
       1.818802706356e-03       6.456473067796e+04 
       1.891743142550e-03       6.536350421299e+04 
       1.965917800207e-03       6.610034774795e+04 
       2.041251594042e-03       6.677567552575e+04 
       2.117672300143e-03       6.739026460684e+04 
       2.195110905166e-03       6.794518219168e+04 
       2.273501835045e-03       6.844172580765e+04 
       2.352783082149e-03       6.888138176339e+04 
       2.432896249185e-03       6.926578524290e+04 
       2.513786526732e-03       6.959675463480e+04 
       2.595402619463e-03       6.987622060617e+04 
       2.677696634065e-03       7.010620751609e+04 
       2.760623939835e-03       7.028879941216e+04 
       2.844143010984e-03       7.042609963846e+04 
       2.928215257955e-03       7.052019370563e+04 
       3.012804853494e-03       7.057312224136e+04 
       3.097878557925e-03       7.058686753075e+04 
       3.183405546957e-03       7.056333380451e+04 
       3.269357244475e-03       7.050438151120e+04 
       3.355707161998e-03       7.041186616557e+04 
       3.442430745963e-03       7.028757048931e+04 
       3.529505233484e-03       7.013323013418e+04 
       3.616909516935e-03       6.995052292212e+04 
       3.704624017421e-03       6.974105592322e+04 
       3.792630567014e-03       6.950635502427e+04 
       3.880912299499e-03       6.924786017267e+04 
       3.969453549274e-03       6.896692766492e+04 
       4.058239757997e-03       6.866483907952e+04 
       4.147257388523e-03       6.834281367029e+04 
       4.236493845670e-03       6.800201902193e+04 
       4.325937403359e-03       6.764357654708e+04 
       4.415577137641e-03       6.726856134693e+04 
       4.505402865199e-03       6.687799768175e+04 
       4.595405086882e-03       6.647285248611e+04 
       4.685574935873e-03       6.605403005089e+04 
       4.775904130117e-03       6.562237079088e+04 
       4.866384928661e-03       6.517865599343e+04 
       4.957010091572e-03       6.472361813755e+04 
       5.047772843136e-03       6.425795445515e+04 
       5.138666838061e-03       6.378234026273e+04 
       5.229686130424e-03       6.329743887034e+04 
       5.320825145131e-03       6.280390748789e+04 
       5.412078651672e-03       6.230239511423e+04 
       5.503441739983e-03       6.179351929863e+04 
       5.594909798215e-03       6.127778801855e+04 
       5.686478492276e-03       6.075557444976e+04 
       5.778143746968e-03       6.022726446770e+04 
       5.869901728598e-03       5.969330872800e+04 
       5.961748828938e-03       5.915415307257e+04 
       6.053681650419e-03       5.861020957449e+04 
       6.145696992446e-03       5.806186024008e+04 
       6.237791838760e-03       5.750946358015e+04 
       6.329963345743e-03       5.695335849125e+04 
       6.422208831601e-03       5.639386644371e+04 
       6.514525766336e-03       5.583129288465e+04 
       6.606911762471e-03       5.526592837725e+04 
       6.699364566434e-03       5.469804955645e+04 
       6.791882050575e-03       5.412791995727e+04 
       6.884462205756e-03       5.355579085138e+04 
       6.977103134459e-03       5.298190200968e+04 
       7.069803044392e-03       5.240648234628e+04 
       7.162560242537e-03       5.182975068879e+04 
       7.255373129611e-03       5.125191628825e+04 
       7.348240194915e-03       5.067317944966e+04 
       7.441160011533e-03       5.009373213165e+04 
       7.534131231857e-03       4.951375831310e+04 
       7.627152583416e-03       4.893343465444e+04 
       7.720222864987e-03       4.835293079919e+04 
       7.813340942960e-03       4.777240987155e+04 
       7.906505747955e-03       4.719202885568e+04 
       7.999716271646e-03       4.661193891392e+04 
       8.092971563812e-03       4.603228585328e+04 
       8.186270729564e-03       4.545321028183e+04 
       8.279612926763e-03       4.487484805064e+04 
       8.372997363599e-03       4.429733045912e+04 
       8.466423296329e-03       4.372078453887e+04 
       8.559890027158e-03       4.314533329845e+04 
       8.653396902258e-03       4.257109592620e+04 
       8.746943309907e-03       4.199818807450e+04 
       8.840528678757e-03       4.142672194203e+04 
       8.934152476202e-03       4.085680658531e+04 
       9.027814206853e-03       4.028854798272e+04 
       9.121513411113e-03       3.972204927865e+04 
       9.215249663836e-03       3.915741085344e+04 
       9.309022573076e-03       3.859473052780e+04 
       9.402831778917e-03       3.803410366639e+04 
       9.496676952367e-03       3.747562325417e+04 
       9.590557794341e-03       3.691938010165e+04 
       9.684474034691e-03       3.636546282850e+04 
       9.778425431311e-03       3.581395806914e+04 
       9.872411769295e-03       3.526495045713e+04 
       9.966432860152e-03       3.471852280016e+04 
       1.006048854108e-02       3.417475607109e+04 
       1.015457867426e-02       3.363372952634e+04 
       1.024870314626e-02       3.309552075364e+04 
       1.034286186740e-02       3.256020569923e+04 
       1.043705477122e-02       3.202785879814e+04 
       1.053128181398e-02       3.149855290474e+04 
       1.062554297416e-02       3.097235943604e+04 
       1.071983825207e-02       3.044934836964e+04 
       1.081416766937e-02       2.992958826551e+04 
       1.090853126879e-02       2.941314634125e+04 
       1.100292911371e-02       2.890008842346e+04 
       1.109736128791e-02       2.839047906718e+04 
       1.119182789524e-02       2.788438149181e+04 
       1.128632905941e-02       2.738185766810e+04 
       1.138086492373e-02       2.688296829012e+04 
       1.147543565093e-02       2.638777280145e+04 
       1.157004142294e-02       2.589632943286e+04 
       1.166468244078e-02       2.540869514652e+04 
       1.175935892440e-02       2.492492574791e+04 
       1.185407111257e-02       2.444507579558e+04 
       1.194881926280e-02       2.396919863172e+04 
       1.204360365125e-02       2.349734644228e+04 
       1.213842457267e-02       2.302957019185e+04 
       1.223328234040e-02       2.256591964389e+04 
       1.232817728633e-02       2.210644338090e+04 
       1.242310976090e-02       2.165118877902e+04 
       1.251808013314e-02       2.120020202568e+04 
       1.261308879068e-02       2.075352811587e+04 
       1.270813613983e-02       2.031121081519e+04 
       1.280322260561e-02       1.987329271698e+04 
       1.289834863190e-02       1.943981519526e+04 
       1.299351468148e-02       1.901081838972e+04 
       1.308872123617e-02       1.858634125103e+04 
       1.318396879700e-02       1.816642149925e+04 
       1.327925788428e-02       1.775109559816e+04 
       1.337458903784e-02       1.734039881759e+04 
       1.346996281717e-02       1.693436516350e+04 
       1.356537980161e-02       1.653302739352e+04 
       1.366084059057e-02       1.613641708115e+04 
       1.375634580378e-02       1.574456465353e+04 
       1.385189608148e-02       1.535749780152e+04 
       1.394749208468e-02       1.497524614542e+04 
       1.404313449548e-02       1.459783519289e+04 
       1.413882401730e-02       1.422529012419e+04 
       1.423456137520e-02       1.385763481897e+04 
       1.433034731618e-02       1.349489186870e+04 
       1.442618260952e-02       1.313708253134e+04 
       1.452206804715e-02       1.278422677504e+04 
       1.461800444396e-02       1.243634327285e+04 
       1.471399263820e-02       1.209344934526e+04 
       1.481003349189e-02       1.175556103305e+04 
       1.490612789120e-02       1.142269303314e+04 
       1.500227674688e-02       1.109485872514e+04 
       1.509848099473e-02       1.077207015885e+04 
       1.519474159602e-02       1.045433805676e+04 
       1.529105953799e-02       1.014167180684e+04 
       1.538743583433e-02       9.834079460982e+03 
       1.548387152574e-02       9.531567740152e+03 
       1.558036768037e-02       9.234142025775e+03 
       1.567692539445e-02       8.941806355373e+03 
       1.577354579283e-02       8.654563443252e+03 
       1.587023002958e-02       8.372414661660e+03 
       1.596697928857e-02       8.095360046587e+03 
       1.606379478414e-02       7.823398289416e+03 
       1.616067776173e-02       7.556526773430e+03 
       1.625762949856e-02       7.294741527009e+03 
       1.635465130431e-02       7.038037269152e+03 
       1.645174452189e-02       6.786407392041e+03 
       1.654891052811e-02       6.539843966089e+03 
       1.664615073451e-02       6.298337748473e+03 
       1.674346658813e-02       6.061878185519e+03 
       1.684085957232e-02       5.830453417406e+03 
       1.693833120763e-02       5.604050289961e+03 
       1.703588305261e-02       5.382654355518e+03 
       1.713351670479e-02       5.166249879529e+03 
       1.723123380158e-02       4.954819854561e+03 
       1.732903602121e-02       4.748345999935e+03 
       1.742692508377e-02       4.546808772688e+03 
       1.752490275222e-02       4.350187378605e+03 
       1.762297083344e-02       4.158459785059e+03 
       1.772113117934e-02       3.971602718266e+03 
       1.781938568798e-02       3.789591684725e+03 
       1.791773630478e-02       3.612400975961e+03 
       1.801618502365e-02       3.440003695579e+03 
       1.811473388834e-02       3.272371737861e+03 
       1.821338499364e-02       3.109475826690e+03 
       1.831214048677e-02       2.951285525786e+03 
       1.841100256874e-02       2.797769243349e+03 
       1.850997349578e-02       2.648894243205e+03 
       1.860905558080e-02       2.504626667679e+03 
       1.870825119493e-02       2.364931545332e+03 
       1.880756276910e-02       2.229772805595e+03 
       1.890699279565e-02       2.099113298495e+03 
       1.900654383002e-02       1.972914799190e+03 
       1.910621849252e-02       1.851138032777e+03 
       1.920601947010e-02       1.733742684848e+03 
