# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       3.539496010129e-10       3.285057998102e-14       6.528723433487e-13       0.000000000000e+00       4.085114566623e-09       8.911400241987e-10      -4.544178831767e-12 
    3       2.796567769841e-10       2.905764472986e-14       9.023067004691e-13       0.000000000000e+00       2.445132987894e-09       5.759382238840e-10      -2.485805769702e-12 
    4       2.305199107349e-10       1.664995260856e-14       8.440705183448e-13       0.000000000000e+00       1.650711568345e-09       4.048423113553e-10      -7.837991906421e-13 
    5       1.985621075849e-10       8.361880907152e-15       6.635430284658e-13       0.000000000000e+00       1.196038572313e-09       3.003178225140e-10       2.229617361082e-13 
    6       1.779026783116e-10       5.165311835783e-15       4.748309829522e-13       0.000000000000e+00       9.071873023575e-10       2.316546246744e-10       6.208915741704e-13 
    7       1.646375164982e-10       3.941044423961e-15       3.328302330442e-13       0.000000000000e+00       7.110311831091e-10       1.842416545774e-10       6.194189139157e-13 
    8       1.562185142074e-10       2.903452478098e-15       2.474474720560e-13       0.000000000000e+00       5.713138098808e-10       1.501505997093e-10       4.334902807785e-13 
    9       1.511275078786e-10       1.951765534540e-15       2.045689208460e-13       0.000000000000e+00       4.681132613668e-10       1.247577315565e-10       2.231509632867e-13 
   10       1.483385958465e-10       1.300185475913e-15       1.830780068637e-13       0.000000000000e+00       3.896627294694e-10       1.052391711838e-10       7.333097978200e-14 
   11       1.472395949391e-10       9.092512283410e-16       1.661434589157e-13       0.000000000000e+00       3.279304289632e-10       9.061106217501e-11       4.473595153669e-15 
