# Matter power spectrum P(k) at redshift z=0
# for k=5.25106e-06 to 1.64096 h/Mpc,
# number of wavenumbers equal to 531
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       5.251063378143e-06       4.166582289031e+02 
       1.467853220726e-05       1.119849725652e+03 
       2.412034290761e-05       1.805310893311e+03 
       3.359008350174e-05       2.481790466719e+03 
       4.310144656961e-05       3.153123443242e+03 
       5.266829475753e-05       3.821700975636e+03 
       6.230472731199e-05       4.489285223938e+03 
       7.202514813151e-05       5.157309320707e+03 
       8.184433583309e-05       5.827015279540e+03 
       9.177751633456e-05       6.499526991690e+03 
       1.018404384600e-04       7.175892944733e+03 
       1.120494530812e-04       7.857113220339e+03 
       1.224215963131e-04       8.544157642462e+03 
       1.329746772832e-04       9.237978612262e+03 
       1.437273709920e-04       9.939520574324e+03 
       1.546993167731e-04       1.064972723902e+04 
       1.659112228396e-04       1.136954723599e+04 
       1.773849773715e-04       1.209993861250e+04 
       1.891437665426e-04       1.284187243050e+04 
       2.012121998085e-04       1.359633561228e+04 
       2.136164426645e-04       1.436433311294e+04 
       2.263843569248e-04       1.514688944433e+04 
       2.395456483720e-04       1.594504953090e+04 
       2.531320213444e-04       1.675987883858e+04 
       2.671773394773e-04       1.759246267888e+04 
       2.817177913550e-04       1.844390454907e+04 
       2.967920592572e-04       1.931532332419e+04 
       3.124414884692e-04       2.020784906513e+04 
       3.287102537523e-04       2.112261714948e+04 
       3.456455185204e-04       2.206076036710e+04 
       3.632975810278e-04       2.302339855402e+04 
       3.817200004366e-04       2.401162526995e+04 
       4.009696940122e-04       2.502649096537e+04 
       4.211069949285e-04       2.606898204808e+04 
       4.421956583087e-04       2.713999526573e+04 
       4.643028013074e-04       2.824030689688e+04 
       4.874987613986e-04       2.937053641918e+04 
       5.118568558191e-04       3.053110462922e+04 
       5.374530246023e-04       3.172218664520e+04 
       5.643653401969e-04       3.294366082533e+04 
       5.926733686871e-04       3.419505534127e+04 
       6.224573715246e-04       3.547549486052e+04 
       6.537973427956e-04       3.678365037971e+04 
       6.867718855700e-04       3.811769555937e+04 
       7.214569417549e-04       3.947527284604e+04 
       7.579244026850e-04       4.085347226579e+04 
       7.962406415392e-04       4.224882524849e+04 
       8.364650222569e-04       4.365731551341e+04 
       8.786484511840e-04       4.507440910805e+04 
       9.228320453141e-04       4.649510590328e+04 
       9.690459928937e-04       4.791401439843e+04 
       1.017308677075e-03       4.932544956715e+04 
       1.067626120829e-03       5.072354939764e+04 
       1.119991792222e-03       5.210240110309e+04 
       1.174386785267e-03       5.345616546772e+04 
       1.230780365657e-03       5.477918969592e+04 
       1.289130845945e-03       5.606610473144e+04 
       1.349386734060e-03       5.731190838506e+04 
       1.411488084772e-03       5.851203692958e+04 
       1.475367976883e-03       5.966242262242e+04 
       1.540954039488e-03       6.075953709407e+04 
       1.608169957594e-03       6.180045588607e+04 
       1.676936898857e-03       6.278284533046e+04 
       1.747174817231e-03       6.370498722637e+04 
       1.818803603991e-03       6.456577035818e+04 
       1.891744070356e-03       6.536465530461e+04 
       1.965918757712e-03       6.610161581728e+04 
       2.041252580762e-03       6.677706579878e+04 
       2.117673315594e-03       6.739178191688e+04 
       2.195111948864e-03       6.794683093274e+04 
       2.273502906515e-03       6.844350989662e+04 
       2.352784180929e-03       6.888330462337e+04 
       2.432897374825e-03       6.926784979567e+04 
       2.513787678802e-03       6.959896331555e+04 
       2.595403797548e-03       6.987857537957e+04 
       2.677697837772e-03       7.010870989629e+04 
       2.760625168788e-03       7.029145047203e+04 
       2.844144264829e-03       7.042890002517e+04 
       2.928216536355e-03       7.052314364472e+04 
       3.012806156132e-03       7.057622153261e+04 
       3.097879884502e-03       7.059011556238e+04 
       3.183406897192e-03       7.056672957887e+04 
       3.269358618103e-03       7.050792366592e+04 
       3.355708558771e-03       7.041555301560e+04 
       3.442432165648e-03       7.029140005557e+04 
       3.529506675861e-03       7.013720017276e+04 
       3.616910981799e-03       6.995463094855e+04 
       3.704625504579e-03       6.974529922597e+04 
       3.792632076285e-03       6.951073067577e+04 
       3.880913830713e-03       6.925236504276e+04 
