# Table of selected background quantities
# All densities are multiplied by (8piG/3) (below, shortcut notation (.) for this factor) 
# Densities are in units [Mpc^-2] while all distances are in [Mpc]. 
#    1:z                      2:proper time [Gyr]      3:conf. time [Mpc]       4:H [1/Mpc]              5:comov. dist.           6:ang.diam.dist.         7:lum. dist.             8:comov.snd.hrz.         9:(.)rho_g              10:(.)rho_b              11:(.)rho_cdm            12:(.)rho_lambda         13:(.)rho_ur             14:(.)rho_crit           15:gr.fac. D             16:gr.fac. f          
       9.999999999990e+11       7.559518496392e-22       4.635512595996e-07       2.157256296445e+18       1.414882222336e+04       1.414882222336e-08       1.414882222336e+16       2.676317460012e-07       2.751560535470e+36       2.467857824327e+27       1.340743317545e+28       3.511603399961e-08       1.902194177205e+36       4.653754728550e+36       6.952277682198e-18       2.000000000000e+12 
       9.930486593833e+11       7.665722171748e-22       4.667963366956e-07       2.127368890922e+18       1.414882222336e+04       1.424786397892e-08       1.405046894077e+16       2.695051682226e-07       2.675846458098e+36       2.416749983481e+27       1.312977335480e+28       3.511603399961e-08       1.849851924417e+36       4.525698398061e+36       9.699280740571e-08       1.433565615445e+02 
       9.861456399039e+11       7.773417902537e-22       4.700650606537e-07       2.097895556277e+18       1.414882222335e+04       1.434759902677e-08       1.395279934535e+16       2.713917043995e-07       2.602215788101e+36       2.366700555064e+27       1.285786370087e+28       3.511603399961e-08       1.798949961721e+36       4.401165765046e+36       1.939856148033e-07       7.167828077441e+01 
       9.792906056642e+11       7.882626650647e-22       4.733537934953e-07       2.068830555823e+18       1.414882222335e+04       1.444803221995e-08       1.385580868455e+16       2.732914463296e-07       2.530611196823e+36       2.317687619997e+27       1.259158513118e+28       3.511603399961e-08       1.749448656976e+36       4.280059868709e+36       2.909784221998e-07       4.778552051657e+01 
       9.724832231024e+11       7.993369672458e-22       4.766679921886e-07       2.040168232352e+18       1.414882222335e+04       1.454916844549e-08       1.375949223888e+16       2.752044864532e-07       2.460976933108e+36       2.269689713130e+27       1.233082102940e+28       3.511603399961e-08       1.701309468590e+36       4.162286416299e+36       3.879712295952e-07       3.583914038744e+01 
       9.657231609756e+11       8.105668522981e-22       4.800040187547e-07       2.011903007031e+18       1.414882222334e+04       1.465101262461e-08       1.366384532162e+16       2.771309178576e-07       2.393258779892e+36       2.222685813843e+27       1.207545719423e+28       3.511603399961e-08       1.654494915511e+36       4.047753709701e+36       4.849640369896e-07       2.867131230990e+01 
       9.590100903431e+11       8.219545060054e-22       4.833655111725e-07       1.984029378320e+18       1.414882222334e+04       1.475356971298e-08       1.356886327867e+16       2.790708342819e-07       2.327404011990e+36       2.176655336841e+27       1.182538178942e+28       3.511603399961e-08       1.608968548044e+36       3.936372574036e+36       5.819568443828e-07       2.389276025818e+01 
       9.523436845512e+11       8.335021448595e-22       4.867488314630e-07       1.956541920898e+18       1.414882222334e+04       1.485684470096e-08       1.347454148825e+16       2.810243301210e-07       2.263361355044e+36       2.131578123140e+27       1.158048529479e+28       3.511603399961e-08       1.564694919474e+36       3.828056288230e+36       6.789496517750e-07       2.047950879265e+01 
       9.457236192166e+11       8.452120164917e-22       4.901557986159e-07       1.929435284609e+18       1.414882222333e+04       1.496084261387e-08       1.338087536072e+16       2.829915004311e-07       2.201080945601e+36       2.087434431232e+27       1.134066045823e+28       3.511603399961e-08       1.521639558464e+36       3.722720517493e+36       7.759424591662e-07       1.791957019350e+01 
       9.391495722111e+11       8.570864001102e-22       4.935864126310e-07       1.902704193419e+18       1.414882222333e+04       1.506556851216e-08       1.328786033834e+16       2.849724409332e-07       2.140514292289e+36       2.044204928448e+27       1.110580224878e+28       3.511603399961e-08       1.479768942217e+36       3.620283247656e+36       8.729352665564e-07       1.592850683861e+01 
       9.326212236455e+11       8.691276069441e-22       4.970424924977e-07       1.876343444393e+18       1.414882222333e+04       1.517102749174e-08       1.319549189508e+16       2.869672480189e-07       2.081614238065e+36       2.001870682483e+27       1.087580781061e+28       3.511603399961e-08       1.439050470375e+36       3.520664721317e+36       9.699280739456e-07       1.433565615469e+01 
       9.261382558545e+11       8.813379806927e-22       5.005204002373e-07       1.850347906676e+18       1.414882222332e+04       1.527722468418e-08       1.310376553632e+16       2.889760187541e-07       2.024334923491e+36       1.960413153113e+27       1.065057641795e+28       3.511603399961e-08       1.399452439639e+36       3.423787375741e+36       1.066920881334e-06       1.303241468603e+01 
       9.197003533808e+11       8.937198979819e-22       5.040255928179e-07       1.824712520499e+18       1.414882222332e+04       1.538416525697e-08       1.301267679872e+16       2.909988508844e-07       1.968631751037e+36       1.919814184066e+27       1.043000943101e+28       3.511603399961e-08       1.360944019080e+36       3.329575782467e+36       1.163913688721e-06       1.194638012881e+01 
       9.133072029600e+11       9.062757688269e-22       5.075526132714e-07       1.799432296194e+18       1.414882222332e+04       1.549185441376e-08       1.292222124997e+16       2.930358428396e-07       1.914461350353e+36       1.880055995078e+27       1.021401025279e+28       3.511603399961e-08       1.323495226138e+36       3.237956588585e+36       1.260906496107e-06       1.102742781117e+01 
       9.069584935054e+11       9.190080371013e-22       5.111050995765e-07       1.774502313219e+18       1.414882222331e+04       1.560029739466e-08       1.283239448854e+16       2.950870937385e-07       1.861781544498e+36       1.841121174105e+27       1.000248428673e+28       3.511603399961e-08       1.287076903277e+36       3.148858459618e+36       1.357899303493e-06       1.023975439604e+01 
       9.006539160927e+11       9.319191810125e-22       5.146830517333e-07       1.749917719205e+18       1.414882222331e+04       1.570949947642e-08       1.274319214354e+16       2.971527033936e-07       1.810551317108e+36       1.802992669692e+27       9.795338895305e+27       3.511603399961e-08       1.251660695281e+36       3.062212023987e+36       1.454892110877e-06       9.557104102938e+00 
       8.943931639451e+11       9.450117135843e-22       5.182864697417e-07       1.725673729009e+18       1.414882222330e+04       1.581946597275e-08       1.265460987441e+16       2.992327723163e-07       1.760730780455e+36       1.765653783512e+27       9.592483359479e+27       3.511603399961e-08       1.217219027178e+36       2.977949818991e+36       1.551884918261e-06       8.959785096472e+00 
       8.881759324181e+11       9.582881831460e-22       5.219135346124e-07       1.701765623783e+18       1.414882222330e+04       1.593020223455e-08       1.256664337081e+16       3.013274017214e-07       1.712281144394e+36       1.729088163051e+27       9.393828838938e+27       3.511603399961e-08       1.183725082773e+36       2.896006238290e+36       1.648877725644e-06       8.432738914296e+00 
       8.820019189852e+11       9.717511738285e-22       5.255678843241e-07       1.678188750056e+18       1.414882222330e+04       1.604171365019e-08       1.247928835234e+16       3.034366935323e-07       1.665164686160e+36       1.693279794443e+27       9.199288333198e+27       3.511603399961e-08       1.151152783764e+36       2.816317480816e+36       1.745870533026e-06       7.964253419030e+00 
