# Matter power spectrum P(k) at redshift z=0
# for k=1.04398e-05 to 1.7582 h/Mpc,
# number of wavenumbers equal to 569
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.043977266149e-05       5.260421965062e+01 
       2.330400547983e-05       1.138855002211e+02 
       3.621336982238e-05       1.740222074637e+02 
       4.920250914985e-05       2.336894801175e+02 
       6.230663853343e-05       2.932671228285e+02 
       7.556185784626e-05       3.530371078502e+02 
       8.900547494556e-05       4.132388234741e+02 
       1.026763431335e-04       4.740916303010e+02 
       1.166152172181e-04       5.358063623619e+02 
       1.308651325274e-04       5.985922413788e+02 
       1.454718112403e-04       6.626616363541e+02 
       1.604841003340e-04       7.282337341625e+02 
       1.759544452783e-04       7.955376430201e+02 
       1.919394032401e-04       8.648152063858e+02 
       2.085001989150e-04       9.363236830797e+02 
       2.257033250413e-04       1.010338381903e+03 
       2.436211880156e-04       1.087155296385e+03 
       2.623327965891e-04       1.167093753426e+03 
       2.819244881296e-04       1.250499060997e+03 
       3.024906820473e-04       1.337745110192e+03 
       3.241346433307e-04       1.429236852573e+03 
       3.469692303350e-04       1.525412532649e+03 
       3.711175896165e-04       1.626745505801e+03 
       3.967137464728e-04       1.733745413361e+03 
       4.239030229358e-04       1.846958419727e+03 
       4.528421957836e-04       1.966966144590e+03 
       4.836992870017e-04       2.094382853385e+03 
       5.166528605213e-04       2.229850412658e+03 
       5.518906860041e-04       2.374030491796e+03 
       5.896076286788e-04       2.527593522160e+03 
       6.300026410309e-04       2.691204037326e+03 
       6.732747753583e-04       2.865502241532e+03 
       7.196182122857e-04       3.051082006385e+03 
       7.692164112419e-04       3.248465976052e+03 
       8.222356283930e-04       3.458079031647e+03 
       8.788181980653e-04       3.680221946377e+03 
       9.390761061531e-04       3.915047533325e+03 
       1.003085462124e-03       4.162541806205e+03 
       1.070882466414e-03       4.422512515709e+03 
       1.142461354394e-03       4.694586829926e+03 
       1.217774585275e-03       4.978218939088e+03 
       1.296735271963e-03       5.272707140971e+03 
       1.379221573164e-03       5.577218752349e+03 
       1.465082551064e-03       5.890820269235e+03 
       1.554144877783e-03       6.212509777711e+03 
       1.646219763748e-03       6.541248766924e+03 
       1.741109564567e-03       6.875991105776e+03 
       1.838613664892e-03       7.215707769646e+03 
       1.938533399077e-03       7.559406678256e+03 
       2.040675916945e-03       7.906133141102e+03 
       2.144857019370e-03       8.255016226761e+03 
       2.250903066046e-03       8.605251673993e+03 
       2.358652099302e-03       8.956099521065e+03 
       2.467954340941e-03       9.306889977311e+03 
       2.578672212805e-03       9.657021206021e+03 
       2.690680014326e-03       1.000595585916e+04 
       2.803863368066e-03       1.035321685505e+04 
       2.918118521279e-03       1.069838272074e+04 
       3.033351570527e-03       1.104108273875e+04 
       3.149477658305e-03       1.138099211821e+04 
       3.266420176027e-03       1.171782738580e+04 
       3.384109996262e-03       1.205134212596e+04 
       3.502484748489e-03       1.238132309251e+04 
       3.621488146323e-03       1.270758665281e+04 
       3.741069369689e-03       1.302997555467e+04 
       3.861182502348e-03       1.334835602045e+04 
       3.981786023167e-03       1.366261516248e+04 
       4.102842348271e-03       1.397265867856e+04 
       4.224317420517e-03       1.427840878598e+04 
       4.346180342399e-03       1.457980234352e+04 
       4.468403048429e-03       1.487678914734e+04 
       4.590960013140e-03       1.516933039940e+04 
       4.713827991040e-03       1.545739737139e+04 
       4.836985785131e-03       1.574097047825e+04 
       4.960414040852e-03       1.602003753795e+04 
       5.084095062633e-03       1.629459318339e+04 
       5.208012650497e-03       1.656463805058e+04 
       5.332151954449e-03       1.683017631125e+04 
       5.456499344596e-03       1.709121956698e+04 
       5.581042295221e-03       1.734778336152e+04 
       5.705769281196e-03       1.759988613998e+04 
       5.830669685335e-03       1.784754962251e+04 
       5.955733715436e-03       1.809079843227e+04 
       6.080952329914e-03       1.832965974998e+04 
       6.206317171063e-03       1.856416300245e+04 
       6.331820505077e-03       1.879433955860e+04 
       6.457455168104e-03       1.902022251357e+04 
       6.583214517646e-03       1.924184634688e+04 
       6.709092388726e-03       1.945924673701e+04 
       6.835083054315e-03       1.967246037131e+04 
       6.961181189550e-03       1.988152475898e+04 
       7.087381839347e-03       2.008647808416e+04 
       7.213680389047e-03       2.028735908593e+04 
       7.340072537783e-03       2.048420695090e+04 
       7.466554274290e-03       2.067706123908e+04 
       7.593121854896e-03       2.086596181029e+04 
       7.719771783488e-03       2.105094876927e+04 
       7.846500793251e-03       2.123206241279e+04 
       7.973305830001e-03       2.140934317449e+04 
       8.100184036961e-03       2.158283157791e+04 
       8.227132740839e-03       2.175256817810e+04 
       8.354149439079e-03       2.191859350869e+04 
       8.481231788187e-03       2.208094802810e+04 
       8.608377593016e-03       2.223967206142e+04 
       8.735584796928e-03       2.239480575899e+04 
       8.862851472759e-03       2.254638904428e+04 
       8.990175814501e-03       2.269446158661e+04 
       9.117556129649e-03       2.283906277021e+04 
       9.244990832150e-03       2.298023167972e+04 
       9.372478435895e-03       2.311800709675e+04 
       9.500017548722e-03       2.325242749963e+04 
       9.627606866868e-03       2.338353108071e+04 
       9.755245169848e-03       2.351135575017e+04 
       9.882931315713e-03       2.363593915333e+04 
       1.001066423667e-02       2.375731866570e+04 
       1.013844293500e-02       2.387553139934e+04 
       1.026626647934e-02       2.399061418502e+04 
       1.039413400112e-02       2.410260356502e+04 
       1.052204469141e-02       2.421153576222e+04 
       1.064999779784e-02       2.431744666684e+04 
       1.077799262186e-02       2.442037180337e+04 
       1.090602851612e-02       2.452034631556e+04 
       1.103410488206e-02       2.461740495127e+04 
       1.116222116771e-02       2.471158205961e+04 
       1.129037686557e-02       2.480291159922e+04 
       1.141857151066e-02       2.489142715754e+04 
       1.154680467877e-02       2.497716197951e+04 
       1.167507598475e-02       2.506014900322e+04 
       1.180338508095e-02       2.514042089603e+04 
       1.193173165581e-02       2.521801008902e+04 
       1.206011543244e-02       2.529294881006e+04 
       1.218853616743e-02       2.536526909756e+04 
       1.231699364967e-02       2.543500282181e+04 
       1.244548769925e-02       2.550218168210e+04 
       1.257401816646e-02       2.556683720169e+04 
       1.270258493088e-02       2.562900068662e+04 
       1.283118790046e-02       2.568870305554e+04 
       1.295982701079e-02       2.574597450764e+04 
       1.308850222430e-02       2.580084425169e+04 
       1.321721352960e-02       2.585334079413e+04 
       1.334596094082e-02       2.590349263969e+04 
       1.347474449708e-02       2.595132861429e+04 
       1.360356426189e-02       2.599687765269e+04 
       1.373242032269e-02       2.604016852765e+04 
       1.386131279041e-02       2.608122997345e+04 
       1.399024179904e-02       2.612008890032e+04 
       1.411920750525e-02       2.615677456574e+04 
       1.424821008808e-02       2.619131388602e+04 
       1.437724974861e-02       2.622373415079e+04 
       1.450632670971e-02       2.625406238434e+04 
       1.463544121579e-02       2.628232536673e+04 
       1.476459353259e-02       2.630854964061e+04 
       1.489378394700e-02       2.633276151626e+04 
       1.502301276691e-02       2.635498707900e+04 
       1.515228032109e-02       2.637525219085e+04 
       1.528158695904e-02       2.639358249271e+04 
       1.541093305097e-02       2.641000341350e+04 
       1.554031898771e-02       2.642454016159e+04 
       1.566974518070e-02       2.643721774193e+04 
       1.579921206195e-02       2.644806095103e+04 
       1.592872008406e-02       2.645709437993e+04 
       1.605826972026e-02       2.646434241453e+04 
       1.618786146445e-02       2.646982924089e+04 
       1.631749583127e-02       2.647357884685e+04 
       1.644717335618e-02       2.647561502506e+04 
       1.657689459561e-02       2.647596137528e+04 
       1.670666012700e-02       2.647464130739e+04 
       1.683647054904e-02       2.647167804263e+04 
       1.696632648176e-02       2.646709461352e+04 
       1.709622856674e-02       2.646091386962e+04 
       1.722617746728e-02       2.645315847697e+04 
       1.735617386867e-02       2.644385092004e+04 
       1.748621847833e-02       2.643301350534e+04 
       1.761631202614e-02       2.642066835897e+04 
       1.774645526465e-02       2.640683743358e+04 
       1.787664896938e-02       2.639154250594e+04 
       1.800689393911e-02       2.637480518081e+04 
       1.813719099620e-02       2.635664689149e+04 
       1.826754098690e-02       2.633708889931e+04 
       1.839794478172e-02       2.631615229709e+04 
       1.852840327577e-02       2.629385800817e+04 
       1.865891738916e-02       2.627022679151e+04 
       1.878948806738e-02       2.624527923999e+04 
       1.892011628173e-02       2.621903578405e+04 
       1.905080302971e-02       2.619151668890e+04 
       1.918154933553e-02       2.616274205813e+04 
       1.931235625053e-02       2.613273183071e+04 
       1.944322485367e-02       2.610150578744e+04 
       1.957415625207e-02       2.606908354696e+04 
       1.970515158147e-02       2.603548457002e+04 
       1.983621200681e-02       2.600072815768e+04 
       1.996733872278e-02       2.596483345306e+04 
       2.009853295440e-02       2.592781944132e+04 
       2.022979595761e-02       2.588970495158e+04 
       2.036112901992e-02       2.585050865597e+04 
