# Matter power spectrum P(k) at redshift z=0
# for k=1.04398e-05 to 1.75847 h/Mpc,
# number of wavenumbers equal to 569
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.043977266149e-05       5.260421525146e+01 
       2.330511138915e-05       1.138906870037e+02 
       3.621559087502e-05       1.740324496426e+02 
       4.920586353651e-05       2.337047599419e+02 
       6.231115362578e-05       2.932874882023e+02 
       7.556757055645e-05       3.530626587129e+02 
       8.901243222674e-05       4.132697072204e+02 
       1.026846026297e-04       4.741280407152e+02 
       1.166248480736e-04       5.358485404176e+02 
       1.308762163708e-04       5.986404772834e+02 
       1.454844433562e-04       6.627162725781e+02 
       1.604983910442e-04       7.282951693410e+02 
       1.759705215502e-04       7.956063366848e+02 
       1.919574105470e-04       8.648916845148e+02 
       2.085203033695e-04       9.364085444681e+02 
       2.257257158280e-04       1.010432305352e+03 
       2.436460801420e-04       1.087259048693e+03 
       2.623604339737e-04       1.167208198134e+03 
       2.819551470349e-04       1.250625167797e+03 
       3.025246748531e-04       1.337883964823e+03 
       3.241723226232e-04       1.429389666959e+03 
       3.470109932567e-04       1.525580654873e+03 
       3.711638823798e-04       1.626930429369e+03 
       3.967650688873e-04       1.733948784987e+03 
       4.239599327273e-04       1.847182044647e+03 
       4.529053123967e-04       1.967211988141e+03 
       4.837692944779e-04       2.094653037331e+03 
       5.167305089410e-04       2.230147204539e+03 
       5.519767908813e-04       2.374356285485e+03 
       5.897030676306e-04       2.527950807953e+03 
       6.301083470356e-04       2.691595360344e+03 
       6.733917260038e-04       2.865930148111e+03 
       7.197474146287e-04       3.051548979573e+03 
       7.693588822716e-04       3.248974363278e+03 
       8.223923716099e-04       3.458630969966e+03 
       8.789901772971e-04       3.680819293148e+03 
       9.392642183356e-04       3.915691812227e+03 
       1.003290511228e-03       4.163234179621e+03 
       1.071105140872e-03       4.423253794098e+03 
       1.142702210151e-03       4.695377526409e+03 
       1.218034036017e-03       4.979059373114e+03 
       1.297013587153e-03       5.273597589008e+03 
       1.379518883589e-03       5.578159637216e+03 
       1.465398860719e-03       5.891812374592e+03 
       1.554480080352e-03       6.213554471867e+03 
       1.646573661737e-03       6.542348221173e+03 
       1.741481889218e-03       6.877148496234e+03 
       1.839004095367e-03       7.216927455971e+03 
       1.938941579830e-03       7.560694355768e+03 
       2.041101472643e-03       7.907495877793e+03 
       2.145299567137e-03       8.256462807667e+03 
       2.251362225052e-03       8.606792411256e+03 
       2.359127497946e-03       8.957746361343e+03 
       2.468445621947e-03       9.308656497618e+03 
       2.579179036598e-03       9.658922584349e+03 
       2.691202061045e-03       1.000800882404e+04 
       2.804400338522e-03       1.035543961666e+04 
       2.918670137140e-03       1.070079488563e+04 
