# Table of selected background quantities
# All densities are multiplied by (8piG/3) (below, shortcut notation (.) for this factor) 
# Densities are in units [Mpc^-2] while all distances are in [Mpc]. 
#    1:z                      2:proper time [Gyr]      3:conf. time [Mpc]       4:H [1/Mpc]              5:comov. dist.           6:ang.diam.dist.         7:lum. dist.             8:comov.snd.hrz.         9:(.)rho_g              10:(.)rho_b              11:(.)rho_cdm            12:(.)rho_lambda         13:(.)rho_ur             14:(.)rho_crit           15:gr.fac. D             16:gr.fac. f          
       9.999999999990e+11       7.558503630340e-22       4.634894139599e-07       2.157545947186e+18       2.812963333427e+04       2.812963333427e-08       2.812963333427e+16       2.675958164148e-07       2.751560535470e+36       2.467857824327e+27       1.112650056054e+25       4.851233942470e-08       1.903443976270e+36       4.655004514219e+36       6.532051871288e-17       2.000000000000e+12 
       9.930486593833e+11       7.664693047843e-22       4.667344910558e-07       2.127654528716e+18       2.812963333427e+04       2.832654076761e-08       2.793409467157e+16       2.694689871290e-07       2.675846458098e+36       2.416749983481e+27       1.089607747286e+25       4.851233942470e-08       1.851067333040e+36       4.526913793566e+36       9.113014152733e-07       1.433565615459e+02 
       9.861456399040e+11       7.772374320471e-22       4.700013960246e-07       2.098177236721e+18       2.812963333426e+04       2.852482655298e-08       2.773991526471e+16       2.713552700383e-07       2.602215788102e+36       2.366700555065e+27       1.067042630778e+25       4.851233942470e-08       1.800131926217e+36       4.402347716696e+36       1.822602830480e-06       7.167828077547e+01 
       9.792906056643e+11       7.881568407299e-22       4.732901288662e-07       2.069108333745e+18       2.812963333426e+04       2.872450033884e-08       2.754708566505e+16       2.732547569279e-07       2.530611196824e+36       2.317687619998e+27       1.044944824165e+25       4.851233942470e-08       1.750598097619e+36       4.281209296771e+36       2.733904245684e-06       4.778552051751e+01 
       9.724832231026e+11       7.992296561853e-22       4.766043275595e-07       2.040442161817e+18       2.812963333426e+04       2.892557184121e-08       2.735559648962e+16       2.751675402258e-07       2.460976933109e+36       2.269689713130e+27       1.023304649743e+25       4.851233942470e-08       1.702427280331e+36       4.163404215721e+36       3.645205660887e-06       3.583914038832e+01 
       9.657231609757e+11       8.104580336250e-22       4.799403541256e-07       2.012173141358e+18       2.812963333425e+04       2.912805084410e-08       2.716543842067e+16       2.770937130067e-07       2.393258779894e+36       2.222685813844e+27       1.002112630227e+25       4.851233942470e-08       1.655581968676e+36       4.048840750803e+36       4.556507076089e-06       2.867131231073e+01 
       9.590100903433e+11       8.218441585392e-22       4.832982085645e-07       1.984295770088e+18       2.812963333425e+04       2.933194720000e-08       2.697660220523e+16       2.790333689971e-07       2.327404011992e+36       2.176655336843e+27       9.813594846000e+24       4.851233942470e-08       1.610025689010e+36       3.937429703189e+36       5.467808491289e-06       2.389276025898e+01 
       9.523436845514e+11       8.333902471224e-22       4.866815288551e-07       1.956804621958e+18       2.812963333425e+04       2.953727083040e-08       2.678907865465e+16       2.809866025793e-07       2.263361355046e+36       2.131578123141e+27       9.610361240493e+24       4.851233942470e-08       1.565722971328e+36       3.829084328516e+36       6.379109906487e-06       2.047950879343e+01 
       9.457236192169e+11       8.450985467041e-22       4.900903149974e-07       1.929694346093e+18       2.812963333424e+04       2.974403172621e-08       2.660285864413e+16       2.829535087967e-07       2.201080945603e+36       2.087434431234e+27       9.411336479865e+24       4.851233942470e-08       1.522639321645e+36       3.723720269345e+36       7.290411321684e-06       1.791957019426e+01 
       9.391495722114e+11       8.569713361866e-22       4.935209290124e-07       1.902959665753e+18       2.812963333424e+04       2.995223994829e-08       2.641793311234e+16       2.849341833576e-07       2.140514292292e+36       2.044204928450e+27       9.216433401487e+24       4.851233942470e-08       1.480741195137e+36       3.621255489483e+36       8.201712736879e-06       1.592850683935e+01 
