# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       3.539423089542e-10       3.284800154747e-14       6.522801306801e-13       0.000000000000e+00       4.085255472017e-09       8.911180926877e-10      -4.545579699997e-12 
    3       2.796553467608e-10       2.905752785097e-14       9.022821342271e-13       0.000000000000e+00       2.444945270736e-09       5.759242341400e-10      -2.485877755229e-12 
    4       2.305192284196e-10       1.664866851579e-14       8.440035392375e-13       0.000000000000e+00       1.650658475843e-09       4.048382779945e-10      -7.839602583734e-13 
    5       1.985613988363e-10       8.361653888067e-15       6.635125310564e-13       0.000000000000e+00       1.196011259308e-09       3.003164730410e-10       2.229164654850e-13 
    6       1.779022265952e-10       5.165114290327e-15       4.747977651398e-13       0.000000000000e+00       9.071875227665e-10       2.316551987632e-10       6.208190509348e-13 
    7       1.646369717574e-10       3.940924355374e-15       3.327970012177e-13       0.000000000000e+00       7.110454695066e-10       1.842424662192e-10       6.193431102983e-13 
    8       1.562178014276e-10       2.903394457767e-15       2.474091415512e-13       0.000000000000e+00       5.713129094582e-10       1.501502073314e-10       4.334149407032e-13 
    9       1.511270149152e-10       1.951755400364e-15       2.045221186807e-13       0.000000000000e+00       4.681019675937e-10       1.247571699559e-10       2.230616215524e-13 
   10       1.483379631991e-10       1.300204325364e-15       1.830154092487e-13       0.000000000000e+00       3.896565521074e-10       1.052386357509e-10       7.321178869810e-14 
   11       1.472392227955e-10       9.092876457019e-16       1.660628278059e-13       0.000000000000e+00       3.279307548560e-10       9.061117241191e-11       4.333319688173e-15 
   12       1.474309799875e-10       6.549568661242e-16       1.456773230946e-13       0.000000000000e+00       2.797715092583e-10       7.800985604678e-11      -6.225155805524e-15 
   13       1.486578814727e-10       4.860322805773e-16       1.220116534086e-13       0.000000000000e+00       2.409193413080e-10       6.783258983478e-11       9.620898299097e-15 
   14       1.506788295859e-10       3.950024994916e-16       1.000464461993e-13       0.000000000000e+00       2.091505816315e-10       5.948752696266e-11       2.547467974658e-14 
   15       1.533234103133e-10       3.685596370314e-16       8.513733427704e-14       0.000000000000e+00       1.828651694220e-10       5.257640963632e-11       2.937243595392e-14 
   16       1.565479789603e-10       3.854690465341e-16       7.967704786045e-14       0.000000000000e+00       1.608920187873e-10       4.680597974868e-11       2.210598218002e-14 
   17       1.601383490933e-10       4.239544032106e-16       8.252240839911e-14       0.000000000000e+00       1.423555223796e-10       4.193042413756e-11       1.075392086594e-14 
   18       1.640994172114e-10       4.622665431818e-16       8.981865868336e-14       0.000000000000e+00       1.265302112263e-10       3.772779349984e-11       2.565225115588e-15 
   19       1.684245782420e-10       4.917388752492e-16       9.816855062296e-14       0.000000000000e+00       1.130849788552e-10       3.411877450206e-11      -3.107242215250e-16 
   20       1.730009473392e-10       5.093671279343e-16       1.041831556349e-13       0.000000000000e+00       1.014310633374e-10       3.097316416840e-11       2.051217443615e-15 
   21       1.778274536851e-10       5.235010400908e-16       1.073024387363e-13       0.000000000000e+00       9.133595486827e-11       2.823914644957e-11       6.916757213782e-15 
   22       1.828950199973e-10       5.471212595989e-16       1.082078173596e-13       0.000000000000e+00       8.251049656772e-11       2.584305421385e-11       1.048728538646e-14 
   23       1.881763840319e-10       5.862022239056e-16       1.083150719641e-13       0.000000000000e+00       7.479958572304e-11       2.374220835819e-11       1.182280017673e-14 
   24       1.936132886416e-10       6.437504475438e-16       1.092189301876e-13       0.000000000000e+00       6.799134972086e-11       2.187613912874e-11       1.115951063518e-14 
   25       1.992009482922e-10       7.184072025286e-16       1.108334482989e-13       0.000000000000e+00       6.198217454376e-11       2.021522940017e-11       9.718872867388e-15 
   26       2.049321937215e-10       8.069074295540e-16       1.123834915922e-13       0.000000000000e+00       5.664018967262e-11       1.872345286557e-11       9.022150371647e-15 
   27       2.107977702993e-10       9.073871921047e-16       1.129051171661e-13       0.000000000000e+00       5.188402378018e-11       1.738455820346e-11       9.306907494900e-15 
   28       2.167765812580e-10       1.018177419342e-15       1.114647568753e-13       0.000000000000e+00       4.761433178116e-11       1.617866363356e-11       1.033257812006e-14 
   29       2.228687488139e-10       1.138421862183e-15       1.081893839066e-13       0.000000000000e+00       4.379834634409e-11       1.509765920191e-11       1.165368211847e-14 
   30       2.290664611846e-10       1.267269541912e-15       1.036534338307e-13       0.000000000000e+00       4.038379337486e-11       1.412537271429e-11       1.264598803850e-14 
   31       2.353499887746e-10       1.404026800657e-15       9.851713386386e-14       0.000000000000e+00       3.728721145991e-11       1.323670556584e-11       1.270882296786e-14 
   32       2.417191953113e-10       1.549901914984e-15       9.313212376593e-14       0.000000000000e+00       3.448536740803e-11       1.242555530100e-11       1.195348151040e-14 
   33       2.481708324741e-10       1.706946034587e-15       8.779767911183e-14       0.000000000000e+00       3.195204057689e-11       1.168561280605e-11       1.078049112328e-14 
   34       2.546933881514e-10       1.877254793555e-15       8.273197677520e-14       0.000000000000e+00       2.964399106446e-11       1.100559458528e-11       9.597505831489e-15 
   35       2.612828600534e-10       2.061653380308e-15       7.760865804308e-14       0.000000000000e+00       2.754443278086e-11       1.038063106373e-11       8.424686864677e-15 
   36       2.679304798310e-10       2.260555779463e-15       7.184626473432e-14       0.000000000000e+00       2.563144115442e-11       9.803882316501e-12       7.152692717462e-15 
   37       2.746228912011e-10       2.474297860932e-15       6.488254493925e-14       0.000000000000e+00       2.387421091265e-11       9.266129552746e-12       5.676984051153e-15 
   38       2.813606886065e-10       2.703115587961e-15       5.673224713151e-14       0.000000000000e+00       2.226512250541e-11       8.766355310452e-12       4.008910033883e-15 
   39       2.881447025002e-10       2.947147461555e-15       4.761151101574e-14       0.000000000000e+00       2.079637960168e-11       8.304116048650e-12       2.201008523545e-15 
   40       2.949702604834e-10       3.206430971544e-15       3.779307724970e-14       0.000000000000e+00       1.945035346177e-11       7.876417250470e-12       3.182488280824e-16 
   41       3.018298554105e-10       3.481000246057e-15       2.751071230623e-14       0.000000000000e+00       1.820507038739e-11       7.478880373095e-12      -1.565454359143e-15 
   42       3.087236526156e-10       3.771234799164e-15       1.662659661918e-14       0.000000000000e+00       1.705483303648e-11       7.110249866236e-12      -3.380917443864e-15 
   43       3.156513820817e-10       4.077612011874e-15       4.861588546453e-15       0.000000000000e+00       1.599490432445e-11       6.768968745078e-12      -5.053165881904e-15 
   44       3.226089843642e-10       4.400611882587e-15      -8.118254048773e-15       0.000000000000e+00       1.501536871274e-11       6.451779627515e-12      -6.497091743397e-15 
   45       3.295906547353e-10       4.740746136971e-15      -2.262254813734e-14       0.000000000000e+00       1.410424710723e-11       6.154772295097e-12      -7.635910302566e-15 
   46       3.365966045601e-10       5.098656098971e-15      -3.866326063658e-14       0.000000000000e+00       1.325889799484e-11       5.877212242931e-12      -8.464223234905e-15 
   47       3.436269704637e-10       5.475043961348e-15      -5.615190642402e-14       0.000000000000e+00       1.247734195619e-11       5.618631205890e-12      -9.003005017838e-15 
   48       3.506793536358e-10       5.870647715872e-15      -7.497344019715e-14       0.000000000000e+00       1.175484749762e-11       5.377683464526e-12      -9.282912148547e-15 
   49       3.577485775519e-10       6.286242764399e-15      -9.498479457255e-14       0.000000000000e+00       1.108373213409e-11       5.152081238569e-12      -9.344900750069e-15 
   50       3.648286270757e-10       6.722478705079e-15      -1.160545841193e-13       0.000000000000e+00       1.045546041967e-11       4.939248308932e-12      -9.235116286680e-15 
   51       3.719196483685e-10       7.179333724841e-15      -1.381983143603e-13       0.000000000000e+00       9.868070896843e-12       4.738639929842e-12      -8.986494572836e-15 
   52       3.790224302323e-10       7.656514892765e-15      -1.614773467408e-13       0.000000000000e+00       9.320421268106e-12       4.549940954337e-12      -8.633234136094e-15 
   53       3.861362524810e-10       8.153604041407e-15      -1.859614044268e-13       0.000000000000e+00       8.809978974044e-12       4.372372566587e-12      -8.216427412257e-15 
   54       3.932587463150e-10       8.670051621414e-15      -2.117290476249e-13       0.000000000000e+00       8.332730367805e-12       4.204661474382e-12      -7.784408803670e-15 
   55       4.003870671318e-10       9.205401270204e-15      -2.388511851442e-13       0.000000000000e+00       7.884271665314e-12       4.045412438189e-12      -7.383219338604e-15 
   56       4.075220740085e-10       9.760042925584e-15      -2.673357235313e-13       0.000000000000e+00       7.463607236224e-12       3.894404807610e-12      -7.024429362192e-15 
   57       4.146649439278e-10       1.033463603760e-14      -2.971700001519e-13       0.000000000000e+00       7.070135801974e-12       3.751564110643e-12      -6.709931962583e-15 
   58       4.218158637433e-10       1.092989802770e-14      -3.283363606601e-13       0.000000000000e+00       6.702507522951e-12       3.616572171860e-12      -6.441089821396e-15 
   59       4.289739416879e-10       1.154660713222e-14      -3.608119733929e-13       0.000000000000e+00       6.358579216188e-12       3.488852019314e-12      -6.218698204528e-15 
   60       4.361371188819e-10       1.218560524588e-14      -3.945686437638e-13       0.000000000000e+00       6.035369573077e-12       3.367552791436e-12      -6.042947952965e-15 
   61       4.433030813356e-10       1.284763746872e-14      -4.295812197933e-13       0.000000000000e+00       5.729813192189e-12       3.251783909835e-12      -5.912761636795e-15 
   62       4.504724353613e-10       1.353282222834e-14      -4.658554333256e-13       0.000000000000e+00       5.441321767619e-12       3.141413165095e-12      -5.823711619425e-15 
   63       4.576460911305e-10       1.424106672542e-14      -5.034060071506e-13       0.000000000000e+00       5.169720936176e-12       3.036421802190e-12      -5.769566880337e-15 
   64       4.648242694525e-10       1.497221744356e-14      -5.422487005755e-13       0.000000000000e+00       4.914483139804e-12       2.936664020356e-12      -5.742822844028e-15 
   65       4.720064450273e-10       1.572605781142e-14      -5.824003964088e-13       0.000000000000e+00       4.674708189082e-12       2.841859789018e-12      -5.734644481767e-15 
   66       4.791912896998e-10       1.650230586497e-14      -6.238791879444e-13       0.000000000000e+00       4.449103826733e-12       2.751587663704e-12      -5.734809413342e-15 
   67       4.863766157121e-10       1.730061190966e-14      -6.667044659456e-13       0.000000000000e+00       4.235966291130e-12       2.665277601968e-12      -5.731651008816e-15 
   68       4.935602316768e-10       1.812064845504e-14      -7.108929463843e-13       0.000000000000e+00       4.033594955958e-12       2.582363605329e-12      -5.714715352181e-15 
   69       5.007428387450e-10       1.896240640542e-14      -7.564456245710e-13       0.000000000000e+00       3.841677257766e-12       2.502793619365e-12      -5.683484484564e-15 
   70       5.079256220318e-10       1.982595496124e-14      -8.033583217048e-13       0.000000000000e+00       3.660150763995e-12       2.426610521724e-12      -5.640326626521e-15 
   71       5.151093570163e-10       2.071135467858e-14      -8.516254936970e-13       0.000000000000e+00       3.488785740829e-12       2.353798396794e-12      -5.587950994640e-15 
   72       5.222943761379e-10       2.161865749128e-14      -9.012402143389e-13       0.000000000000e+00       3.327176818391e-12       2.284279439247e-12      -5.529420311524e-15 
   73       5.294805353930e-10       2.254790673303e-14      -9.521941584686e-13       0.000000000000e+00       3.174734655941e-12       2.217910857579e-12      -5.468163315778e-15 
   74       5.366671809314e-10       2.349913715950e-14      -1.004477585138e-12       0.000000000000e+00       3.030677607076e-12       2.154481777653e-12      -5.407987271991e-15 
   75       5.438531156526e-10       2.447237497043e-14      -1.058079320781e-12       0.000000000000e+00       2.894023384925e-12       2.093710146238e-12      -5.353090480720e-15 
   76       5.510371704208e-10       2.546761181418e-14      -1.112988042919e-12       0.000000000000e+00       2.763812030282e-12       2.035311892086e-12      -5.307082290483e-15 
   77       5.582201118021e-10       2.648472127985e-14      -1.169196438750e-12       0.000000000000e+00       2.639840180961e-12       1.979229814172e-12      -5.269809166814e-15 
   78       5.654030231412e-10       2.752352714649e-14      -1.226697777841e-12       0.000000000000e+00       2.522046179434e-12       1.925441000611e-12      -5.239969880684e-15 
   79       5.725867101403e-10       2.858382754662e-14      -1.285484688538e-12       0.000000000000e+00       2.410287114841e-12       1.873886685303e-12      -5.216048945368e-15 
   80       5.797716798534e-10       2.966539445481e-14      -1.345549167804e-12       0.000000000000e+00       2.304335231234e-12       1.824470633179e-12      -5.196308774452e-15 
   81       5.869581196816e-10       3.076797317632e-14      -1.406882591050e-12       0.000000000000e+00       2.203874335835e-12       1.777057525443e-12      -5.178781839845e-15 
   82       5.941458763672e-10       3.189128183563e-14      -1.469475721979e-12       0.000000000000e+00       2.108496207284e-12       1.731471344807e-12      -5.161262829783e-15 
   83       6.013344349890e-10       3.303501086510e-14      -1.533318722414e-12       0.000000000000e+00       2.017697003894e-12       1.687493760739e-12      -5.141300806844e-15 
   84       6.085232440009e-10       3.419883626392e-14      -1.598400487314e-12       0.000000000000e+00       1.930987866522e-12       1.644916609291e-12      -5.116745607664e-15 
   85       6.157127982728e-10       3.538246302080e-14      -1.664706501609e-12       0.000000000000e+00       1.848255662046e-12       1.603712865849e-12      -5.087508295924e-15 
   86       6.229036979176e-10       3.658558798565e-14      -1.732220644453e-12       0.000000000000e+00       1.769455736279e-12       1.563891187247e-12      -5.054079534209e-15 
   87       6.300963032454e-10       3.780788646347e-14      -1.800925830974e-12       0.000000000000e+00       1.694501388715e-12       1.525443642045e-12      -5.017002742012e-15 
   88       6.372907195734e-10       3.904901193432e-14      -1.870804010774e-12       0.000000000000e+00       1.623262200019e-12       1.488345004923e-12      -4.976875568728e-15 
