# Table of selected background quantities
# All densities are multiplied by (8piG/3) (below, shortcut notation (.) for this factor) 
# Densities are in units [Mpc^-2] while all distances are in [Mpc]. 
#    1:z                      2:proper time [Gyr]      3:conf. time [Mpc]       4:H [1/Mpc]              5:comov. dist.           6:ang.diam.dist.         7:lum. dist.             8:comov.snd.hrz.         9:(.)rho_g              10:(.)rho_b              11:(.)rho_cdm            12:(.)rho_lambda         13:(.)rho_ur             14:(.)rho_crit           15:gr.fac. D             16:gr.fac. f          
       9.999999999990e+11       7.559518496491e-22       4.635512595996e-07       2.157256296416e+18       1.419219194055e+04       1.419219194055e-08       1.419219194055e+16       2.676317460047e-07       2.751560535470e+36       2.467857824327e+27       1.328504166928e+28       3.523842550578e-08       1.902194177205e+36       4.653754728428e+36       7.015751252647e-18       2.000000000000e+12 
       9.930486593833e+11       7.665722171848e-22       4.667963366956e-07       2.127368890893e+18       1.419219194055e+04       1.429153728413e-08       1.409353718028e+16       2.695051682261e-07       2.675846458098e+36       2.416749983481e+27       1.300991650260e+28       3.523842550578e-08       1.849851924417e+36       4.525698397941e+36       9.787834162563e-08       1.433565615445e+02 
       9.861456399039e+11       7.773417902639e-22       4.700650606537e-07       2.097895556249e+18       1.419219194054e+04       1.439157804512e-08       1.399556820286e+16       2.713917044031e-07       2.602215788101e+36       2.366700555064e+27       1.274048901148e+28       3.523842550578e-08       1.798949961721e+36       4.401165764929e+36       1.957566832431e-07       7.167828077441e+01 
       9.792906056642e+11       7.882626650751e-22       4.733537934953e-07       2.068830555796e+18       1.419219194054e+04       1.449231909143e-08       1.389828024117e+16       2.732914463332e-07       2.530611196823e+36       2.317687619997e+27       1.247664120052e+28       3.523842550578e-08       1.749448656976e+36       4.280059868594e+36       2.936350248595e-07       4.778552051658e+01 
       9.724832231024e+11       7.993369672564e-22       4.766679921886e-07       2.040168232325e+18       1.419219194054e+04       1.459376532507e-08       1.380166856124e+16       2.752044864568e-07       2.460976933108e+36       2.269689713130e+27       1.221825751793e+28       3.523842550578e-08       1.701309468590e+36       4.162286416186e+36       3.915133664747e-07       3.583914038745e+01 
       9.657231609756e+11       8.105668523088e-22       4.800040187547e-07       2.011903007004e+18       1.419219194053e+04       1.469592168234e-08       1.370572846200e+16       2.771309178613e-07       2.393258779892e+36       2.222685813843e+27       1.196522480491e+28       3.523842550578e-08       1.654494915511e+36       4.047753709591e+36       4.893917080889e-07       2.867131230991e+01 
       9.590100903431e+11       8.219545060162e-22       4.833655111725e-07       1.984029378293e+18       1.419219194053e+04       1.479879313411e-08       1.361045527507e+16       2.790708342855e-07       2.327404011990e+36       2.176655336841e+27       1.171743224612e+28       3.523842550578e-08       1.608968548044e+36       3.936372573929e+36       5.872700497020e-07       2.389276025819e+01 
       9.523436845512e+11       8.335021448705e-22       4.867488314630e-07       1.956541920871e+18       1.419219194053e+04       1.490238468605e-08       1.351584436451e+16       2.810243301247e-07       2.263361355044e+36       2.131578123140e+27       1.147477132114e+28       3.523842550578e-08       1.564694919474e+36       3.828056288125e+36       6.851483913141e-07       2.047950879266e+01 
       9.457236192166e+11       8.452120165028e-22       4.901557986159e-07       1.929435284582e+18       1.419219194052e+04       1.500670137885e-08       1.342189112662e+16       2.829915004348e-07       2.201080945601e+36       2.087434431232e+27       1.123713575695e+28       3.523842550578e-08       1.521639558464e+36       3.722720517389e+36       7.830267329251e-07       1.791957019351e+01 
       9.391495722111e+11       8.570864001216e-22       4.935864126310e-07       1.902704193393e+18       1.419219194052e+04       1.511174828850e-08       1.332859098969e+16       2.849724409370e-07       2.140514292289e+36       2.044204928448e+27       1.100442148136e+28       3.523842550578e-08       1.479768942217e+36       3.620283247555e+36       8.809050745351e-07       1.592850683861e+01 
       9.326212236455e+11       8.691276069556e-22       4.970424924977e-07       1.876343444367e+18       1.419219194052e+04       1.521753052652e-08       1.323593941379e+16       2.869672480226e-07       2.081614238065e+36       2.001870682483e+27       1.077652657748e+28       3.523842550578e-08       1.439050470375e+36       3.520664721218e+36       9.787834161441e-07       1.433565615470e+01 
