# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.488636300949e-10       4.467962932093e-15       3.776458896567e-13       0.000000000000e+00       8.709237532970e-09       4.856622395705e-10      -1.977818496805e-12 
    3       1.406309245638e-10       5.732941095170e-15       4.246883556373e-13       0.000000000000e+00       5.402207149769e-09       3.444458503252e-10      -1.497013351269e-12 
    4       1.328879919119e-10       4.964109231136e-15       3.970506234718e-13       0.000000000000e+00       3.760706460046e-09       2.606038718628e-10      -9.804910246620e-13 
    5       1.270864848701e-10       3.316299985472e-15       3.381387213378e-13       0.000000000000e+00       2.805907172089e-09       2.056242822611e-10      -5.459405804648e-13 
    6       1.230815699540e-10       1.856499572909e-15       2.724124570943e-13       0.000000000000e+00       2.189616587743e-09       1.671825103270e-10      -2.255670792202e-13 
    7       1.205152851193e-10       1.002926415813e-15       2.139733632688e-13       0.000000000000e+00       1.765471573622e-09       1.390836718048e-10      -2.089433372523e-14 
    8       1.189492416654e-10       6.459169551498e-16       1.690051513348e-13       0.000000000000e+00       1.459190813896e-09       1.177948690234e-10       8.397106825900e-14 
    9       1.181759254217e-10       5.179761594108e-16       1.388545000453e-13       0.000000000000e+00       1.229055206568e-09       1.012097813430e-10       1.138158674752e-13 
   10       1.179953540849e-10       4.414075268831e-16       1.220576424152e-13       0.000000000000e+00       1.050724992516e-09       8.803553596445e-11       9.613493550440e-14 
   11       1.182317037263e-10       3.704954370725e-16       1.158380161582e-13       0.000000000000e+00       8.852204362296e-10       7.770659088889e-11       5.655758932835e-14 
   12       1.188592205467e-10       3.217920413070e-16       1.169858560318e-13       0.000000000000e+00       7.734579619472e-10       6.885852822356e-11       1.417436687070e-14 
   13       1.197297195830e-10       3.076317165101e-16       1.225759498137e-13       0.000000000000e+00       6.817182809678e-10       6.143807379121e-11      -1.855940825177e-14 
   14       1.207755509628e-10       3.198201004194e-16       1.304564278597e-13       0.000000000000e+00       6.053857573721e-10       5.505849094165e-11      -3.650183091623e-14 
   15       1.220237695120e-10       3.456650142800e-16       1.392127496822e-13       0.000000000000e+00       5.411381513689e-10       4.967651667297e-11      -3.997679082988e-14 
   16       1.234428580627e-10       3.822168454271e-16       1.481249693777e-13       0.000000000000e+00       4.865151429702e-10       4.509292936860e-11      -3.315556371083e-14 
   17       1.249538863910e-10       4.350448391786e-16       1.570575274683e-13       0.000000000000e+00       4.396585248728e-10       4.109344778932e-11      -2.163152467498e-14 
   18       1.265754797968e-10       5.100755911039e-16       1.661204498634e-13       0.000000000000e+00       3.989884885509e-10       3.754853593199e-11      -1.056627058486e-14 
   19       1.283168208833e-10       6.078391762646e-16       1.755592413844e-13       0.000000000000e+00       3.638609482387e-10       3.443141972474e-11      -2.704174420487e-15 
   20       1.301157347130e-10       7.263319505670e-16       1.856175533631e-13       0.000000000000e+00       3.329228020691e-10       3.166869360143e-11       1.277557579432e-16 
   21       1.319852541385e-10       8.647351089755e-16       1.962360798098e-13       0.000000000000e+00       3.056882830947e-10       2.924637168706e-11      -1.508454161859e-15 
   22       1.339280268724e-10       1.022340047125e-15       2.071780040736e-13       0.000000000000e+00       2.815057429269e-10       2.712408747124e-11      -5.809002131631e-15 
   23       1.359377051062e-10       1.199542658666e-15       2.181212526033e-13       0.000000000000e+00       2.600424999585e-10       2.524461714760e-11      -1.093578693373e-14 
   24       1.379837916859e-10       1.396839691799e-15       2.286628795380e-13       0.000000000000e+00       2.408022143094e-10       2.352257410057e-11      -1.493010618897e-14 
   25       1.400711751370e-10       1.614102949077e-15       2.384622025848e-13       0.000000000000e+00       2.235589145649e-10       2.193658692368e-11      -1.698587995470e-14 
   26       1.422008497421e-10       1.851288820484e-15       2.472086470289e-13       0.000000000000e+00       2.080010266860e-10       2.047533553023e-11      -1.681306913731e-14 
   27       1.443802357012e-10       2.110621383635e-15       2.548139078047e-13       0.000000000000e+00       1.939421181048e-10       1.915189634894e-11      -1.493441570915e-14 
   28       1.466074373128e-10       2.395001667034e-15       2.612828035668e-13       0.000000000000e+00       1.811398809444e-10       1.797446277861e-11      -1.223781575993e-14 
   29       1.488858315660e-10       2.705974877300e-15       2.666619168195e-13       0.000000000000e+00       1.695288121162e-10       1.692763023851e-11      -9.432062738854e-15 
   30       1.512057622574e-10       3.044641577303e-15       2.710427378880e-13       0.000000000000e+00       1.589839981484e-10       1.597332664612e-11      -7.309944562298e-15 
   31       1.535465013008e-10       3.412039546759e-15       2.745252997741e-13       0.000000000000e+00       1.492901296744e-10       1.506622686560e-11      -6.612253794926e-15 
   32       1.559128082860e-10       3.809164895567e-15       2.770816033551e-13       0.000000000000e+00       1.403972474828e-10       1.420913898419e-11      -7.148583087437e-15 
