# Matter power spectrum P(k) at redshift z=0
# for k=1.04079e-05 to 1.71393 h/Mpc,
# number of wavenumbers equal to 568
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.040786990893e-05       5.307719808743e+01 
       2.324783283739e-05       1.149810626741e+02 
       3.613264030290e-05       1.757269254478e+02 
       4.909673912387e-05       2.359967213476e+02 
       6.217514207698e-05       2.961736552981e+02 
       7.540373812016e-05       3.565419692338e+02 
       8.881961247206e-05       4.173428507333e+02 
       1.024613807804e-04       4.787971782986e+02 
       1.163695416441e-04       5.411171505768e+02 
       1.305868517874e-04       6.045132585739e+02 
       1.451587281911e-04       6.691990816246e+02 
       1.601336814312e-04       7.353949787513e+02 
       1.755637843044e-04       8.033312054224e+02 
       1.915051794670e-04       8.732507381689e+02 
       2.080186291821e-04       9.454119637259e+02 
       2.251701092359e-04       1.020091312790e+03 
       2.430314474857e-04       1.097585907843e+03 
       2.616810051246e-04       1.178216204197e+03 
       2.812043953358e-04       1.262328650408e+03 
       3.016952292373e-04       1.350298283739e+03 
       3.232558725298e-04       1.442531223435e+03 
       3.459981876522e-04       1.539466909670e+03 
       3.700442251636e-04       1.641579934328e+03 
       3.955268142423e-04       1.749381241170e+03 
       4.225899856214e-04       1.863418401076e+03 
       4.513891414479e-04       1.984274586771e+03 
       4.820908667031e-04       2.112565827549e+03 
       5.148722583449e-04       2.248936067419e+03 
       5.499196350939e-04       2.394049455239e+03 
       5.874264883575e-04       2.548579444084e+03 
       6.275905502423e-04       2.713194264771e+03 
       6.706098956786e-04       2.888538655889e+03 
       7.166780688392e-04       3.075211960856e+03 
       7.659783315466e-04       3.273743289740e+03 
       8.186772676071e-04       3.484565021562e+03 
       8.749181254647e-04       3.707986283139e+03 
       9.348144142051e-04       3.944168852077e+03 
       9.984443493259e-04       4.193107918141e+03 
       1.065846741316e-03       4.454620060519e+03 
       1.137018813018e-03       4.728340353281e+03 
       1.211916227576e-03       5.013729372914e+03 
       1.290455342633e-03       5.310089757014e+03 
       1.372517433847e-03       5.616590722200e+03 
       1.457954410170e-03       5.932298205746e+03 
       1.546595416946e-03       6.256207210760e+03 
       1.638253705012e-03       6.587273844636e+03 
       1.732733220092e-03       6.924444723021e+03 
       1.829834503550e-03       7.266682253882e+03 
       1.929359654305e-03       7.612984605059e+03 
       2.031116250061e-03       7.962388077811e+03 
       2.134920243863e-03       8.314009276489e+03 
       2.240597931798e-03       8.667034914759e+03 
       2.347987131486e-03       9.020715293256e+03 
       2.456937726101e-03       9.374371371009e+03 
       2.567311723843e-03       9.727393372068e+03 
       2.678982966389e-03       1.007923584947e+04 
       2.791836598083e-03       1.042941552563e+04 
       2.905768385018e-03       1.077750405162e+04 
       3.020683952107e-03       1.112312611089e+04 
       3.136497988191e-03       1.146595149827e+04 
       3.253133454418e-03       1.180569353104e+04 
       3.370520819585e-03       1.214210099296e+04 
       3.488597337305e-03       1.247495909641e+04 
       3.607306373460e-03       1.280407984235e+04 
       3.726596787777e-03       1.312930621899e+04 
       3.846422370219e-03       1.345049998136e+04 
       3.966741330795e-03       1.376754795732e+04 
       4.087515840061e-03       1.408035582785e+04 
       4.208711616878e-03       1.438884128685e+04 
       4.330297559598e-03       1.469294500131e+04 
       4.452245416774e-03       1.499261013026e+04 
       4.574529493566e-03       1.528780335061e+04 
       4.697126390211e-03       1.557848754021e+04 
       4.820014769137e-03       1.586459601538e+04 
       4.943175147643e-03       1.614622951670e+04 
       5.066589713269e-03       1.642329046323e+04 
       5.190242159341e-03       1.669580975982e+04 
       5.314117538382e-03       1.696382352014e+04 
       5.438202131361e-03       1.722735056335e+04 
       5.562483330971e-03       1.748635187679e+04 
       5.686949537328e-03       1.774006386523e+04 
       5.811590064678e-03       1.799009147012e+04 
       5.936395057861e-03       1.823566622537e+04 
       6.061355417417e-03       1.847677183440e+04 
       6.186462732378e-03       1.871357294245e+04 
       6.311709219872e-03       1.894617286628e+04 
       6.437087670784e-03       1.917465053280e+04 
       6.562591400821e-03       1.939829635277e+04 
       6.688214206365e-03       1.961779247903e+04 
       6.813950324622e-03       1.983300847100e+04 
       6.939794397585e-03       2.004414718776e+04 
       7.065741439424e-03       2.025115912983e+04 
       7.191786806921e-03       2.045402452280e+04 
       7.317926172655e-03       2.065281147673e+04 
       7.444155500636e-03       2.084742306380e+04 
       7.570471024152e-03       2.103826406761e+04 
       7.696869225591e-03       2.122566440005e+04 
       7.823346818054e-03       2.140859964440e+04 
       7.949900728577e-03       2.158765579021e+04 
       8.076528082798e-03       2.176287335886e+04 
       8.203226190940e-03       2.193436250518e+04 
       8.329992534984e-03       2.210208185062e+04 
       8.456824756904e-03       2.226610125720e+04 
       8.583720647889e-03       2.242644250936e+04 
       8.710678138434e-03       2.258316774807e+04 
       8.837695289246e-03       2.273630383342e+04 
       8.964770282871e-03       2.288585537939e+04 
       9.091901415992e-03       2.303192499154e+04 
       9.219087092328e-03       2.317455010667e+04 
       9.346325816085e-03       2.331372346441e+04 
       9.473616185919e-03       2.344953373967e+04 
       9.600956889354e-03       2.358136062353e+04 
       9.728346697623e-03       2.371111919645e+04 
       9.855784460900e-03       2.383697250532e+04 
       9.983269103887e-03       2.395965056102e+04 
       1.011079962172e-02       2.407899304612e+04 
       1.023837507619e-02       2.419522880646e+04 
       1.036599459221e-02       2.430842923530e+04 
       1.049365735460e-02       2.441844578884e+04 
       1.062136260499e-02       2.452534013651e+04 
       1.074910963909e-02       2.462936074330e+04 
       1.087689780404e-02       2.473024103580e+04 
       1.100472649597e-02       2.482823361316e+04 
       1.113259515779e-02       2.492332106676e+04 
       1.126050327707e-02       2.501559710605e+04 
       1.138845038409e-02       2.510489004570e+04 
       1.151643605002e-02       2.519136502591e+04 
       1.164445988526e-02       2.527513259079e+04 
       1.177252153786e-02       2.535621548508e+04 
       1.190062069204e-02       2.543440190714e+04 
       1.202875706686e-02       2.550995496692e+04 
       1.215693041496e-02       2.558293986155e+04 
       1.228514052134e-02       2.565330842656e+04 
       1.241338720235e-02       2.572102279410e+04 
       1.254167030459e-02       2.578618400287e+04 
       1.266998970404e-02       2.584868755136e+04 
       1.279834530514e-02       2.590880602433e+04 
       1.292673704001e-02       2.596651236894e+04 
       1.305516486768e-02       2.602171043490e+04 
       1.318362877343e-02       2.607453035106e+04 
       1.331212876812e-02       2.612497183965e+04 
       1.344066488761e-02       2.617312945707e+04 
       1.356923719223e-02       2.621882060445e+04 
       1.369784576626e-02       2.626231717655e+04 
       1.382649071750e-02       2.630345410042e+04 
       1.395517217684e-02       2.634239447813e+04 
       1.408389029789e-02       2.637925023731e+04 
       1.421264525665e-02       2.641373277876e+04 
       1.434143725116e-02       2.644610864950e+04 
       1.447026650130e-02       2.647643520607e+04 
       1.459913324845e-02       2.650462584235e+04 
       1.472803775538e-02       2.653070943709e+04 
       1.485698030600e-02       2.655476447255e+04 
       1.498596120520e-02       2.657692871525e+04 
       1.511498077877e-02       2.659689558527e+04 
       1.524403937324e-02       2.661495915139e+04 
       1.537313735582e-02       2.663115472112e+04 
       1.550227511436e-02       2.664533621978e+04 
       1.563145305726e-02       2.665766299553e+04 
       1.576067161353e-02       2.666815877543e+04 
       1.588993123274e-02       2.667678419410e+04 
       1.601923238505e-02       2.668274643574e+04 
       1.614857556129e-02       2.668860629506e+04 
       1.627796127301e-02       2.669192372289e+04 
       1.640739005255e-02       2.669254847516e+04 
       1.653686245316e-02       2.669312292140e+04 
       1.666637904915e-02       2.669130391512e+04 
       1.679594043597e-02       2.668760195117e+04 
       1.692554723041e-02       2.668234969813e+04 
       1.705520007076e-02       2.667558315386e+04 
       1.718489961704e-02       2.666714796188e+04 
       1.731464655114e-02       2.665702060445e+04 
       1.744444157710e-02       2.664549960028e+04 
       1.757428542135e-02       2.663170074059e+04 
       1.770417883296e-02       2.661693294719e+04 
       1.783412258389e-02       2.660059717024e+04 
       1.796411746933e-02       2.658389216503e+04 
       1.809416430801e-02       2.656432248230e+04 
       1.822426394247e-02       2.654429646722e+04 
       1.835441723945e-02       2.652249554407e+04 
       1.848462509026e-02       2.649853118558e+04 
       1.861488841112e-02       2.647375958524e+04 
       1.874520814357e-02       2.644751871637e+04 
       1.887558525490e-02       2.642058456714e+04 
       1.900602073852e-02       2.639281763100e+04 
       1.913651561450e-02       2.636296150955e+04 
       1.926707092994e-02       2.633083728680e+04 
       1.939768775950e-02       2.629948497294e+04 
       1.952836720591e-02       2.626591538902e+04 
       1.965911040044e-02       2.623112083743e+04 
       1.978991850349e-02       2.619412636547e+04 
       1.992079270510e-02       2.615810063093e+04 
       2.005173422557e-02       2.611920665060e+04 
       2.018274431602e-02       2.607958269996e+04 
       2.031382425903e-02       2.604000780250e+04 
       2.044497536926e-02       2.599740519832e+04 
       2.057619899412e-02       2.595568276528e+04 
       2.070749651443e-02       2.591213471376e+04 
       2.083886934517e-02       2.586640505607e+04 
       2.097031893613e-02       2.582069462465e+04 
       2.110184677274e-02       2.577428719612e+04 
       2.123345437678e-02       2.572648487261e+04 
