# Matter power spectrum P(k) at redshift z=0
# for k=1.04082e-05 to 1.64718 h/Mpc,
# number of wavenumbers equal to 565
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.040816473117e-05       5.305384796008e+01 
       2.345090916425e-05       1.158927999937e+02 
       3.654020436240e-05       1.775499953470e+02 
       4.971215918584e-05       2.387295886668e+02 
       6.300349042371e-05       2.998273907152e+02 
       7.645185843039e-05       3.611378313930e+02 
       9.009621369473e-05       4.229114851455e+02 
       1.039771590610e-04       4.853785216165e+02 
       1.181373323553e-04       5.487606783660e+02 
       1.326218142066e-04       6.132784853917e+02 
       1.474785658513e-04       6.791562665044e+02 
       1.627589016372e-04       7.466260225089e+02 
       1.785180007259e-04       8.159307368243e+02 
       1.948154620560e-04       8.873273906744e+02 
       2.117159058557e-04       9.610898483285e+02 
       2.292896237301e-04       1.037511702134e+03 
       2.476132773991e-04       1.116909121631e+03 
       2.667706432713e-04       1.199623716192e+03 
       2.868533958863e-04       1.286025388439e+03 
       3.079619174683e-04       1.376515121274e+03 
       3.302061129618e-04       1.471527601234e+03 
       3.537061995223e-04       1.571533532612e+03 
       3.785934260951e-04       1.677041438612e+03 
       4.050106622045e-04       1.788598677393e+03 
       4.331127755223e-04       1.906791323734e+03 
       4.630666959819e-04       2.032242485952e+03 
       4.950510419852e-04       2.165608552041e+03 
       5.292551649169e-04       2.307572803973e+03 
       5.658774569244e-04       2.458835827546e+03 
       6.051227708893e-04       2.620102206163e+03 
       6.471988293970e-04       2.792063153715e+03 
       6.923115600061e-04       2.975368355657e+03 
       7.406593931972e-04       3.170634247076e+03 
       7.924266962707e-04       3.378349267424e+03 
       8.477766793673e-04       3.598911842904e+03 
       9.068442732512e-04       3.832569278658e+03 
       9.697296050218e-04       4.079400722623e+03 
       1.036492745840e-03       4.339295471014e+03 
       1.107150341826e-03       4.611951891997e+03 
       1.181674557660e-03       4.896896264244e+03 
       1.259994487622e-03       5.193456751164e+03 
       1.341999876411e-03       5.500810325555e+03 
       1.427546711152e-03       5.818012042633e+03 
       1.516464055934e-03       6.144042137304e+03 
       1.608561431818e-03       6.477798781361e+03 
       1.703636094107e-03       6.818177017791e+03 
       1.801479692907e-03       7.164080071752e+03 
       1.901883977921e-03       7.514433913845e+03 
       2.004645383062e-03       7.868229712939e+03 
       2.109568471959e-03       8.224502771201e+03 
       2.216468328915e-03       8.582379030709e+03 
       2.325172040443e-03       8.941052766426e+03 
       2.435519437551e-03       9.299789716297e+03 
       2.547363268436e-03       9.657927037595e+03 
       2.660568955178e-03       1.001488100179e+04 
       2.775014064354e-03       1.037012227509e+04 
       2.890587595847e-03       1.072319667463e+04 
       3.007189169841e-03       1.107369569726e+04 
       3.124728170948e-03       1.142126671601e+04 
       3.243122891049e-03       1.176559433398e+04 
       3.362299698830e-03       1.210640955273e+04 
       3.482192253686e-03       1.244348334001e+04 
       3.602740774062e-03       1.277661522343e+04 
       3.723891364951e-03       1.310563624528e+04 
       3.845595405524e-03       1.343040033501e+04 
       3.967808995475e-03       1.375078760671e+04 
       4.090492457099e-03       1.406669139960e+04 
       4.213609889293e-03       1.437803358133e+04 
       4.337128769215e-03       1.468474277101e+04 
       4.461019597272e-03       1.498676928819e+04 
       4.585255581160e-03       1.528407065628e+04 
       4.709812354914e-03       1.557661745717e+04 
       4.834667729206e-03       1.586438964280e+04 
       4.959801469426e-03       1.614737657683e+04 
       5.085195098428e-03       1.642557213855e+04 
       5.210831721122e-03       1.669898046160e+04 
       5.336695868394e-03       1.696760801649e+04 
       5.462773358122e-03       1.723146967557e+04 
       5.589051171302e-03       1.749065103356e+04 
       5.715517341539e-03       1.774504246072e+04 
       5.842160856347e-03       1.799473052654e+04 
       5.968971568902e-03       1.823974712199e+04 
       6.095940119048e-03       1.848012377244e+04 
       6.223057862500e-03       1.871589440813e+04 
       6.350316807312e-03       1.894709508201e+04 
       6.477709556799e-03       1.917376366601e+04 
       6.605229258187e-03       1.939593957234e+04 
       6.732869556358e-03       1.961366351786e+04 
       6.860624552139e-03       1.982697730008e+04 
       6.988488764629e-03       2.003592360876e+04 
       7.116457097144e-03       2.024054587338e+04 
       7.244524806384e-03       2.044088811463e+04 
       7.372687474483e-03       2.063699484399e+04 
       7.500940983655e-03       2.082891096841e+04 
       7.629281493145e-03       2.101668170545e+04 
       7.757705418279e-03       2.120035252523e+04 
       7.886209411369e-03       2.137996907731e+04 
       8.014790344316e-03       2.155557713513e+04 
       8.143445292726e-03       2.172722253938e+04 
       8.272171521398e-03       2.189495112730e+04 
       8.400966471053e-03       2.205880868411e+04 
       8.529827746176e-03       2.221884087489e+04 
       8.658753103883e-03       2.237509318922e+04 
       8.787740443699e-03       2.252761089456e+04 
       8.916787798171e-03       2.267643898041e+04 
       9.045893324250e-03       2.282162213304e+04 
       9.175055295349e-03       2.296320469744e+04 
       9.304272094038e-03       2.310123066817e+04 
       9.433542205315e-03       2.323568666116e+04 
       9.562864210389e-03       2.336672906371e+04 
       9.692236780952e-03       2.349434474942e+04 
       9.821658673884e-03       2.361857631490e+04 
       9.951128726358e-03       2.373946603277e+04 
       1.008064585131e-02       2.385705583003e+04 
       1.021020903326e-02       2.397138730095e+04 
       1.033981732440e-02       2.408250167376e+04 
