# Table of selected background quantities
# All densities are multiplied by (8piG/3) (below, shortcut notation (.) for this factor) 
# Densities are in units [Mpc^-2] while all distances are in [Mpc]. 
#    1:z                      2:proper time [Gyr]      3:conf. time [Mpc]       4:H [1/Mpc]              5:comov. dist.           6:ang.diam.dist.         7:lum. dist.             8:comov.snd.hrz.         9:(.)rho_g              10:(.)rho_b              11:(.)rho_cdm            12:(.)n_ncdm[0]          13:(.)rho_ncdm[0]        14:(.)p_ncdm[0]          15:(.)rho_lambda         16:(.)rho_ur             17:(.)rho_crit           18:(.)rho_dcdm           19:(.)rho_dr             20:gr.fac. D             21:gr.fac. f          
       9.999999999990e+11       7.559518499458e-22       4.635512595996e-07       2.157256295570e+18       1.601494227392e+04       1.601494227392e-08       1.601494227392e+16       2.676317461098e-07       2.751560535470e+36       2.467857824327e+27       1.112650056054e+25       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       3.522729900522e-08       1.902194177205e+36       4.653754724774e+36       9.620656571050e+27       1.103979501950e+03       9.437763978337e-18       2.000000000000e+12 
       9.930486593833e+11       7.665722174857e-22       4.667963366956e-07       2.127368890053e+18       1.601494227391e+04       1.612704686983e-08       1.590361695523e+16       2.695051683319e-07       2.675846458098e+36       2.416749983481e+27       1.089607747286e+25       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       3.522729900522e-08       1.849851924417e+36       4.525698394364e+36       9.421418600361e+27       1.096305364370e+03       1.316683921063e-07       1.433565615449e+02 
       9.861456399039e+11       7.773417905691e-22       4.700650606537e-07       2.097895555414e+18       1.601494227391e+04       1.623993619792e-08       1.579306549674e+16       2.713917045096e-07       2.602215788101e+36       2.366700555064e+27       1.067042630777e+25       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       3.522729900522e-08       1.798949961721e+36       4.401165761426e+36       9.226306727373e+27       1.088684572334e+03       2.633367842020e-07       7.167828077471e+01 
       9.792906056642e+11       7.882626653846e-22       4.733537934953e-07       2.068830554967e+18       1.601494227391e+04       1.635361575130e-08       1.568328251911e+16       2.732914464405e-07       2.530611196823e+36       2.317687619997e+27       1.044944824165e+25       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       3.522729900522e-08       1.749448656976e+36       4.280059865163e+36       9.035235503102e+27       1.081116755021e+03       3.950051762965e-07       4.778552051683e+01 
       9.724832231025e+11       7.993369675703e-22       4.766679921886e-07       2.040168231501e+18       1.601494227390e+04       1.646809106155e-08       1.557426268034e+16       2.752044865649e-07       2.460976933108e+36       2.269689713130e+27       1.023304649743e+25       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       3.522729900522e-08       1.701309468590e+36       4.162286412827e+36       8.848121248161e+27       1.073601544183e+03       5.266735683898e-07       3.583914038769e+01 
       9.657231609756e+11       8.105668526273e-22       4.800040187547e-07       2.011903006186e+18       1.601494227390e+04       1.658336769898e-08       1.546600067561e+16       2.771309179701e-07       2.393258779893e+36       2.222685813843e+27       1.002112630227e+25       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       3.522729900522e-08       1.654494915511e+36       4.047753706301e+36       8.664882016111e+27       1.066138574137e+03       6.583419604821e-07       2.867131231013e+01 
       9.590100903432e+11       8.219545063393e-22       4.833655111725e-07       1.984029377481e+18       1.601494227390e+04       1.669945127287e-08       1.535849123695e+16       2.790708343952e-07       2.327404011991e+36       2.176655336842e+27       9.813594845996e+24       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       3.522729900522e-08       1.608968548045e+36       3.936372570707e+36       8.485437557574e+27       1.058727481738e+03       7.900103525732e-07       2.389276025841e+01 
       9.523436845513e+11       8.335021451983e-22       4.867488314630e-07       1.956541920065e+18       1.601494227389e+04       1.681634743178e-08       1.525172913301e+16       2.810243302352e-07       2.263361355045e+36       2.131578123140e+27       9.610361240488e+24       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       3.522729900522e-08       1.564694919475e+36       3.828056284970e+36       8.309709285091e+27       1.051367906367e+03       9.216787446633e-07       2.047950879287e+01 
       9.457236192167e+11       8.452120168354e-22       4.901557986159e-07       1.929435283781e+18       1.601494227389e+04       1.693406186380e-08       1.514570916882e+16       2.829915005460e-07       2.201080945602e+36       2.087434431233e+27       9.411336479859e+24       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       3.522729900522e-08       1.521639558464e+36       3.722720514300e+36       8.137620238699e+27       1.044059489912e+03       1.053347136752e-06       1.791957019372e+01 
       9.391495722112e+11       8.570864004591e-22       4.935864126310e-07       1.902704192598e+18       1.601494227389e+04       1.705260029684e-08       1.504042618552e+16       2.849724410490e-07       2.140514292290e+36       2.044204928448e+27       9.216433401480e+24       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       3.522729900522e-08       1.479768942217e+36       3.620283244530e+36       7.969095052229e+27       1.036801876749e+03       1.185015528840e-06       1.592850683882e+01 
       9.326212236456e+11       8.691276072982e-22       4.970424924977e-07       1.876343443577e+18       1.601494227388e+04       1.717196849892e-08       1.493587506010e+16       2.869672481355e-07       2.081614238065e+36       2.001870682484e+27       9.025566647809e+24       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       3.522729900522e-08       1.439050470376e+36       3.520664718256e+36       7.804059920301e+27       1.029594713728e+03       1.316683920927e-06       1.433565615489e+01 
       9.261382558546e+11       8.813379810521e-22       5.005204002373e-07       1.850347905866e+18       1.601494227388e+04       1.729217227841e-08       1.483205070516e+16       2.889760188716e-07       2.024334923492e+36       1.960413153113e+27       8.838652629005e+24       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       3.522729900522e-08       1.399452439639e+36       3.423787372743e+36       7.642442565999e+27       1.022437650153e+03       1.448352313013e-06       1.303241468623e+01 
       9.197003533809e+11       8.937198983467e-22       5.040255928179e-07       1.824712519695e+18       1.601494227388e+04       1.741321748435e-08       1.472894806867e+16       2.909988510028e-07       1.968631751038e+36       1.919814184066e+27       8.655609486322e+24       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       3.522729900522e-08       1.360944019081e+36       3.329575779532e+36       7.484172209219e+27       1.015330337765e+03       1.580020705098e-06       1.194638012901e+01 
       9.133072029601e+11       9.062757691972e-22       5.075526132714e-07       1.799432295395e+18       1.601494227387e+04       1.753511000674e-08       1.462656213373e+16       2.930358429589e-07       1.914461350354e+36       1.880055995079e+27       8.476357056262e+24       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       3.522729900522e-08       1.323495226139e+36       3.237956585710e+36       7.329179535669e+27       1.008272430726e+03       1.711689097182e-06       1.102742781136e+01 
       9.069584935056e+11       9.190080374773e-22       5.111050995765e-07       1.774502312425e+18       1.601494227387e+04       1.765785577678e-08       1.452488791830e+16       2.950870938587e-07       1.861781544499e+36       1.841121174105e+27       8.300816835462e+24       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       3.522729900522e-08       1.287076903278e+36       3.148858456803e+36       7.177396666514e+27       1.001263585604e+03       1.843357489265e-06       1.023975439623e+01 
       9.006539160929e+11       9.319191813942e-22       5.146830517333e-07       1.749917718417e+18       1.601494227386e+04       1.778146076722e-08       1.442392047497e+16       2.971527035148e-07       1.810551317109e+36       1.802992669693e+27       8.128911946315e+24       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       3.522729900522e-08       1.251660695281e+36       3.062212021230e+36       7.028757128650e+27       9.943034613519e+02       1.975025881347e-06       9.557104103124e+00 
       8.943931639452e+11       9.450117139719e-22       5.182864697417e-07       1.725673728227e+18       1.601494227386e+04       1.790593099258e-08       1.432365489073e+16       2.992327724384e-07       1.760730780456e+36       1.765653783513e+27       7.960567103306e+24       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       3.522729900522e-08       1.217219027179e+36       2.977949816292e+36       6.883195825589e+27       9.873917192947e+02       2.106694273428e-06       8.959785096654e+00 
       8.881759324183e+11       9.582881835397e-22       5.219135346124e-07       1.701765623007e+18       1.601494227386e+04       1.803127250953e-08       1.422408628672e+16       3.013274018444e-07       1.712281144395e+36       1.729088163052e+27       7.795708580035e+24       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       3.522729900522e-08       1.183725082774e+36       2.896006235647e+36       6.740649008953e+27       9.805280231112e+02       2.238362665509e-06       8.432738914476e+00 
       8.820019189853e+11       9.717511742283e-22       5.255678843241e-07       1.678188749285e+18       1.601494227385e+04       1.815749141709e-08       1.412520981799e+16       3.034366936563e-07       1.665164686161e+36       1.693279794444e+27       7.634264176932e+24       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       3.522729900522e-08       1.151152783765e+36       2.816317478227e+36       6.601054250554e+27       9.737120388181e+02       2.370031057588e-06       7.964253419207e+00 
