# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       7.763374804878e-10       1.079315814023e-14       1.524896183619e-12       0.000000000000e+00       1.602412260337e-08       2.362471629143e-09      -1.619847983789e-12 
    3       6.145038184302e-10       1.569231112711e-14       1.682877179957e-12       0.000000000000e+00       9.576939177772e-09       1.559275906575e-09      -1.187113556049e-12 
    4       4.994907840734e-10       1.688429827352e-14       1.512407513037e-12       0.000000000000e+00       6.454532339067e-09       1.115550282891e-09      -9.544313216397e-13 
    5       4.177407285133e-10       1.556498416093e-14       1.227498741688e-12       0.000000000000e+00       4.675267709846e-09       8.390080833502e-10      -8.294780029596e-13 
    6       3.577587143243e-10       1.350868432890e-14       9.846465417189e-13       0.000000000000e+00       3.549512683522e-09       6.522404272655e-10      -6.872787632805e-13 
    7       3.124866340142e-10       1.182280535515e-14       8.242429983478e-13       0.000000000000e+00       2.787383268619e-09       5.192775315407e-10      -5.302156073017e-13 
    8       2.776372892892e-10       1.084589117384e-14       7.281088975197e-13       0.000000000000e+00       2.244654559766e-09       4.210598409811e-10      -4.012725035276e-13 
    9       2.503377390146e-10       1.052286433195e-14       6.739646050522e-13       0.000000000000e+00       1.843008973083e-09       3.464320063360e-10      -3.213409257171e-13 
   10       2.285600907787e-10       1.071741508806e-14       6.475589583941e-13       0.000000000000e+00       1.537036178140e-09       2.884293176691e-10      -2.858981568352e-13 
   11       2.110077791866e-10       1.133231633119e-14       6.380129843813e-13       0.000000000000e+00       1.305055675659e-09       2.444217220870e-10      -2.827486875601e-13 
   12       1.966929862636e-10       1.230250014068e-14       6.361312796459e-13       0.000000000000e+00       1.114197604705e-09       2.069917878349e-10      -2.874847844575e-13 
   13       1.849110548203e-10       1.356024606344e-14       6.353133817756e-13       0.000000000000e+00       9.604551767247e-10       1.763456364710e-10      -2.919446096752e-13 
   14       1.751824799435e-10       1.502858598462e-14       6.314108609498e-13       0.000000000000e+00       8.342341285100e-10       1.513308111730e-10      -2.859754225699e-13 
   15       1.670673217424e-10       1.663915363607e-14       6.227196284709e-13       0.000000000000e+00       7.297500760192e-10       1.303516177871e-10      -2.718593098472e-13 
   16       1.602835226124e-10       1.834738403407e-14       6.095772613277e-13       0.000000000000e+00       6.424405894465e-10       1.128242780001e-10      -2.485147601981e-13 
   17       1.546250244129e-10       2.013127995790e-14       5.932052089406e-13       0.000000000000e+00       5.688581391970e-10       9.815341432976e-11      -2.214662632583e-13 
   18       1.498503420397e-10       2.197908444515e-14       5.751607544478e-13       0.000000000000e+00       5.060002644237e-10       8.561528317721e-11      -1.959701326394e-13 
   19       1.458836149547e-10       2.387964795967e-14       5.567011614199e-13       0.000000000000e+00       4.525581796266e-10       7.493572807106e-11      -1.743194660324e-13 
   20       1.425334494591e-10       2.581911553940e-14       5.386374939373e-13       0.000000000000e+00       4.062850309107e-10       6.570656322724e-11      -1.577838275245e-13 
   21       1.397468424719e-10       2.778600022756e-14       5.211528290028e-13       0.000000000000e+00       3.662470580173e-10       5.776666601194e-11      -1.463876574232e-13 
   22       1.374281940299e-10       2.976910545206e-14       5.038423279543e-13       0.000000000000e+00       3.312511784479e-10       5.089977472930e-11      -1.391709980548e-13 
   23       1.355370552452e-10       3.176086350818e-14       4.860356039760e-13       0.000000000000e+00       3.006825615204e-10       4.497393434282e-11      -1.345198445257e-13 
   24       1.339969963062e-10       3.375507394557e-14       4.667566088706e-13       0.000000000000e+00       2.737151895094e-10       3.980546362235e-11      -1.303299528020e-13 
   25       1.327853202596e-10       3.574693660583e-14       4.455134514459e-13       0.000000000000e+00       2.499433258439e-10       3.530038025082e-11      -1.254764504219e-13 
   26       1.318584047375e-10       3.773306131413e-14       4.219184944508e-13       0.000000000000e+00       2.288434646780e-10       3.134450945480e-11      -1.191873601981e-13 
   27       1.311864066564e-10       3.971345673627e-14       3.960822588862e-13       0.000000000000e+00       2.100832429866e-10       2.786584667121e-11      -1.116895159656e-13 
   28       1.307226117470e-10       4.168964918267e-14       3.682685454741e-13       0.000000000000e+00       1.932561885425e-10       2.478120362694e-11      -1.035766098415e-13 
   29       1.304627530438e-10       4.366153242383e-14       3.388578866546e-13       0.000000000000e+00       1.782316724019e-10       2.206623441767e-11      -9.538784531791e-14 
   30       1.303894847842e-10       4.562900029934e-14       3.082639106366e-13       0.000000000000e+00       1.648053786694e-10       1.968619409218e-11      -8.772164022167e-14 
   31       1.304641047512e-10       4.759201836305e-14       2.768512676405e-13       0.000000000000e+00       1.526486462288e-10       1.758215582499e-11      -8.116225928440e-14 
   32       1.306833923796e-10       4.954846590156e-14       2.447761511960e-13       0.000000000000e+00       1.416676450784e-10       1.572844868566e-11      -7.584869367510e-14 
   33       1.310393385229e-10       5.149542742588e-14       2.120685241443e-13       0.000000000000e+00       1.317546247779e-10       1.409215184977e-11      -7.173568386563e-14 
   34       1.315104150016e-10       5.342991303134e-14       1.786766769621e-13       0.000000000000e+00       1.227338625811e-10       1.262823456981e-11      -6.865973471980e-14 
   35       1.320905688426e-10       5.534959560472e-14       1.445187762450e-13       0.000000000000e+00       1.145369880516e-10       1.132221928829e-11      -6.620985315696e-14 
   36       1.327674213301e-10       5.725227581009e-14       1.094320960420e-13       0.000000000000e+00       1.070757132199e-10       1.016013186780e-11      -6.379343844102e-14 
   37       1.335216865099e-10       5.913586456661e-14       7.323532864920e-14       0.000000000000e+00       1.002265266801e-10       9.121752511663e-12      -6.083508485925e-14 
   38       1.343565949665e-10       6.099908305390e-14       3.602242513822e-14       0.000000000000e+00       9.395900075845e-11       8.199610065410e-12      -5.738170787307e-14 
   39       1.352764277879e-10       6.284096689349e-14      -2.042580156561e-15       0.000000000000e+00       8.824236230704e-11       7.385010396508e-12      -5.369435031309e-14 
   40       1.362776349389e-10       6.466066604234e-14      -4.080734476754e-14       0.000000000000e+00       8.300689611186e-11       6.662216831465e-12      -5.009056984006e-14 
   41       1.373515133917e-10       6.645739866525e-14      -8.013367049237e-14       0.000000000000e+00       7.816558023256e-11       6.012700632571e-12      -4.687242089425e-14 
   42       1.384951788700e-10       6.823031866680e-14      -1.198999703427e-13       0.000000000000e+00       7.369543536051e-11       5.430934993497e-12      -4.407398884302e-14 
   43       1.397028432808e-10       6.997858825024e-14      -1.600037009414e-13       0.000000000000e+00       6.957707514551e-11       4.912777384446e-12      -4.163742189694e-14 
   44       1.409621215105e-10       7.170139811832e-14      -2.003638037433e-13       0.000000000000e+00       6.577046793878e-11       4.450852048676e-12      -3.947953695367e-14 
   45       1.422587283619e-10       7.339806225601e-14      -2.409208992151e-13       0.000000000000e+00       6.222744556519e-11       4.036460548457e-12      -3.751012922529e-14 
   46       1.435935345926e-10       7.506836547741e-14      -2.816321749970e-13       0.000000000000e+00       5.893746051293e-11       3.666563715733e-12      -3.569761693966e-14 
   47       1.449696782394e-10       7.671229855334e-14      -3.224791299514e-13       0.000000000000e+00       5.589278594449e-11       3.338476159148e-12      -3.401999847724e-14 
   48       1.463875233131e-10       7.832995383069e-14      -3.634719491721e-13       0.000000000000e+00       5.307482667989e-11       3.047780842638e-12      -3.244586475577e-14 
   49       1.478444141085e-10       7.992151893021e-14      -4.046518201373e-13       0.000000000000e+00       5.045333132949e-11       2.788211485538e-12      -3.093377871114e-14 
   50       1.493363502927e-10       8.148718349285e-14      -4.460627769076e-13       0.000000000000e+00       4.799468272143e-11       2.553121995606e-12      -2.944584427812e-14 
   51       1.508641181981e-10       8.302684419903e-14      -4.876528493906e-13       0.000000000000e+00       4.569124997268e-11       2.340637818430e-12      -2.799419501118e-14 
   52       1.524283991100e-10       8.454030878635e-14      -5.293500857733e-13       0.000000000000e+00       4.353864182915e-11       2.149699584963e-12      -2.660605166880e-14 
   53       1.540278423303e-10       8.602736585527e-14      -5.710915405964e-13       0.000000000000e+00       4.152697262069e-11       1.978556391047e-12      -2.531068170837e-14 
   54       1.556589098775e-10       8.748777447502e-14      -6.128241569329e-13       0.000000000000e+00       3.964050160769e-11       1.824722881421e-12      -2.413944650816e-14 
   55       1.573174432461e-10       8.892139928295e-14      -6.545061396382e-13       0.000000000000e+00       3.786196229085e-11       1.685541968993e-12      -2.311669648495e-14 
   56       1.590041752475e-10       9.032867889593e-14      -6.961094536034e-13       0.000000000000e+00       3.618763599959e-11       1.560135009434e-12      -2.222969957269e-14 
   57       1.607203154085e-10       9.171025565633e-14      -7.376194913259e-13       0.000000000000e+00       3.461539119403e-11       1.447860921091e-12      -2.145132504532e-14 
   58       1.624658615897e-10       9.306683571095e-14      -7.790355179059e-13       0.000000000000e+00       3.314014752638e-11       1.347734096300e-12      -2.074823848883e-14 
   59       1.642395117790e-10       9.439918428549e-14      -8.203715723571e-13       0.000000000000e+00       3.175369791348e-11       1.258405081579e-12      -2.008059244761e-14 
   60       1.660385758843e-10       9.570812095903e-14      -8.616573689173e-13       0.000000000000e+00       3.044453060936e-11       1.178141257811e-12      -1.940171707105e-14 
   61       1.678600823732e-10       9.699440251828e-14      -9.029208960657e-13       0.000000000000e+00       2.920080086445e-11       1.105195280440e-12      -1.866917841622e-14 
   62       1.697045880082e-10       9.825835148418e-14      -9.441296103496e-13       0.000000000000e+00       2.802042787951e-11       1.039050747226e-12      -1.788155374374e-14 
   63       1.715730706140e-10       9.950013543912e-14      -9.852375822010e-13       0.000000000000e+00       2.690295880013e-11       9.794231231068e-13      -1.704939944506e-14 
   64       1.734657603907e-10       1.007198639611e-13      -1.026202947710e-12       0.000000000000e+00       2.584654267010e-11       9.258897754300e-13      -1.618466210547e-14 
   65       1.753820896178e-10       1.019175803313e-13      -1.066988229215e-12       0.000000000000e+00       2.484785243792e-11       8.778829574713e-13      -1.530072983777e-14 
   66       1.773206423590e-10       1.030932532414e-13      -1.107560655901e-12       0.000000000000e+00       2.390200696335e-11       8.346827919539e-13      -1.441248361578e-14 
   67       1.792791041665e-10       1.042467685011e-13      -1.147892484385e-12       0.000000000000e+00       2.300249302392e-11       7.954102545679e-13      -1.353634860805e-14 
   68       1.812551325896e-10       1.053780705460e-13      -1.187959750867e-12       0.000000000000e+00       2.214280658859e-11       7.592091474662e-13      -1.268727243434e-14 
   69       1.832492859503e-10       1.064876387928e-13      -1.227737517321e-12       0.000000000000e+00       2.132193715911e-11       7.258505209454e-13      -1.186883419107e-14 
   70       1.852626003881e-10       1.075760933523e-13      -1.267204233556e-12       0.000000000000e+00       2.053985969564e-11       6.952386815122e-13      -1.108121426361e-14 
   71       1.872956952985e-10       1.086440493885e-13      -1.306343495890e-12       0.000000000000e+00       1.979588026196e-11       6.672308943108e-13      -1.032406330210e-14 
   72       1.893487465869e-10       1.096921126569e-13      -1.345144327627e-12       0.000000000000e+00       1.908860200309e-11       6.416352001453e-13      -9.596474959792e-15 
   73       1.914214599235e-10       1.107208750433e-13      -1.383601459536e-12       0.000000000000e+00       1.841589112276e-11       6.182082325020e-13      -8.896958631313e-15 
   74       1.935130439979e-10       1.117309101025e-13      -1.421715610330e-12       0.000000000000e+00       1.777484286104e-11       5.966530345719e-13      -8.223412190953e-15 
   75       1.956221837728e-10       1.127227685970e-13      -1.459493767146e-12       0.000000000000e+00       1.716174747183e-11       5.766168762732e-13      -7.573094730959e-15 
   76       1.977475560540e-10       1.136969229440e-13      -1.496941989193e-12       0.000000000000e+00       1.657297547028e-11       5.577614942792e-13      -6.943542077746e-15 
   77       1.998895438594e-10       1.146535987247e-13      -1.534041683663e-12       0.000000000000e+00       1.600789495023e-11       5.399934250076e-13      -6.335566343520e-15 
   78       2.020487875345e-10       1.155929042016e-13      -1.570769493092e-12       0.000000000000e+00       1.546642691337e-11       5.232719030765e-13      -5.750756369621e-15 
   79       2.042256547997e-10       1.165148732648e-13      -1.607104513500e-12       0.000000000000e+00       1.494815826744e-11       5.075394778958e-13      -5.190575672580e-15 
   80       2.064202251251e-10       1.174194599228e-13      -1.643028421553e-12       0.000000000000e+00       1.445232665416e-11       4.927213157819e-13      -4.656354514835e-15 
   81       2.086322741056e-10       1.183065327934e-13      -1.678525601722e-12       0.000000000000e+00       1.397780527717e-11       4.787245020724e-13      -4.149281975441e-15 
   82       2.108612578364e-10       1.191758695948e-13      -1.713583273444e-12       0.000000000000e+00       1.352308772991e-11       4.654373432414e-13      -3.670398020786e-15 
   83       2.131062972876e-10       1.200271516366e-13      -1.748191618284e-12       0.000000000000e+00       1.308627282359e-11       4.527286690135e-13      -3.220585575303e-15 
   84       2.153665168981e-10       1.208600658713e-13      -1.782341324404e-12       0.000000000000e+00       1.266551427854e-11       4.404770765564e-13      -2.800321046938e-15 
   85       2.176421590772e-10       1.216746425554e-13      -1.816015473725e-12       0.000000000000e+00       1.226048868789e-11       4.286657620798e-13      -2.408895753517e-15 
   86       2.199336266753e-10       1.224709637247e-13      -1.849196536719e-12       0.000000000000e+00       1.187114422538e-11       4.173022038636e-13      -2.045050287293e-15 
