# Table of selected background quantities
# All densities are multiplied by (8piG/3) (below, shortcut notation (.) for this factor) 
# Densities are in units [Mpc^-2] while all distances are in [Mpc]. 
#    1:z                      2:proper time [Gyr]      3:conf. time [Mpc]       4:H [1/Mpc]              5:comov. dist.           6:ang.diam.dist.         7:lum. dist.             8:comov.snd.hrz.         9:(.)rho_g              10:(.)rho_b              11:(.)rho_cdm            12:(.)n_ncdm[0]          13:(.)rho_ncdm[0]        14:(.)p_ncdm[0]          15:(.)rho_lambda         16:(.)rho_ur             17:(.)rho_crit           18:(.)rho_dcdm           19:(.)rho_dr             20:gr.fac. D             21:gr.fac. f          
       9.999999999990e+11       7.559518500218e-22       4.635512595996e-07       2.157256295353e+18       1.689235196481e+04       1.689235196481e-08       1.689235196481e+16       2.676317461367e-07       2.751560535470e+36       2.467857824327e+27       1.112650056054e+25       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       3.522729900522e-08       1.902194177205e+36       4.653754723839e+36       8.684890560108e+27       2.082191398284e+03       1.032937290021e-17       2.000000000000e+12 
       9.930486593833e+11       7.665722175628e-22       4.667963366956e-07       2.127368889837e+18       1.689235196480e+04       1.701059842856e-08       1.677492747250e+16       2.695051683590e-07       2.675846458098e+36       2.416749983481e+27       1.089607747286e+25       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       3.522729900522e-08       1.849851924417e+36       4.525698393448e+36       8.505031736745e+27       2.067717376596e+03       1.441074309930e-07       1.433565615450e+02 
       9.861456399039e+11       7.773417906472e-22       4.700632416643e-07       2.097895555200e+18       1.689235196480e+04       1.712967261756e-08       1.665831923783e+16       2.713917045369e-07       2.602215788101e+36       2.366700555064e+27       1.067042630777e+25       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       3.522729900522e-08       1.798949961721e+36       4.401165760529e+36       8.328897680679e+27       2.053343968764e+03       2.882148619746e-07       7.167828077478e+01 
       9.792906056642e+11       7.882626654639e-22       4.733556124847e-07       2.068830554754e+18       1.689235196480e+04       1.724958032588e-08       1.654252158672e+16       2.732914464680e-07       2.530611196823e+36       2.317687619997e+27       1.044944824165e+25       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       3.522729900522e-08       1.749448656976e+36       4.280059864284e+36       8.156411254235e+27       2.039070475386e+03       4.323222929549e-07       4.778552051690e+01 
       9.724832231025e+11       7.993369676507e-22       4.766698111780e-07       2.040168231290e+18       1.689235196479e+04       1.737032738815e-08       1.642752888452e+16       2.752044865926e-07       2.460976933109e+36       2.269689713130e+27       1.023304649743e+25       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       3.522729900522e-08       1.701309468591e+36       4.162286411967e+36       7.987496917215e+27       2.024896201924e+03       5.764297239341e-07       3.583914038775e+01 
       9.657231609756e+11       8.105668527088e-22       4.800058377441e-07       2.011903005977e+18       1.689235196479e+04       1.749191967987e-08       1.631333553577e+16       2.771309179980e-07       2.393258779893e+36       2.222685813843e+27       1.002112630227e+25       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       3.522729900522e-08       1.654494915511e+36       4.047753705459e+36       7.822080693808e+27       2.010820458666e+03       7.205371549122e-07       2.867131231019e+01 
       9.590100903432e+11       8.219545064221e-22       4.833636921830e-07       1.984029377273e+18       1.689235196479e+04       1.761436311762e-08       1.619993598388e+16       2.790708344232e-07       2.327404011991e+36       2.176655336842e+27       9.813594845996e+24       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       3.522729900522e-08       1.608968548045e+36       3.936372569882e+36       7.660090140202e+27       1.996842560694e+03       8.646445858892e-07       2.389276025846e+01 
       9.523436845513e+11       8.335021452822e-22       4.867470124736e-07       1.956541919858e+18       1.689235196478e+04       1.773766365944e-08       1.608732471090e+16       2.810243302634e-07       2.263361355045e+36       2.131578123140e+27       9.610361240489e+24       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       3.522729900522e-08       1.564694919475e+36       3.828056284162e+36       7.501454312848e+27       1.982961827853e+03       1.008752016865e-06       2.047950879293e+01 
       9.457236192167e+11       8.452120169206e-22       4.901557986159e-07       1.929435283576e+18       1.689235196478e+04       1.786182730506e-08       1.597549623723e+16       2.829915005745e-07       2.201080945602e+36       2.087434431233e+27       9.411336479860e+24       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       3.522729900522e-08       1.521639558464e+36       3.722720513509e+36       7.346103737399e+27       1.969177584715e+03       1.152859447840e-06       1.791957019377e+01 
       9.391495722112e+11       8.570864005456e-22       4.935864126310e-07       1.902704192394e+18       1.689235196478e+04       1.798686009619e-08       1.586444512138e+16       2.849724410777e-07       2.140514292290e+36       2.044204928448e+27       9.216433401481e+24       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       3.522729900522e-08       1.479768942217e+36       3.620283243755e+36       7.193970378277e+27       1.955489160548e+03       1.296966878814e-06       1.592850683887e+01 
       9.326212236457e+11       8.691276073860e-22       4.970424924977e-07       1.876343443375e+18       1.689235196477e+04       1.811276811686e-08       1.575416595966e+16       2.869672481644e-07       2.081614238066e+36       2.001870682484e+27       9.025566647810e+24       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       3.522729900522e-08       1.439050470376e+36       3.520664717497e+36       7.044987608881e+27       1.941895889279e+03       1.441074309786e-06       1.433565615494e+01 
       9.261382558546e+11       8.813379811411e-22       5.005204002373e-07       1.850347905665e+18       1.689235196477e+04       1.823955749367e-08       1.564465338595e+16       2.889760189007e-07       2.024334923492e+36       1.960413153113e+27       8.838652629005e+24       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       3.522729900522e-08       1.399452439640e+36       3.423787372000e+36       6.899090182405e+27       1.928397109471e+03       1.585181740758e-06       1.303241468628e+01 
