# Matter power spectrum P(k) at redshift z=0
# for k=8.74422e-06 to 1.53634 h/Mpc,
# number of wavenumbers equal to 553
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       8.744222696063e-06       8.802628800037e+01 
       2.073724083488e-05       2.020864459093e+02 
       3.276454813450e-05       3.140185264730e+02 
       4.485418297445e-05       4.252477563940e+02 
       5.703456874696e-05       5.365870792454e+02 
       6.933473367082e-05       6.486582170544e+02 
       8.178453653039e-05       7.620052349744e+02 
       9.441490097641e-05       8.686461732220e+02 
       1.072580610458e-04       9.767066464755e+02 
       1.203478205838e-04       1.094581001286e+03 
       1.337198292698e-04       1.215624979279e+03 
       1.474118779458e-04       1.340352189236e+03 
       1.614642158958e-04       1.446738588900e+03 
       1.759198926023e-04       1.576384956412e+03 
       1.908251262702e-04       1.702412075569e+03 
       2.062297010034e-04       1.833743779523e+03 
       2.221873938875e-04       1.979370310549e+03 
       2.387564322736e-04       2.130692410679e+03 
       2.559999801721e-04       2.253784931324e+03 
       2.739866507140e-04       2.401759387212e+03 
       2.927910389555e-04       2.560004741896e+03 
       3.124942657015e-04       2.728130334326e+03 
       3.331845183076e-04       2.892727277352e+03 
       3.549575683794e-04       3.080603067871e+03 
       3.779172387633e-04       3.298139902349e+03 
       4.021757831431e-04       3.473024442216e+03 
       4.278541310338e-04       3.689768393874e+03 
       4.550819394042e-04       3.888430243990e+03 
       4.839973804244e-04       4.132520721988e+03 
       5.147465844109e-04       4.376961505366e+03 
       5.474826501887e-04       4.626571545761e+03 
       5.823641348951e-04       4.909015802559e+03 
       6.195529455356e-04       5.195255394327e+03 
       6.592115794027e-04       5.501699973891e+03 
       7.014997031843e-04       5.828866456748e+03 
       7.465701225486e-04       6.175848822755e+03 
       7.945642727940e-04       6.539686244842e+03 
       8.456074491371e-04       6.924468282547e+03 
       8.998040789390e-04       7.330211324315e+03 
       9.572333997312e-04       7.755506859167e+03 
       1.017945927582e-03       8.198992698240e+03 
       1.081961066191e-03       8.659971715595e+03 
       1.149266114716e-03       9.139676256836e+03 
       1.219816792426e-03       9.636708971311e+03 
       1.293539234466e-03       1.014969110730e+04 
       1.370333256426e-03       1.067601168402e+04 
       1.450076565046e-03       1.121356610471e+04 
       1.532629527670e-03       1.176335240989e+04 
       1.617840108670e-03       1.231985463281e+04 
       1.705548628055e-03       1.288351841140e+04 
       1.795592078049e-03       1.345293546784e+04 
       1.887807827324e-03       1.402585449559e+04 
       1.982036632347e-03       1.460097471193e+04 
       2.078124949598e-03       1.517670968660e+04 
       2.175926595919e-03       1.575156714434e+04 
       2.275303837051e-03       1.632329408557e+04 
       2.376127999566e-03       1.689200492898e+04 
       2.478279703394e-03       1.745744422092e+04 
       2.581648805551e-03       1.801762579756e+04 
       2.686134134325e-03       1.857198937230e+04 
       2.791643079947e-03       1.912073859091e+04 
       2.898091094547e-03       1.966090569622e+04 
       3.005401142159e-03       2.019448271306e+04 
       3.113503129117e-03       2.072032655342e+04 
       3.222333336697e-03       2.123834200576e+04 
       3.331833870986e-03       2.174706562249e+04 
       3.441952139798e-03       2.224770618622e+04 
       3.552640362460e-03       2.273910978118e+04 
       3.663855115433e-03       2.322099198667e+04 
       3.775556914704e-03       2.369419975051e+04 
       3.887709834453e-03       2.415790868646e+04 
       4.000281160588e-03       2.461319418809e+04 
       4.113241077182e-03       2.505785808997e+04 
       4.226562383501e-03       2.549325332938e+04 
       4.340220239205e-03       2.591945859108e+04 
       4.454191935284e-03       2.633661536275e+04 
       4.568456688336e-03       2.681460812180e+04 
       4.682995455959e-03       2.718457069713e+04 
       4.797790771124e-03       2.760350501811e+04 
       4.912826593613e-03       2.800132187392e+04 
       5.028088176728e-03       2.830142373096e+04 
       5.143561947669e-03       2.871285230833e+04 
       5.259235400128e-03       2.909802136969e+04 
       5.375096997789e-03       2.940239732711e+04 
       5.491136087571e-03       2.977189947030e+04 
       5.607342821560e-03       3.007859001328e+04 
       5.723708086704e-03       3.040134845633e+04 
       5.840223441447e-03       3.063797335532e+04 
       5.956881058543e-03       3.093973193082e+04 
       6.073673673421e-03       3.128177442246e+04 
       6.190594537491e-03       3.160942389951e+04 
       6.307637375888e-03       3.179919528942e+04 
       6.424796349194e-03       3.207892719150e+04 
       6.542066018710e-03       3.241218659038e+04 
       6.659441314938e-03       3.266531590780e+04 
       6.776917508924e-03       3.286587190104e+04 
       6.894490186191e-03       3.312045270966e+04 
       7.012155222996e-03       3.332456000564e+04 
       7.129908764679e-03       3.352173469364e+04 
       7.247747205905e-03       3.374377284031e+04 
       7.365667172611e-03       3.397757197097e+04 
       7.483665505497e-03       3.415656435521e+04 
       7.601739244907e-03       3.440180456690e+04 
       7.719885616987e-03       3.457557523129e+04 
       7.838102020973e-03       3.474571324087e+04 
       7.956386017534e-03       3.491001651329e+04 
       8.074735318049e-03       3.514676652798e+04 
       8.193147774755e-03       3.529821307254e+04 
       8.311621371671e-03       3.544696301561e+04 
       8.430154216237e-03       3.557434652429e+04 
       8.548744531604e-03       3.570894720214e+04 
       8.667390649524e-03       3.586254940017e+04 
       8.786091003775e-03       3.604080738502e+04 
       8.904844124094e-03       3.609484867085e+04 
       9.023648630554e-03       3.627444233344e+04 
       9.142503228371e-03       3.636819181921e+04 
       9.261406703090e-03       3.647501502013e+04 
       9.380357916116e-03       3.655330070279e+04 
       9.499355800584e-03       3.670464165351e+04 
       9.618399357515e-03       3.678848311796e+04 
       9.737487652250e-03       3.691240229056e+04 
       9.856619811143e-03       3.699559128283e+04 
       9.975795018484e-03       3.703301679719e+04 
       1.009501251363e-02       3.708655162417e+04 
       1.021427158836e-02       3.716743152011e+04 
       1.033357158437e-02       3.723711869002e+04 
       1.045291189101e-02       3.735092105896e+04 
       1.057229194309e-02       3.735719905616e+04 
       1.069171121893e-02       3.743398237337e+04 
       1.081116923846e-02       3.745356342845e+04 
       1.093066556150e-02       3.751875395285e+04 
       1.105019978617e-02       3.753135802014e+04 
       1.116977154732e-02       3.759902293840e+04 
       1.128938051520e-02       3.763617581464e+04 
       1.140902639410e-02       3.767976917921e+04 
       1.152870892119e-02       3.764965008709e+04 
       1.164842786531e-02       3.768034300231e+04 
       1.176818302599e-02       3.770748647279e+04 
       1.188797423244e-02       3.770941905417e+04 
       1.200780134261e-02       3.774419443934e+04 
       1.212766424239e-02       3.774689606946e+04 
       1.224756284483e-02       3.773570576469e+04 
       1.236749708933e-02       3.771039479930e+04 
       1.248746694107e-02       3.772542891545e+04 
       1.260747239033e-02       3.768890214812e+04 
       1.272751345189e-02       3.767603654806e+04 
       1.284759016457e-02       3.767430162100e+04 
       1.296770259069e-02       3.764571530931e+04 
       1.308785081563e-02       3.762327877534e+04 
       1.320803494743e-02       3.761926674329e+04 
       1.332825511642e-02       3.756239814964e+04 
       1.344851147487e-02       3.752966361510e+04 
       1.356880419669e-02       3.751739678360e+04 
       1.368913347717e-02       3.745136094784e+04 
       1.380949953271e-02       3.744256581197e+04 
       1.392990260065e-02       3.739865700372e+04 
       1.405034293903e-02       3.733126745048e+04 
       1.417082082645e-02       3.727528761748e+04 
       1.429133656195e-02       3.723508041989e+04 
       1.441189046490e-02       3.717516973716e+04 
       1.453248287487e-02       3.710256217698e+04 
       1.465311415164e-02       3.704700327312e+04 
       1.477378467507e-02       3.698822211436e+04 
       1.489449484514e-02       3.691784928738e+04 
       1.501524508193e-02       3.684848328794e+04 
       1.513603582566e-02       3.677245843695e+04 
