# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       7.071444927444e-10       1.345843904574e-14       1.637003026809e-12       0.000000000000e+00       1.561298907349e-08       2.172889265226e-09      -1.975097837391e-12 
    3       5.579881317419e-10       2.251517432822e-14       1.916648689278e-12       0.000000000000e+00       9.278283113913e-09       1.426257261062e-09      -1.619514672554e-12 
    4       4.523662712489e-10       2.841552096725e-14       1.842725722860e-12       0.000000000000e+00       6.242064746054e-09       1.015100941038e-09      -1.446762063431e-12 
    5       3.772802976030e-10       3.133708764467e-14       1.637844607573e-12       0.000000000000e+00       4.515076957549e-09       7.596188875101e-10      -1.343438895571e-12 
    6       3.221307787734e-10       3.258815540836e-14       1.452290121776e-12       0.000000000000e+00       3.421368477859e-09       5.875222332600e-10      -1.189120286821e-12 
    7       2.804560850212e-10       3.334740718486e-14       1.321869898981e-12       0.000000000000e+00       2.679699553612e-09       4.653408542433e-10      -1.000952339370e-12 
    8       2.483217971985e-10       3.429226928713e-14       1.233035424186e-12       0.000000000000e+00       2.152265205567e-09       3.754134148674e-10      -8.276531456968e-13 
    9       2.231118799661e-10       3.570985172356e-14       1.170462351729e-12       0.000000000000e+00       1.763658597600e-09       3.073952728320e-10      -6.950870719076e-13 
   10       2.029626954328e-10       3.767143916830e-14       1.125678348599e-12       0.000000000000e+00       1.468980422490e-09       2.547778764536e-10      -6.045842556584e-13 
   11       1.866394240677e-10       4.015218922263e-14       1.092352400511e-12       0.000000000000e+00       1.244844505999e-09       2.150032176487e-10      -5.539551698899e-13 
   12       1.732453986148e-10       4.308577227501e-14       1.064841573632e-12       0.000000000000e+00       1.061371776391e-09       1.812699567141e-10      -5.138325335499e-13 
   13       1.621422307346e-10       4.638417646052e-14       1.038943929918e-12       0.000000000000e+00       9.137315028220e-10       1.537932208557e-10      -4.829499650611e-13 
   14       1.528825429838e-10       4.995320120619e-14       1.011753239316e-12       0.000000000000e+00       7.924609871959e-10       1.313402429666e-10      -4.489775415691e-13 
   15       1.450795136596e-10       5.370920315048e-14       9.818749282572e-13       0.000000000000e+00       6.928303916414e-10       1.126595566151e-10      -4.160455838143e-13 
   16       1.384734717477e-10       5.758912330077e-14       9.492748580781e-13       0.000000000000e+00       6.092933638106e-10       9.718930882863e-11      -3.788652112089e-13 
   17       1.328732123684e-10       6.154970519359e-14       9.144501615389e-13       0.000000000000e+00       5.392706145304e-10       8.419868812769e-11      -3.415351269552e-13 
   18       1.280681673083e-10       6.555840119835e-14       8.780547028093e-13       0.000000000000e+00       4.795055597900e-10       7.309165866852e-11      -3.081690020842e-13 
   19       1.239914154114e-10       6.959396978748e-14       8.409013122720e-13       0.000000000000e+00       4.286071677508e-10       6.367426051131e-11      -2.797577555087e-13 
   20       1.204690854974e-10       7.362960287263e-14       8.032086795838e-13       0.000000000000e+00       3.845614719983e-10       5.560953538603e-11      -2.561086852049e-13 
