# Matter power spectrum P(k) at redshift z=0
# for k=8.74422e-06 to 1.56824 h/Mpc,
# number of wavenumbers equal to 554
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       8.744222696063e-06       8.237155659014e+01 
       2.068975276663e-05       1.885929826704e+02 
       3.266924639969e-05       2.926085871450e+02 
       4.471040958154e-05       3.956140507021e+02 
       5.684132636669e-05       5.004339428310e+02 
       6.909067435652e-05       6.035487126152e+02 
       8.148794594900e-05       7.070686731680e+02 
       9.406367792432e-05       8.113095617597e+02 
       1.068496919515e-04       9.165650523819e+02 
       1.198793486264e-04       1.023117812930e+03 
       1.331878176694e-04       1.131246451274e+03 
       1.468123669109e-04       1.241230282218e+03 
       1.607926726437e-04       1.353352827137e+03 
       1.751711538082e-04       1.467904502449e+03 
       1.899933322506e-04       1.591094026039e+03 
       2.053082209140e-04       1.711782453523e+03 
       2.211687412158e-04       1.835825644584e+03 
       2.376321699595e-04       1.974807940201e+03 
       2.547606148068e-04       2.112440985092e+03 
       2.726215154825e-04       2.248825315281e+03 
       2.912881653283e-04       2.397192492852e+03 
       3.108402444014e-04       2.552154895743e+03 
       3.313643508144e-04       2.710503934582e+03 
       3.529545112600e-04       2.882227912637e+03 
       3.757126444764e-04       3.048137184197e+03 
       3.997489427278e-04       3.243883062202e+03 
       4.251821262704e-04       3.438463169541e+03 
       4.521395146275e-04       3.643084242342e+03 
       4.807568470753e-04       3.859389416209e+03 
       5.111777744296e-04       4.089271905173e+03 
       5.435529370962e-04       4.336119856473e+03 
       5.780385433352e-04       4.591505651356e+03 
       6.147943703737e-04       4.866879981040e+03 
       6.539811333126e-04       5.155394679822e+03 
       6.957572060895e-04       5.460592810971e+03 
       7.402747366883e-04       5.783383143915e+03 
       7.876752735163e-04       6.124256065254e+03 
       8.380851047095e-04       6.483360489236e+03 
       8.916105948041e-04       6.860937495298e+03 
       9.483338668964e-04       7.256771563016e+03 
       1.008309204887e-03       7.671557078932e+03 
       1.071560525262e-03       8.102874020739e+03 
       1.138080186131e-03       8.551872214128e+03 
       1.207829271112e-03       9.016946194234e+03 
       1.280739328499e-03       9.495913850205e+03 
       1.356715391060e-03       9.988044180182e+03 
       1.435639977901e-03       1.049149399542e+04 
       1.517377707571e-03       1.100565461134e+04 
       1.601780137773e-03       1.152767922996e+04 
       1.688690485246e-03       1.205648162493e+04 
       1.777947953243e-03       1.258998642721e+04 
       1.869391484185e-03       1.312640953595e+04 
       1.962862843889e-03       1.366489717671e+04 
       2.058209019145e-03       1.420430225709e+04 
       2.155283966289e-03       1.474298558729e+04 
       2.253949783926e-03       1.527929589835e+04 
