# Matter power spectrum P(k) at redshift z=0
# for k=8.74422e-06 to 1.57751 h/Mpc,
# number of wavenumbers equal to 554
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       8.744222696063e-06       8.779315002525e+01 
       2.072333925338e-05       2.014003187884e+02 
       3.273664945502e-05       3.128390976777e+02 
       4.481209410194e-05       4.235008413663e+02 
       5.697799696447e-05       5.322796602669e+02 
       6.926328331997e-05       6.499218059152e+02 
       8.169770437004e-05       7.630570715961e+02 
       9.431207015302e-05       8.639879454459e+02 
       1.071384935874e-04       9.785085656821e+02 
       1.202106483082e-04       1.090092193318e+03 
       1.335640429760e-04       1.207912273156e+03 
       1.472363147364e-04       1.331525816453e+03 
       1.612675444584e-04       1.446238005958e+03 
       1.757005962601e-04       1.568750047070e+03 
       1.905814835958e-04       1.705922926272e+03 
       2.059597637851e-04       1.833617207395e+03 
       2.218889622352e-04       1.972771997084e+03 
       2.384270266681e-04       2.129776175725e+03 
       2.556368102979e-04       2.255573330168e+03 
       2.735865809780e-04       2.423342640412e+03 
       2.923505506954e-04       2.553495627089e+03 
       3.120094162453e-04       2.731047627535e+03 
       3.326508972610e-04       2.908822405253e+03 
       3.543702518262e-04       3.066302695856e+03 
       3.772707424664e-04       3.271768648879e+03 
       4.014640163581e-04       3.476334181817e+03 
       4.270703531933e-04       3.694994488193e+03 
       4.542187226990e-04       3.900288575858e+03 
       4.830465821687e-04       4.116075889364e+03 
       5.136993339669e-04       4.370225208982e+03 
       5.463293560314e-04       4.619887966798e+03 
       5.810945179519e-04       4.891560204096e+03 
       6.181561050089e-04       5.183585981917e+03 
       6.576760966094e-04       5.490394146057e+03 
       6.998137872577e-04       5.816421214831e+03 
       7.447217989648e-04       6.161317917168e+03 
       7.925416116032e-04       6.525222226937e+03 
       8.433988247871e-04       6.908926882167e+03 
       8.973984483168e-04       7.312335482521e+03 
       9.546205804573e-04       7.735947394814e+03 
       1.015116855769e-03       8.178666329749e+03 
       1.078908012753e-03       8.640995618328e+03 
       1.145982842350e-03       9.117825135939e+03 
       1.216298641258e-03       9.613669185655e+03 
       1.289783132160e-03       1.012586989546e+04 
       1.366337656673e-03       1.065199457853e+04 
       1.445841325382e-03       1.118700935508e+04 
       1.528155742289e-03       1.173435826569e+04 
       1.613129913864e-03       1.229042117529e+04 
       1.700604997247e-03       1.285316715706e+04 
       1.790418620870e-03       1.342133517146e+04 
       1.882408603519e-03       1.399324019229e+04 
       1.976415987493e-03       1.456684090920e+04 
       2.072287376081e-03       1.514262379664e+04 
       2.169876619857e-03       1.571327875000e+04 
       2.269045929856e-03       1.628411052981e+04 
       2.369666511620e-03       1.685161391724e+04 
       2.471618816707e-03       1.741501670071e+04 
       2.574792502140e-03       1.797302923251e+04 
       2.679086177173e-03       1.852594567356e+04 
       2.784407003755e-03       1.907178062091e+04 
       2.890670203866e-03       1.961035932647e+04 
       2.997798514909e-03       2.014068951436e+04 
       3.105721623898e-03       2.066340717919e+04 
       3.214375602616e-03       2.117866178311e+04 
       3.323702359046e-03       2.168347258225e+04 
       3.433649115116e-03       2.218038285443e+04 
       3.544167916774e-03       2.266799314029e+04 
       3.655215179530e-03       2.314522665256e+04 
       3.766751270495e-03       2.361381777111e+04 
       3.878740126523e-03       2.407292253590e+04 
       3.991148907119e-03       2.452265513994e+04 
       4.103947680179e-03       2.496239374944e+04 
       4.217109138315e-03       2.539169003096e+04 
       4.330608343338e-03       2.581197600289e+04 
       4.444422496505e-03       2.622253214047e+04 
       4.558530732140e-03       2.667742129336e+04 
       4.672913932392e-03       2.703601641343e+04 
       4.787554561035e-03       2.746404210185e+04 
       4.902436514355e-03       2.777798273541e+04 
       5.017544987366e-03       2.814394039002e+04 
       5.132866353723e-03       2.853424667691e+04 
       5.248388057900e-03       2.884848577402e+04 
       5.364098518302e-03       2.919849562334e+04 
       5.479987040161e-03       2.952904579859e+04 
       5.596043737148e-03       2.983598257985e+04 
       5.712259460785e-03       3.015019709630e+04 
       5.828625736804e-03       3.046553992386e+04 
       5.945134707737e-03       3.073521165337e+04 
       6.061779081054e-03       3.100750939852e+04 
       6.178552082279e-03       3.128261046742e+04 
       6.295447412556e-03       3.154382227882e+04 
       6.412459210208e-03       3.185045192205e+04 
       6.529582015863e-03       3.213542215381e+04 
       6.646810740802e-03       3.237033860679e+04 
       6.764140638185e-03       3.252946469002e+04 
       6.881567276871e-03       3.277458721527e+04 
       6.999086517578e-03       3.298789649362e+04 
       7.116694491137e-03       3.321639080300e+04 
       7.234387578655e-03       3.340477615368e+04 
       7.352162393386e-03       3.362852566177e+04 
       7.470015764151e-03       3.385007577244e+04 
       7.587944720161e-03       3.407052051381e+04 
       7.705946477110e-03       3.418686033524e+04 
       7.824018424419e-03       3.441464574603e+04 
       7.942158113525e-03       3.457743863407e+04 
       8.060363247119e-03       3.466566183130e+04 
       8.178631669249e-03       3.481510211959e+04 
       8.296961356207e-03       3.495878321135e+04 
       8.415350408138e-03       3.510612496548e+04 
       8.533797041298e-03       3.524965403778e+04 
       8.652299580912e-03       3.535745068718e+04 
       8.770856454574e-03       3.548470020604e+04 
       8.889466186159e-03       3.560754433910e+04 
       9.008127390172e-03       3.571459019433e+04 
       9.126838766539e-03       3.588175247577e+04 
       9.245599095768e-03       3.591051027982e+04 
       9.364407234472e-03       3.600417537193e+04 
       9.483262111211e-03       3.614666805279e+04 
       9.602162722640e-03       3.618437558199e+04 
       9.721108129930e-03       3.626914890143e+04 
       9.840097455442e-03       3.637568583039e+04 
       9.959129879641e-03       3.642970765639e+04 
