# Matter power spectrum P(k) at redshift z=0
# for k=8.74422e-06 to 1.57751 h/Mpc,
# number of wavenumbers equal to 554
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       8.744222696063e-06       8.265564394924e+01 
       2.072333925338e-05       1.895266366862e+02 
       3.273664945502e-05       2.941466800659e+02 
       4.481209410194e-05       3.977055785646e+02 
       5.697799696447e-05       5.014923342140e+02 
       6.926328331997e-05       6.022926806572e+02 
       8.169770437004e-05       7.054228479331e+02 
       9.431207015302e-05       8.141111111030e+02 
       1.071384935874e-04       9.195397897012e+02 
       1.202106483082e-04       1.028095151399e+03 
       1.335640429760e-04       1.136903637541e+03 
       1.472363147364e-04       1.246560508633e+03 
       1.612675444584e-04       1.362792887500e+03 
       1.757005962601e-04       1.480094098133e+03 
       1.905814835958e-04       1.596475372165e+03 
       2.059597637851e-04       1.721125910803e+03 
       2.218889622352e-04       1.847135532656e+03 
       2.384270266681e-04       1.972742069410e+03 
       2.556368102979e-04       2.116202002817e+03 
       2.735865809780e-04       2.251984259518e+03 
       2.923505506954e-04       2.409332634383e+03 
       3.120094162453e-04       2.558566043933e+03 
       3.326508972610e-04       2.717424612204e+03 
       3.543702518262e-04       2.894215385804e+03 
       3.772707424664e-04       3.065357939464e+03 
       4.014640163581e-04       3.249446887198e+03 
       4.270703531933e-04       3.442243041442e+03 
       4.542187226990e-04       3.654676102743e+03 
       4.830465821687e-04       3.879393106717e+03 
       5.136993339669e-04       4.107686315313e+03 
       5.463293560314e-04       4.356166525268e+03 
       5.810945179519e-04       4.616618666234e+03 
       6.181561050089e-04       4.890883851121e+03 
       6.576760966094e-04       5.182140738604e+03 
       6.998137872577e-04       5.489876259492e+03 
       7.447217989648e-04       5.815136515793e+03 
       7.925416116032e-04       6.158607023262e+03 
       8.433988247871e-04       6.520493509318e+03 
       8.973984483168e-04       6.901096200735e+03 
       9.546205804573e-04       7.300082875414e+03 
       1.015116855769e-03       7.717422899060e+03 
       1.078908012753e-03       8.152089688892e+03 
       1.145982842350e-03       8.604798192391e+03 
       1.216298641258e-03       9.072459157399e+03 
       1.289783132160e-03       9.554267688652e+03 
       1.366337656673e-03       1.004910674234e+04 
       1.445841325382e-03       1.055658518969e+04 
       1.528155742289e-03       1.107321516307e+04 
       1.613129913864e-03       1.159797002207e+04 
       1.700604997247e-03       1.212930580816e+04 
       1.790418620870e-03       1.266528273670e+04 
       1.882408603519e-03       1.320446789505e+04 
       1.976415987493e-03       1.374549129441e+04 
       2.072287376081e-03       1.428624676386e+04 
       2.169876619857e-03       1.482763304870e+04 
       2.269045929856e-03       1.536612426161e+04 
       2.369666511620e-03       1.590163891899e+04 
       2.471618816707e-03       1.643307528759e+04 
       2.574792502140e-03       1.695977825340e+04 
       2.679086177173e-03       1.748053157978e+04 
       2.784407003755e-03       1.799534871794e+04 
       2.890670203866e-03       1.850347093466e+04 
       2.997798514909e-03       1.900462227142e+04 
       3.105721623898e-03       1.949794447350e+04 
       3.214375602616e-03       1.998301482642e+04 
       3.323702359046e-03       2.046032324734e+04 
       3.433649115116e-03       2.092871410453e+04 
       3.544167916774e-03       2.138849140201e+04 
       3.655215179530e-03       2.183986792976e+04 
       3.766751270495e-03       2.228202677873e+04 
       3.878740126523e-03       2.271514098790e+04 
       3.991148907119e-03       2.313902260327e+04 
       4.103947680179e-03       2.355387518718e+04 
       4.217109138315e-03       2.395974758261e+04 
       4.330608343338e-03       2.435617184589e+04 
       4.444422496505e-03       2.474378825166e+04 
       4.558530732140e-03       2.510416179099e+04 
       4.672913932392e-03       2.548545460307e+04 
       4.787554561035e-03       2.582942290799e+04 
       4.902436514355e-03       2.620208966649e+04 
