# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       2.146204028811e-10       6.707314595402e-15       5.613519693515e-13       0.000000000000e+00       9.872870193452e-09       7.968796736565e-10      -2.238649757480e-12 
    3       1.875304135367e-10       1.026791095416e-14       6.914474147425e-13       0.000000000000e+00       6.110138932395e-09       5.464584027237e-10      -1.766565742686e-12 
    4       1.671825329312e-10       1.138821090779e-14       7.146502768336e-13       0.000000000000e+00       4.228551260100e-09       4.034340501677e-10      -1.265308109106e-12 
    5       1.527211868722e-10       1.087330909148e-14       6.874170937488e-13       0.000000000000e+00       3.137200567765e-09       3.124343883394e-10      -8.587919021852e-13 
    6       1.423250226739e-10       9.840993004801e-15       6.436884165367e-13       0.000000000000e+00       2.434445668892e-09       2.500141105892e-10      -5.601811897148e-13 
    7       1.347301706045e-10       9.009414152154e-15       6.039342245879e-13       0.000000000000e+00       1.950294403328e-09       2.049369011577e-10      -3.587473195288e-13 
    8       1.290734951701e-10       8.609730958341e-15       5.758127234468e-13       0.000000000000e+00       1.601133220464e-09       1.711570494488e-10      -2.386560701064e-13 
    9       1.247900505031e-10       8.619737697595e-15       5.592670591553e-13       0.000000000000e+00       1.340412058194e-09       1.451137825424e-10      -1.818170281615e-13 
   10       1.215637038752e-10       8.974207430426e-15       5.517400907208e-13       0.000000000000e+00       1.139810905678e-09       1.245821603302e-10      -1.679404392891e-13 
   11       1.191018112214e-10       9.638356923870e-15       5.503961412969e-13       0.000000000000e+00       9.594673793123e-10       1.080591722448e-10      -1.791468788408e-13 
