# Matter power spectrum P(k) at redshift z=0
# for k=9.94861e-06 to 1.83726 h/Mpc,
# number of wavenumbers equal to 563
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       9.948607971669e-06       5.658997548738e+01 
       2.264706456035e-05       1.248481981996e+02 
       3.538800699620e-05       1.918000898370e+02 
       4.820474662603e-05       2.582138031040e+02 
       6.113112254093e-05       3.245158294418e+02 
       7.420179485131e-05       3.910996614684e+02 
       8.745254698521e-05       4.578020927013e+02 
       1.009206009299e-04       5.254611574739e+02 
       1.146449493668e-04       5.940668059334e+02 
       1.286667086835e-04       6.638508680779e+02 
       1.430294968554e-04       7.350269956868e+02 
       1.577798401523e-04       8.080757848203e+02 
       1.729676124813e-04       8.812897976194e+02 
       1.886465108841e-04       9.581188983839e+02 
       2.048745701685e-04       1.037409013078e+03 
       2.217147187716e-04       1.120417367663e+03 
       2.392353765827e-04       1.205622627781e+03 
       2.575110934105e-04       1.293268166687e+03 
       2.766232238420e-04       1.385668705460e+03 
       2.966606301316e-04       1.478527625477e+03 
       3.177203991456e-04       1.578199083788e+03 
       3.399085519383e-04       1.684412808793e+03 
       3.633407148901e-04       1.795700904933e+03 
       3.881427092403e-04       1.911283247897e+03 
       4.144510012266e-04       2.035149936708e+03 
       4.424129381906e-04       2.166535527728e+03 
       4.721866778459e-04       2.303791764707e+03 
       5.039407002665e-04       2.450824662315e+03 
       5.378527781189e-04       2.605281236659e+03 
       5.741082747955e-04       2.770867280833e+03 
       6.128976484305e-04       2.947516574396e+03 
       6.544130692002e-04       3.135032305814e+03 
       6.988441142882e-04       3.335057212396e+03 
       7.463725930725e-04       3.548000892364e+03 
       7.971666722382e-04       3.773477616161e+03 
       8.513746054138e-04       4.011005861887e+03 
       9.091185029191e-04       4.263377389035e+03 
       9.704886741181e-04       4.529232884063e+03 
       1.035539105530e-03       4.807349502835e+03 
       1.104284578655e-03       5.099473309643e+03 
       1.176699778202e-03       5.404095114525e+03 
       1.252720515397e-03       5.720683245259e+03 
       1.332246936107e-03       6.047883061095e+03 
       1.415148353402e-03       6.385319018099e+03 
       1.501269185269e-03       6.731584049998e+03 
       1.590435415603e-03       7.085889948793e+03 
       1.682461028564e-03       7.446043338578e+03 
       1.777153969466e-03       7.811593438234e+03 
       1.874321325555e-03       8.181311274436e+03 
       1.973773564237e-03       8.554534250437e+03 
       2.075327790666e-03       8.929928495684e+03 
       2.178810078565e-03       9.306674801217e+03 
       2.284056985580e-03       9.683756833968e+03 
       2.390916391816e-03       1.006049254693e+04 
       2.499247805001e-03       1.043602120629e+04 
       2.608922265863e-03       1.080993997124e+04 
       2.719821969605e-03       1.118161655044e+04 
       2.831839698658e-03       1.155059529572e+04 
       2.944878141486e-03       1.191643775320e+04 
       3.058849153906e-03       1.227879976228e+04 
       3.173673003888e-03       1.263710662315e+04 
       3.289277628353e-03       1.299131442036e+04 
       3.405597920805e-03       1.334114740047e+04 
       3.522575061376e-03       1.368641422906e+04 
       3.640155895548e-03       1.402690191231e+04 
       3.758292364067e-03       1.436253852139e+04 
       3.876940984010e-03       1.469301561650e+04 
       3.996062379277e-03       1.501844835273e+04 
       4.115620857763e-03       1.533860178256e+04 
       4.235584031873e-03       1.565348178939e+04 
       4.355922478811e-03       1.596306130253e+04 
       4.476609437019e-03       1.626724447877e+04 
       4.597620535259e-03       1.656606546391e+04 
       4.718933551004e-03       1.685949220570e+04 
       4.840528195046e-03       1.714749984916e+04 
       4.962385919493e-03       1.743007211929e+04 
       5.084489746565e-03       1.770728460901e+04 
       5.206824115893e-03       1.797917835029e+04 
       5.329374748216e-03       1.825646287605e+04 
       5.452128523651e-03       1.851274323958e+04 
       5.575073372866e-03       1.877214326524e+04 
