# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       2.146762226618e-10       5.193636788033e-15       4.868572008945e-13       0.000000000000e+00       9.927945479762e-09       7.975110692103e-10      -1.991185534177e-12 
    3       1.877818657938e-10       6.588634779545e-15       5.390117173743e-13       0.000000000000e+00       6.113030900993e-09       5.461185205478e-10      -1.438326014491e-12 
    4       1.679568082944e-10       5.621561511660e-15       4.887710380099e-13       0.000000000000e+00       4.222329925113e-09       4.028592288945e-10      -8.925535887016e-13 
    5       1.542593376761e-10       3.684093686680e-15       3.976311783890e-13       0.000000000000e+00       3.127830631807e-09       3.117343346935e-10      -4.678214166261e-13 
    6       1.447789097875e-10       2.004328992447e-15       3.013407480750e-13       0.000000000000e+00       2.424138368560e-09       2.492178132875e-10      -1.735201323301e-13 
    7       1.381990420320e-10       1.035909233838e-15       2.207138119117e-13       0.000000000000e+00       1.941028119495e-09       2.040737642511e-10       6.332102208137e-15 
    8       1.336426064018e-10       6.360907077372e-16       1.632134223901e-13       0.000000000000e+00       1.593438162528e-09       1.703143428951e-10       9.351221245152e-14 
    9       1.305313420446e-10       4.963319704856e-16       1.274522367470e-13       0.000000000000e+00       1.333688795719e-09       1.443694187797e-10       1.120847030934e-13 
   10       1.285205640998e-10       4.177055557728e-16       1.088436187521e-13       0.000000000000e+00       1.133435424079e-09       1.239207704078e-10       8.760427418958e-14 
   11       1.272909531973e-10       3.484866428342e-16       1.025731906774e-13       0.000000000000e+00       9.587215011744e-10       1.075083908760e-10       4.452268903601e-14 
   12       1.266659998142e-10       3.019361012500e-16       1.041080188363e-13       0.000000000000e+00       8.333244276233e-10       9.405558517161e-11       1.034338628662e-15 
   13       1.265341520450e-10       2.854495813952e-16       1.097212942194e-13       0.000000000000e+00       7.306809605244e-10       8.277141914779e-11      -3.092995731861e-14 
   14       1.268275017466e-10       2.869657235893e-16       1.168008203035e-13       0.000000000000e+00       6.456758747258e-10       7.331349022760e-11      -4.676342570886e-14 
   15       1.273959367362e-10       2.936898403625e-16       1.238619808133e-13       0.000000000000e+00       5.744072240090e-10       6.542474136330e-11      -4.764911179606e-14 
   16       1.282025921128e-10       3.054108448890e-16       1.305896759361e-13       0.000000000000e+00       5.140259186658e-10       5.854831966367e-11      -3.856589711953e-14 
   17       1.292719528645e-10       3.304868428767e-16       1.372390720946e-13       0.000000000000e+00       4.623623737374e-10       5.259823640427e-11      -2.539693629723e-14 
   18       1.305138646569e-10       3.760286096609e-16       1.442230141630e-13       0.000000000000e+00       4.176447779877e-10       4.745302050374e-11      -1.337245075205e-14 
