# Table of selected background quantities
# All densities are multiplied by (8piG/3) (below, shortcut notation (.) for this factor) 
# Densities are in units [Mpc^-2] while all distances are in [Mpc]. 
#    1:z                      2:proper time [Gyr]      3:conf. time [Mpc]       4:H [1/Mpc]              5:comov. dist.           6:ang.diam.dist.         7:lum. dist.             8:comov.snd.hrz.         9:(.)rho_g              10:(.)rho_b              11:(.)rho_cdm            12:(.)n_ncdm[0]          13:(.)rho_ncdm[0]        14:(.)p_ncdm[0]          15:(.)rho_lambda         16:(.)rho_ur             17:(.)rho_crit           18:(.)rho_dcdm           19:(.)rho_dr             20:gr.fac. D             21:gr.fac. f          
       9.999999999990e+11       7.559518496948e-22       4.635512595996e-07       2.157256296286e+18       1.442111822849e+04       1.442111822849e-08       1.442111822849e+16       2.676317460209e-07       2.751560535470e+36       2.467857824327e+27       1.112650056054e+25       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       3.522729900522e-08       1.902194177205e+36       4.653754727866e+36       1.271202770353e+28       9.470461186347e+03       7.317456252579e-18       2.000000000000e+12 
       9.930486593833e+11       7.665722172311e-22       4.667963366956e-07       2.127368890764e+18       1.442111822849e+04       1.452206605609e-08       1.432087212362e+16       2.695051682424e-07       2.675846458098e+36       2.416749983481e+27       1.089607747286e+25       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       3.522729900522e-08       1.849851924417e+36       4.525698397391e+36       1.244876930902e+28       9.404628784534e+03       1.020874967097e-07       1.433565615446e+02 
       9.861456399039e+11       7.773417903109e-22       4.700650606537e-07       2.097895556121e+18       1.442111822848e+04       1.462372051848e-08       1.422132286357e+16       2.713917044195e-07       2.602215788101e+36       2.366700555064e+27       1.067042630777e+25       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       3.522729900522e-08       1.798949961721e+36       4.401165764390e+36       1.219096283642e+28       9.339254006177e+03       2.041749934109e-07       7.167828077446e+01 
       9.792906056642e+11       7.882626651227e-22       4.733537934953e-07       2.068830555668e+18       1.442111822848e+04       1.472608656210e-08       1.412246560434e+16       2.732914463497e-07       2.530611196823e+36       2.317687619997e+27       1.044944824165e+25       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       3.522729900522e-08       1.749448656976e+36       4.280059868066e+36       1.193849537971e+28       9.274333670178e+03       3.062624901110e-07       4.778552051662e+01 
       9.724832231024e+11       7.993369673046e-22       4.766679921886e-07       2.040168232198e+18       1.442111822848e+04       1.482916916804e-08       1.402429553559e+16       2.752044864734e-07       2.460976933108e+36       2.269689713130e+27       1.023304649743e+25       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       3.522729900522e-08       1.701309468590e+36       4.162286415670e+36       1.169125637113e+28       9.209864617554e+03       4.083499868100e-07       3.583914038749e+01 
       9.657231609756e+11       8.105668523578e-22       4.800040187547e-07       2.011903006878e+18       1.442111822847e+04       1.493297335221e-08       1.392680788042e+16       2.771309178780e-07       2.393258779892e+36       2.222685813843e+27       1.002112630227e+25       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       3.522729900522e-08       1.654494915511e+36       4.047753709085e+36       1.144913753267e+28       9.145843711279e+03       5.104374835079e-07       2.867131230994e+01 
       9.590100903431e+11       8.219545060659e-22       4.833655111725e-07       1.984029378168e+18       1.442111822847e+04       1.503750416567e-08       1.382999789515e+16       2.790708343024e-07       2.327404011990e+36       2.176655336841e+27       9.813594845994e+24       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       3.522729900522e-08       1.608968548044e+36       3.936372573433e+36       1.121203282872e+28       9.082267836137e+03       6.125249802047e-07       2.389276025822e+01 
       9.523436845512e+11       8.335021449209e-22       4.867488314630e-07       1.956541920747e+18       1.442111822847e+04       1.514276669483e-08       1.373386086906e+16       2.810243301417e-07       2.263361355044e+36       2.131578123140e+27       9.610361240486e+24       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       3.522729900522e-08       1.564694919474e+36       3.828056287639e+36       1.097983841957e+28       9.019133898563e+03       7.146124769005e-07       2.047950879269e+01 
       9.457236192166e+11       8.452120165540e-22       4.901557986159e-07       1.929435284459e+18       1.442111822846e+04       1.524876606169e-08       1.363839212419e+16       2.829915004519e-07       2.201080945601e+36       2.087434431232e+27       9.411336479857e+24       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       3.522729900522e-08       1.521639558464e+36       3.722720516914e+36       1.075245261601e+28       8.956438826499e+03       8.166999735952e-07       1.791957019354e+01 
       9.391495722111e+11       8.570864001735e-22       4.935864126310e-07       1.902704193271e+18       1.442111822846e+04       1.535550742412e-08       1.354358701508e+16       2.849724409542e-07       2.140514292290e+36       2.044204928448e+27       9.216433401478e+24       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       3.522729900522e-08       1.479768942217e+36       3.620283247089e+36       1.052977583472e+28       8.894179569242e+03       9.187874702889e-07       1.592850683864e+01 
