# Matter power spectrum P(k) at redshift z=0
# for k=9.2404e-06 to 1.50291 h/Mpc,
# number of wavenumbers equal to 558
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       9.240404206280e-06       6.912737660449e+01 
       2.147192306714e-05       1.555610642629e+02 
       3.374059185708e-05       2.402943184896e+02 
       4.607616468244e-05       3.243139263249e+02 
       5.850882670117e-05       4.081541406303e+02 
       7.106943690785e-05       4.921981270469e+02 
       8.378977779118e-05       5.767535534586e+02 
       9.670281488634e-05       6.620666027659e+02 
       1.098429692690e-04       7.482655979920e+02 
       1.232464060657e-04       8.351552538907e+02 
       1.369513420732e-04       9.253172092928e+02 
       1.509983755666e-04       1.019174267593e+03 
       1.654308413030e-04       1.104517693523e+03 
       1.802951935597e-04       1.205095425928e+03 
       1.956414197293e-04       1.306164283293e+03 
       2.115234864632e-04       1.398528522078e+03 
       2.279998195243e-04       1.506201502397e+03 
       2.451338172626e-04       1.610393950027e+03 
       2.629943958267e-04       1.722827541675e+03 
       2.816565616913e-04       1.836396231491e+03 
       3.012020036133e-04       1.961381981731e+03 
       3.217196914885e-04       2.090911463397e+03 
       3.433064635202e-04       2.218972914284e+03 
       3.660675754029e-04       2.366686493721e+03 
       3.901171757003e-04       2.516230316349e+03 
       4.155786602640e-04       2.670526697572e+03 
       4.425848456562e-04       2.826437571590e+03 
       4.712778878479e-04       3.000206778739e+03 
       5.018088593273e-04       3.185014408151e+03 
       5.343368874265e-04       3.376404399477e+03 
       5.690277524002e-04       3.581434155468e+03 
       6.060518498184e-04       3.798911547782e+03 
       6.455814429989e-04       4.029723564321e+03 
       6.877871721106e-04       4.276172797707e+03 
       7.328338500362e-04       4.538106913353e+03 
       7.808756601683e-04       4.810987164209e+03 
       8.320509712627e-04       5.102185907164e+03 
       8.864770854464e-04       5.407842116488e+03 
       9.442453173496e-04       5.729840781672e+03 
       1.005416842214e-03       6.067824229150e+03 
       1.070019729521e-03       6.420545228862e+03 
       1.138047488060e-03       6.788619471356e+03 
       1.209459296793e-03       7.169642866237e+03 
       1.284181908716e-03       7.563075300440e+03 
       1.362113028325e-03       7.969106043866e+03 
       1.443125813761e-03       8.385032779260e+03 
       1.527074068201e-03       8.810481619080e+03 
       1.613797670200e-03       9.240915088882e+03 
       1.703127840895e-03       9.678821898508e+03 
       1.794891936653e-03       1.012173868987e+04 
       1.888917564468e-03       1.056804219170e+04 
       1.985035922676e-03       1.101707042655e+04 
       2.083084357068e-03       1.146617268241e+04 
       2.182908185449e-03       1.191626916925e+04 
       2.284361882166e-03       1.236479465037e+04 
       2.387309731528e-03       1.281083263350e+04 
       2.491626061076e-03       1.325446432148e+04 
       2.597195157604e-03       1.369513197977e+04 
       2.703910955388e-03       1.413162750143e+04 
       2.811676570586e-03       1.456365657530e+04 
       2.920403740494e-03       1.499047430117e+04 
       3.030012212487e-03       1.541183132955e+04 
       3.140429115719e-03       1.582754826682e+04 
       3.251588339015e-03       1.623718753547e+04 
       3.363429930829e-03       1.664054150125e+04 
       3.475899531382e-03       1.703718749304e+04 
       3.588947842778e-03       1.742749748430e+04 
       3.702530139820e-03       1.781038738641e+04 
       3.816605822081e-03       1.818653330792e+04 
