# Matter power spectrum P(k) at redshift z=0
# for k=9.2404e-06 to 1.50291 h/Mpc,
# number of wavenumbers equal to 558
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       9.240404206280e-06       6.740302545376e+01 
       2.147192306714e-05       1.516664376284e+02 
       3.374059185708e-05       2.342394928821e+02 
       4.607616468244e-05       3.160685864781e+02 
       5.850882670117e-05       3.976623044622e+02 
       7.106943690785e-05       4.793889647193e+02 
       8.378977779118e-05       5.615592314302e+02 
       9.670281488634e-05       6.444653881469e+02 
       1.098429692690e-04       7.284256833964e+02 
       1.232464060657e-04       8.138675810450e+02 
       1.369513420732e-04       9.001627088946e+02 
       1.509983755666e-04       9.875204703599e+02 
       1.654308413030e-04       1.081058800436e+03 
       1.802951935597e-04       1.171936141529e+03 
       1.956414197293e-04       1.266323073904e+03 
       2.115234864632e-04       1.368255030772e+03 
       2.279998195243e-04       1.468850528294e+03 
       2.451338172626e-04       1.575933852809e+03 
       2.629943958267e-04       1.685484572184e+03 
       2.816565616913e-04       1.800888655486e+03 
       3.012020036133e-04       1.918750993149e+03 
       3.217196914885e-04       2.042427606651e+03 
       3.433064635202e-04       2.175036703666e+03 
       3.660675754029e-04       2.309105276118e+03 
       3.901171757003e-04       2.452449742825e+03 
       4.155786602640e-04       2.604805880299e+03 
       4.425848456562e-04       2.768362392713e+03 
       4.712778878479e-04       2.937775598043e+03 
       5.018088593273e-04       3.116750723351e+03 
       5.343368874265e-04       3.308097604931e+03 
       5.690277524002e-04       3.510172316801e+03 
       6.060518498184e-04       3.724517617641e+03 
       6.455814429989e-04       3.951843223182e+03 
       6.877871721106e-04       4.192238524619e+03 
       7.328338500362e-04       4.446572878713e+03 
       7.808756601683e-04       4.717338223738e+03 
       8.320509712627e-04       5.002184177719e+03 
       8.864770854464e-04       5.302896288739e+03 
       9.442453173496e-04       5.618799405633e+03 
       1.005416842214e-03       5.949801684288e+03 
       1.070019729521e-03       6.295802116386e+03 
       1.138047488060e-03       6.655689720817e+03 
       1.209459296793e-03       7.029260415922e+03 
       1.284181908716e-03       7.415351667505e+03 
       1.362113028325e-03       7.812293381876e+03 
       1.443125813761e-03       8.219373700403e+03 
       1.527074068201e-03       8.634848603868e+03 
