# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.408224105317e-10       3.681871313675e-15       5.661577755225e-13       0.000000000000e+00       7.552722715202e-09      -4.370448030748e-11      -1.837280087100e-12 
    3       1.291731224243e-10       5.167534184026e-15       5.875729487562e-13       0.000000000000e+00       4.838029023893e-09      -1.254976363005e-11      -1.491096847154e-12 
    4       1.212350616571e-10       5.079035647712e-15       5.259648538688e-13       0.000000000000e+00       3.437540200858e-09      -2.930677507415e-12      -1.095688462654e-12 
    5       1.161399467380e-10       3.927104371413e-15       4.338105217680e-13       0.000000000000e+00       2.607484780199e-09       1.733163254297e-13      -7.357661210686e-13 
    6       1.129915927687e-10       2.509313478228e-15       3.382456031332e-13       0.000000000000e+00       2.063910782403e-09       9.898057398437e-13      -4.403800997044e-13 
    7       1.112086372283e-10       1.395474065999e-15       2.545527938236e-13       0.000000000000e+00       1.683462177520e-09       9.932756423963e-13      -2.198654049326e-13 
    8       1.103072477139e-10       7.548030754317e-16       1.893909370007e-13       0.000000000000e+00       1.404981238798e-09       7.844209384196e-13      -7.236578808957e-14 
    9       1.100659460006e-10       4.809924729284e-16       1.442583876927e-13       0.000000000000e+00       1.194403082286e-09       5.137040835892e-13       1.140391546532e-14 
   10       1.102892422898e-10       3.900418777466e-16       1.174338088829e-13       0.000000000000e+00       1.030701551285e-09       1.998143599744e-13       4.508124582359e-14 
   11       1.108638827755e-10       3.518324418863e-16       1.054390796415e-13       0.000000000000e+00       8.624353933456e-10       3.519863571247e-13       4.426800291981e-14 
   12       1.116581194629e-10       3.202919465567e-16       1.042170891276e-13       0.000000000000e+00       7.588195372266e-10      -1.890833084904e-14       2.364495669815e-14 
   13       1.126733899326e-10       2.994366263305e-16       1.098554226523e-13       0.000000000000e+00       6.732871468585e-10      -1.251992338139e-13      -3.947819646323e-15 
   14       1.138429109438e-10       3.002076153238e-16       1.189960372234e-13       0.000000000000e+00       6.017433191511e-10      -3.850649928103e-13      -2.957220396621e-14 
   15       1.151262243424e-10       3.205511652619e-16       1.292162392218e-13       0.000000000000e+00       5.412082536328e-10      -6.519093165605e-13      -4.751269079830e-14 
