# Matter power spectrum P(k) at redshift z=0
# for k=1.17233e-05 to 1.58883 h/Mpc,
# number of wavenumbers equal to 565
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.172328997123e-05                     -nan 
       2.609758446818e-05                     -nan 
       4.053500434189e-05                     -nan 
       5.508395205885e-05                     -nan 
       6.979382722341e-05                     -nan 
       8.471557458578e-05                     -nan 
       9.990225367251e-05                     -nan 
       1.154096392869e-04                     -nan 
       1.312968621767e-04                     -nan 
       1.476270991791e-04                     -nan 
       1.644683220254e-04                     -nan 
       1.818941135826e-04                     -nan 
       1.999845594134e-04                     -nan 
       2.188272208814e-04                     -nan 
       2.385181932216e-04                     -nan 
       2.591632475187e-04                     -nan 
       2.808790487244e-04                     -nan 
       3.037944318344e-04                     -nan 
       3.280517041309e-04                     -nan 
       3.538079218365e-04                     -nan 
       3.812360635421e-04                     -nan 
       4.105259895969e-04                     -nan 
       4.418850364121e-04                     -nan 
       4.755380490925e-04                     -nan 
       5.117266095692e-04                     -nan 
       5.507071791039e-04                     -nan 
       5.927478575434e-04                     -nan 
       6.381234861261e-04                     -nan 
       6.871089081958e-04                     -nan 
       7.399703723473e-04                     -nan 
       7.969553219739e-04                     -nan 
       8.582811449790e-04                     -nan 
       9.241238029269e-04                     -nan 
       9.946075308994e-04                     -nan 
       1.069796894296e-03                     -nan 
       1.149692328086e-03                     -nan 
       1.234229857345e-03                     -nan 
       1.323285086090e-03                     -nan 
       1.416680897905e-03                     -nan 
       1.514197805352e-03                     -nan 
       1.615585633235e-03                     -nan 
       1.720575249162e-03                     -nan 
       1.828889303203e-03                     -nan 
       1.940251299552e-03                     -nan 
       2.054392690843e-03                     -nan 
       2.171057986814e-03                     -nan 
       2.290008071950e-03                     -nan 
       2.411022033388e-03                     -nan 
       2.533897831527e-03                     -nan 
       2.658452127432e-03                     -nan 
       2.784519536521e-03                     -nan 
       2.911951524139e-03                     -nan 
       3.040615106095e-03                     -nan 
       3.170391471372e-03                     -nan 
       3.301174607119e-03                     -nan 
       3.432869977507e-03                     -nan 
       3.565393287081e-03                     -nan 
       3.698669344434e-03                     -nan 
       3.832631031978e-03                     -nan 
       3.967218381001e-03                     -nan 
       4.102377747231e-03                     -nan 
       4.238061079803e-03                     -nan 
       4.374225275490e-03                     -nan 
       4.510831609728e-03                     -nan 
       4.647845236164e-03                     -nan 
       4.785234746907e-03                     -nan 
       4.922971786294e-03                     -nan 
       5.061030711657e-03                     -nan 
       5.199388295262e-03                     -nan 
       5.338023462257e-03                     -nan 
       5.476917060083e-03                     -nan 
       5.616051655351e-03                     -nan 
       5.755411354710e-03                     -nan 
       5.894981646669e-03                     -nan 
       6.034749261721e-03                     -nan 
       6.174702048491e-03                     -nan 
       6.314828863888e-03                     -nan 
       6.455119475551e-03                     -nan 
       6.595564475069e-03                     -nan 
       6.736155200672e-03                     -nan 
       6.876883668243e-03                     -nan 
       7.017742509677e-03                     -nan 
       7.158724917704e-03                     -nan 
       7.299824596437e-03                     -nan 
       7.441035716971e-03                     -nan 
       7.582352877474e-03                     -nan 
       7.723771067246e-03                     -nan 
       7.865285634321e-03                     -nan 
       8.006892256212e-03                     -nan 
       8.148586913459e-03                     -nan 
       8.290365865683e-03                     -nan 
       8.432225629876e-03                     -nan 
       8.574162960700e-03                     -nan 
       8.716174832569e-03                     -nan 
       8.858258423359e-03                     -nan 
       9.000411099558e-03                     -nan 
       9.142630402720e-03                     -nan 
       9.284914037105e-03                     -nan 
       9.427259858365e-03                     -nan 
       9.569665863206e-03                     -nan 
       9.712130179907e-03                     -nan 
       9.854651059629e-03                     -nan 
       9.997226868439e-03                     -nan 
       1.013985607998e-02                     -nan 
       1.028253726874e-02                     -nan 
       1.042526910382e-02                     -nan 
       1.056805034327e-02                     -nan 
       1.071087982878e-02                     -nan 
       1.085375648083e-02                     -nan 
       1.099667929423e-02                     -nan 
       1.113964733392e-02                     -nan 
       1.128265973122e-02                     -nan 
       1.142571568021e-02                     -nan 
       1.156881443448e-02                     -nan 
       1.171195530410e-02                     -nan 
       1.185513765282e-02                     -nan 
       1.199836089540e-02                     -nan 
       1.214162449527e-02                     -nan 
       1.228492796224e-02                     -nan 
       1.242827085044e-02                     -nan 
       1.257165275638e-02                     -nan 
       1.271507331716e-02                     -nan 
       1.285853220881e-02                     -nan 
       1.300202914476e-02                     -nan 
       1.314556387440e-02                     -nan 
       1.328913618173e-02                     -nan 
       1.343274588417e-02                     -nan 
       1.357639283139e-02                     -nan 
       1.372007690426e-02                     -nan 
       1.386379801390e-02                     -nan 
       1.400755610071e-02                     -nan 
       1.415135113358e-02                     -nan 
       1.429518310912e-02                     -nan 
       1.443905205092e-02                     -nan 
       1.458295800892e-02                     -nan 
       1.472690105878e-02                     -nan 
       1.487088130136e-02                     -nan 
       1.501489886219e-02                     -nan 
       1.515895389101e-02                     -nan 
       1.530304656137e-02                     -nan 
       1.544717707023e-02                     -nan 
       1.559134563765e-02                     -nan 
       1.573555250644e-02                     -nan 
       1.587979794195e-02                     -nan 
       1.602408223177e-02                     -nan 
       1.616840568556e-02                     -nan 
       1.631276863489e-02                     -nan 
       1.645717143305e-02                     -nan 
       1.660161445495e-02                     -nan 
       1.674609809703e-02                     -nan 
       1.689062277720e-02                     -nan 
       1.703518893475e-02                     -nan 
       1.717979703039e-02                     -nan 
       1.732444754623e-02                     -nan 
       1.746914098576e-02                     -nan 
       1.761387787396e-02                     -nan 
       1.775865875733e-02                     -nan 
       1.790348420398e-02                     -nan 
       1.804835480375e-02                     -nan 
       1.819327116832e-02                     -nan 
       1.833823393134e-02                     -nan 
       1.848324374865e-02                     -nan 
       1.862830129838e-02                     -nan 
       1.877340728122e-02                     -nan 
       1.891856242059e-02                     -nan 
       1.906376746293e-02                     -nan 
       1.920902317786e-02                     -nan 
       1.935433035856e-02                     -nan 
       1.949968982196e-02                     -nan 
       1.964510240911e-02                     -nan 
       1.979056898548e-02                     -nan 
       1.993609044128e-02                     -nan 
       2.008166769185e-02                     -nan 
       2.022730167800e-02                     -nan 
       2.037299336644e-02                     -nan 
       2.051874375015e-02                     -nan 
       2.066455384882e-02                     -nan 
       2.081042470929e-02                     -nan 
       2.095635740605e-02                     -nan 
       2.110235304165e-02                     -nan 
       2.124841274726e-02                     -nan 
       2.139453768314e-02                     -nan 
       2.154072903922e-02                     -nan 
       2.168698803564e-02                     -nan 
       2.183331592329e-02                     -nan 
       2.197971398446e-02                     -nan 
       2.212618353343e-02                     -nan 
       2.227272591710e-02                     -nan 
       2.241934251566e-02                     -nan 
       2.256603474325e-02                     -nan 
       2.271280404869e-02                     -nan 
       2.285965191619e-02                     -nan 
       2.300657986608e-02                     -nan 
       2.315358945563e-02                     -nan 
       2.330068227978e-02                     -nan 
       2.344785997200e-02                     -nan 
       2.359512420516e-02                     -nan 
       2.374247669233e-02                     -nan 
       2.388991918774e-02                     -nan 
       2.403745348770e-02                     -nan 
       2.418508143154e-02                     -nan 
       2.433280490260e-02                     -nan 
       2.448062582923e-02                     -nan 
       2.462854618589e-02                     -nan 
       2.477656799417e-02                     -nan 
       2.492469332393e-02                     -nan 
       2.507292429444e-02                     -nan 
       2.522126307560e-02                     -nan 
       2.536971188907e-02                     -nan 
       2.551827300964e-02                     -nan 
       2.566694876641e-02                     -nan 
       2.581574154423e-02                     -nan 
       2.596465378502e-02                     -nan 
       2.611368798917e-02                     -nan 
       2.626284671707e-02                     -nan 
       2.641213259058e-02                     -nan 
       2.656154829457e-02                     -nan 
       2.671109657857e-02                     -nan 
       2.686078025841e-02                     -nan 
       2.701060221791e-02                     -nan 
       2.716056541070e-02                     -nan 
       2.731067286197e-02                     -nan 
       2.746092767041e-02                     -nan 
       2.761133301013e-02                     -nan 
       2.776189213266e-02                     -nan 
       2.791260836902e-02                     -nan 
       2.806348513190e-02                     -nan 
       2.821452591779e-02                     -nan 
       2.836573430935e-02                     -nan 
       2.851711397771e-02                     -nan 
       2.866866868494e-02                     -nan 
       2.882040228656e-02                     -nan 
       2.897231873413e-02                     -nan 
       2.912442207801e-02                     -nan 
       2.927671647007e-02                     -nan 
       2.942920616661e-02                     -nan 
       2.958189553139e-02                     -nan 
       2.973478903865e-02                     -nan 
       2.988789127636e-02                     -nan 
