# Matter power spectrum P(k) at redshift z=0
# for k=9.0361e-06 to 1.72817 h/Mpc,
# number of wavenumbers equal to 556
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       9.036099472458e-06       9.611089830080e+01 
       2.121488357549e-05       2.186999461253e+02 
       3.342994680255e-05       3.386885885218e+02 
       4.571065685992e-05       4.576551111061e+02 
       5.808680017082e-05       5.761976554875e+02 
       7.058881939833e-05       6.949874187431e+02 
       8.324805759878e-05       8.144104210142e+02 
       9.609701193905e-05       9.349060128420e+02 
       1.091695999345e-04       1.056640682091e+03 
       1.225014411921e-04       1.180518971058e+03 
       1.361301576607e-04       1.306468878477e+03 
       1.500956953823e-04       1.434594166119e+03 
       1.644406706682e-04       1.566272082889e+03 
       1.792107434717e-04       1.700584807254e+03 
       1.944550204304e-04       1.839285138802e+03 
       2.102264895540e-04       1.982091000000e+03 
       2.265824877539e-04       2.129884594352e+03 
       2.435852012343e-04       2.282121199892e+03 
       2.613021970734e-04       2.440569125729e+03 
       2.798069819314e-04       2.605512870573e+03 
       2.991795805551e-04       2.777703135554e+03 
       3.195071223658e-04       2.957402331729e+03 
       3.408844186930e-04       3.145866337673e+03 
       3.634145059148e-04       3.343419092387e+03 
       3.872091207369e-04       3.551450186279e+03 
       4.123890630449e-04       3.770055910488e+03 
       4.390843894414e-04       4.001492904277e+03 
       4.674343673639e-04       4.245462906764e+03 
       4.975871068064e-04       4.503741569316e+03 
       5.296987762032e-04       4.777289788419e+03 
       5.639323039526e-04       5.067430126582e+03 
       6.004554713530e-04       5.374983237621e+03 
       6.394383209794e-04       5.700918795005e+03 
       6.810498412783e-04       6.046819541223e+03 
       7.254539464401e-04       6.412795174803e+03 
       7.728048501675e-04       6.800024089779e+03 
       8.232420272200e-04       7.209094150726e+03 
       8.768850553241e-04       7.640319438172e+03 
       9.338287136308e-04       8.093806165416e+03 
       9.941387604837e-04       7.855625474024e+03 
       1.057848803325e-03       9.066609993607e+03 
       1.124958597101e-03       8.788302376246e+03 
       1.195433969734e-03       1.012121063135e+04 
       1.269208395812e-03       1.067637052557e+04 
       1.346186056256e-03       1.124814483622e+04 
       1.426246068025e-03       1.183519263878e+04 
       1.509247471549e-03       1.243451836169e+04 
       1.595034535944e-03       1.304450281237e+04 
       1.683441978044e-03       1.366405268325e+04 
       1.774299772624e-03       1.310096392909e+04 
       1.867437334671e-03       1.382600705963e+04 
       1.962686958528e-03       1.555625229117e+04 
       2.059886487817e-03       1.619232911694e+04 
       2.158881256363e-03       1.675182690250e+04 
       2.259525382559e-03       1.746337758554e+04 
       2.361682520649e-03       1.660432135804e+04 
       2.465226177287e-03       1.827334383722e+04 
       2.570039695778e-03       1.922080608638e+04 
       2.676015998316e-03       1.968896402418e+04 
       2.783057161795e-03       1.890204282583e+04 
       2.891073887754e-03       1.945688149445e+04 
       2.999984913268e-03       2.012157773072e+04 
       3.109716397610e-03       2.080106323570e+04 
       3.220201309702e-03       2.148632109920e+04 
       3.331378833547e-03       2.216991527821e+04 
       3.443193802819e-03       2.284615139385e+04 
       3.555596171257e-03       2.351085285591e+04 
       3.668540522250e-03       2.416125571977e+04 
       3.781985618664e-03       2.479561046936e+04 
       3.895893992358e-03       2.541299982829e+04 
       4.010231571828e-03       2.601307320382e+04 
       4.124967345762e-03       2.659583208791e+04 
       4.240073059936e-03       2.716155116512e+04 
       4.355522944762e-03       2.597839952159e+04 
       4.471293470774e-03       2.652054110773e+04 
       4.587363129410e-03       2.707479874606e+04 
       4.703712236629e-03       2.762633600275e+04 
       4.820322757015e-03       2.817610778390e+04 
       4.937178146263e-03       2.871915314188e+04 
       5.054263210081e-03       2.925392524283e+04 
       5.171563977766e-03       2.977866941766e+04 
       5.289067588856e-03       3.029115105317e+04 
       5.406762191453e-03       3.079128923274e+04 
       5.524636850929e-03       3.127704323556e+04 
       5.642681467905e-03       3.174903041867e+04 
       5.760886704480e-03       3.220637363965e+04 
       5.879243917823e-03       3.264792061474e+04 
       5.997745100328e-03       3.307920452064e+04 
       6.116382825639e-03       3.349442367675e+04 
       6.235150199897e-03       3.389607287316e+04 
       6.354040817679e-03       3.428490404186e+04 
       6.473048722118e-03       3.465987545666e+04 
       6.592168368774e-03       3.502288115289e+04 
