# Table of selected background quantities
# All densities are multiplied by (8piG/3) (below, shortcut notation (.) for this factor) 
# Densities are in units [Mpc^-2] while all distances are in [Mpc]. 
#    1:z                      2:proper time [Gyr]      3:conf. time [Mpc]       4:H [1/Mpc]              5:comov. dist.           6:ang.diam.dist.         7:lum. dist.             8:comov.snd.hrz.         9:(.)rho_g              10:(.)rho_b              11:(.)rho_cdm            12:(.)n_ncdm[0]          13:(.)rho_ncdm[0]        14:(.)p_ncdm[0]          15:(.)rho_lambda         16:(.)rho_ur             17:(.)rho_crit           18:(.)rho_dcdm           19:(.)rho_dr             20:gr.fac. D             21:gr.fac. f          
       9.999999999990e+11       7.559518494653e-22       4.635512595996e-07       2.157256296941e+18       1.334228786375e+04       1.334228786375e-08       1.334228786375e+16       2.676317459397e-07       2.751560535470e+36       2.492336125560e+27       1.112650056054e+25       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       3.520282070399e-08       1.902194177205e+36       4.653754730691e+36       1.551302263338e+28       4.817843893182e+03       6.048314551883e-18       2.000000000000e+12 
       9.930486593833e+11       7.665722169984e-22       4.667963366956e-07       2.127368891414e+18       1.334228786374e+04       1.343568387879e-08       1.324954107621e+16       2.695051681606e-07       2.675846458098e+36       2.440721353921e+27       1.089607747286e+25       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       3.520282070399e-08       1.849851924417e+36       4.525698400158e+36       1.519175733034e+28       4.784353419055e+03       8.438141214672e-08       1.433565615443e+02 
       9.861456399039e+11       7.773417900749e-22       4.700650606537e-07       2.097895556766e+18       1.334228786374e+04       1.352973366594e-08       1.315743900318e+16       2.713917043371e-07       2.602215788101e+36       2.390175492941e+27       1.067042630777e+25       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       3.520282070399e-08       1.798949961721e+36       4.401165767100e+36       1.487714523715e+28       4.751095748625e+03       1.687628242863e-07       7.167828077423e+01 
       9.792906056642e+11       7.882626648833e-22       4.733537934953e-07       2.068830556309e+18       1.334228786374e+04       1.362444180160e-08       1.306597716304e+16       2.732914462667e-07       2.530611196823e+36       2.340676406128e+27       1.044944824164e+25       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       3.520282070399e-08       1.749448656976e+36       4.280059870719e+36       1.456904856985e+28       4.718069263594e+03       2.531442364247e-07       4.778552051642e+01 
       9.724832231024e+11       7.993369670618e-22       4.766679921886e-07       2.040168232835e+18       1.334228786373e+04       1.371981289421e-08       1.297515110530e+16       2.752044863899e-07       2.460976933108e+36       2.292202415424e+27       1.023304649743e+25       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       3.520282070399e-08       1.701309468590e+36       4.162286418268e+36       1.426733239794e+28       4.685272356914e+03       3.375256485621e-07       3.583914038730e+01 
       9.657231609755e+11       8.105668521115e-22       4.800040187547e-07       2.011903007510e+18       1.334228786373e+04       1.381585158446e-08       1.288495641042e+16       2.771309177938e-07       2.393258779892e+36       2.244732291707e+27       1.002112630227e+25       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       3.520282070399e-08       1.654494915511e+36       4.047753711629e+36       1.397186458520e+28       4.652703432707e+03       4.219070606984e-07       2.867131230977e+01 
       9.590100903431e+11       8.219545058161e-22       4.833655111725e-07       1.984029378796e+18       1.334228786373e+04       1.391256254555e-08       1.279538868959e+16       2.790708342176e-07       2.327404011990e+36       2.198245245502e+27       9.813594845993e+24       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       3.520282070399e-08       1.608968548044e+36       3.936372575924e+36       1.368251573191e+28       4.620360906189e+03       5.062884728336e-07       2.389276025805e+01 
       9.523436845512e+11       8.335021446673e-22       4.867488314630e-07       1.956541921370e+18       1.334228786372e+04       1.400995048337e-08       1.270644358450e+16       2.810243300563e-07       2.263361355044e+36       2.152720917869e+27       9.610361240485e+24       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       3.520282070399e-08       1.564694919474e+36       3.828056290079e+36       1.339915911813e+28       4.588243203592e+03       5.906698849678e-07       2.047950879253e+01 
       9.457236192166e+11       8.452120162967e-22       4.901557986159e-07       1.929435285078e+18       1.334228786372e+04       1.410802013675e-08       1.261811676712e+16       2.829915003658e-07       2.201080945600e+36       2.108139371488e+27       9.411336479856e+24       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       3.520282070399e-08       1.521639558464e+36       3.722720519303e+36       1.312167064820e+28       4.556348762089e+03       6.750512971010e-07       1.791957019338e+01 
       9.391495722111e+11       8.570863999124e-22       4.935864126310e-07       1.902704193885e+18       1.334228786372e+04       1.420677627770e-08       1.253040393954e+16       2.849724408675e-07       2.140514292289e+36       2.064481081931e+27       9.216433401476e+24       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       3.520282070399e-08       1.479768942216e+36       3.620283249429e+36       1.284992879641e+28       4.524676029717e+03       7.594327092332e-07       1.592850683849e+01 
       9.326212236455e+11       8.691276067434e-22       4.970424924977e-07       1.876343444856e+18       1.334228786371e+04       1.430622371164e-08       1.244330083370e+16       2.869672479526e-07       2.081614238064e+36       2.021726929108e+27       9.025566647805e+24       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       3.520282070399e-08       1.439050470375e+36       3.520664723053e+36       1.258381455379e+28       4.493223465298e+03       8.438141213644e-07       1.433565615457e+01 
       9.261382558544e+11       8.813379804889e-22       5.005204002373e-07       1.850347907136e+18       1.334228786371e+04       1.440636727762e-08       1.235680321122e+16       2.889760186873e-07       2.024334923491e+36       1.979858188896e+27       8.838652629000e+24       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       3.520282070399e-08       1.399452439639e+36       3.423787377441e+36       1.232321137596e+28       4.461989538371e+03       9.281955334947e-07       1.303241468591e+01 
       9.197003533807e+11       8.937198977750e-22       5.040255928179e-07       1.824712520956e+18       1.334228786371e+04       1.450721184856e-08       1.227090686317e+16       2.909988508172e-07       1.968631751037e+36       1.938856524935e+27       8.655609486317e+24       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       3.520282070399e-08       1.360944019080e+36       3.329575784132e+36       1.206800513210e+28       4.430972729112e+03       1.012576945624e-06       1.194638012870e+01 
       9.133072029600e+11       9.062757686169e-22       5.075526132714e-07       1.799432296647e+18       1.334228786370e+04       1.460876233150e-08       1.218560760990e+16       2.930358427719e-07       1.914461350352e+36       1.898703980602e+27       8.476357056257e+24       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       3.520282070399e-08       1.323495226138e+36       3.237956590215e+36       1.181808405499e+28       4.400171528262e+03       1.096958357752e-06       1.102742781106e+01 
       9.069584935054e+11       9.190080368880e-22       5.111050995765e-07       1.774502313668e+18       1.334228786370e+04       1.471102366782e-08       1.210090130079e+16       2.950870936702e-07       1.861781544497e+36       1.859382971142e+27       8.300816835456e+24       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       3.520282070399e-08       1.287076903276e+36       3.148858461215e+36       1.157333869201e+28       4.369584437053e+03       1.181339769880e-06       1.023975439594e+01 
       9.006539160927e+11       9.319191807960e-22       5.146830517333e-07       1.749917719651e+18       1.334228786370e+04       1.481400083349e-08       1.201678381409e+16       2.971527033248e-07       1.810551317107e+36       1.820876275973e+27       8.128911946309e+24       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       3.520282070399e-08       1.251660695280e+36       3.062212025550e+36       1.133366185727e+28       4.339209967136e+03       1.265721182006e-06       9.557104102833e+00 
       8.943931639450e+11       9.450117133644e-22       5.182864697417e-07       1.725673729452e+18       1.334228786369e+04       1.491769883932e-08       1.193325105669e+16       2.992327722469e-07       1.760730780454e+36       1.783167031139e+27       7.960567103300e+24       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       3.520282070399e-08       1.217219027178e+36       2.977949820522e+36       1.109894858461e+28       4.309046640508e+03       1.350102594132e-06       8.959785096368e+00 
