# Table of selected background quantities
# All densities are multiplied by (8piG/3) (below, shortcut notation (.) for this factor) 
# Densities are in units [Mpc^-2] while all distances are in [Mpc]. 
#    1:z                      2:proper time [Gyr]      3:conf. time [Mpc]       4:H [1/Mpc]              5:comov. dist.           6:ang.diam.dist.         7:lum. dist.             8:comov.snd.hrz.         9:(.)rho_g              10:(.)rho_b              11:(.)rho_cdm            12:(.)rho_lambda         13:(.)rho_ur             14:(.)rho_crit           15:gr.fac. D             16:gr.fac. f          
       9.999999999990e+11       7.558503619488e-22       4.634894139599e-07       2.157545950284e+18       1.416504577512e+04       1.416504577512e-08       1.416504577512e+16       2.675958160306e-07       2.751560535470e+36       2.451390603497e+27       1.339408137477e+28       3.492914243310e-08       1.903443976270e+36       4.655004527585e+36       6.962572299215e-18       2.000000000000e+12 
       9.930486593833e+11       7.664693036838e-22       4.667344910558e-07       2.127654531792e+18       1.416504577512e+04       1.426420109554e-08       1.406657971710e+16       2.694689867422e-07       2.675846458098e+36       2.400623788821e+27       1.311669806183e+28       3.492914243310e-08       1.851067333040e+36       4.526913806655e+36       9.713642994948e-08       1.433565615445e+02 
       9.861456399039e+11       7.772374309311e-22       4.700013960246e-07       2.098177239776e+18       1.416504577511e+04       1.436405050321e-08       1.396879813018e+16       2.713552696487e-07       2.602215788101e+36       2.350908324129e+27       1.284505918930e+28       3.492914243310e-08       1.800131926216e+36       4.402347729513e+36       1.942728598909e-07       7.167828077441e+01 
       9.792906056642e+11       7.881568395980e-22       4.732919478556e-07       2.069108336778e+18       1.416504577511e+04       1.446459885673e-08       1.387169625638e+16       2.732547565356e-07       2.530611196823e+36       2.302222436599e+27       1.257904579329e+28       3.492914243310e-08       1.750598097618e+36       4.281209309322e+36       2.914092898311e-07       4.778552051657e+01 
       9.724832231024e+11       7.992296550372e-22       4.766043275595e-07       2.040442164829e+18       1.416504577511e+04       1.456585104872e-08       1.377526937078e+16       2.751675398306e-07       2.460976933108e+36       2.254544804313e+27       1.231854137360e+28       3.492914243310e-08       1.702427280330e+36       4.163404228012e+36       3.885457197703e-07       3.583914038744e+01 
       9.657231609756e+11       8.104580324603e-22       4.799403541256e-07       2.012173144349e+18       1.416504577510e+04       1.466781200606e-08       1.367951278131e+16       2.770937126087e-07       2.393258779892e+36       2.207854546915e+27       1.206343184267e+28       3.492914243310e-08       1.655581968675e+36       4.048840762838e+36       4.856821497084e-07       2.867131230990e+01 
       9.590100903431e+11       8.218441573576e-22       4.833000275539e-07       1.984295773058e+18       1.416504577510e+04       1.477048669010e-08       1.358442182851e+16       2.790333685962e-07       2.327404011990e+36       2.162131216469e+27       1.181360547561e+28       3.492914243310e-08       1.610025689009e+36       3.937429714975e+36       5.828185796454e-07       2.389276025818e+01 
       9.523436845512e+11       8.333902459235e-22       4.866833478445e-07       1.956804624907e+18       1.416504577510e+04       1.487388009693e-08       1.348999188531e+16       2.809866021756e-07       2.263361355044e+36       2.117354788504e+27       1.156895286130e+28       3.492914243310e-08       1.565722971327e+36       3.829084340057e+36       6.799550095814e-07       2.047950879266e+01 
       9.457236192166e+11       8.450985454876e-22       4.900903149974e-07       1.929694349022e+18       1.416504577509e+04       1.497799725761e-08       1.339621835681e+16       2.829535083900e-07       2.201080945601e+36       2.073505653242e+27       1.132936685445e+28       3.492914243310e-08       1.522639321643e+36       3.723720280647e+36       7.770914395163e-07       1.791957019351e+01 
       9.391495722111e+11       8.569713349520e-22       4.935209290124e-07       1.902959668661e+18       1.416504577509e+04       1.508284323841e-08       1.330309668004e+16       2.849341829478e-07       2.140514292289e+36       2.030564607014e+27       1.109474252870e+28       3.492914243310e-08       1.480741195135e+36       3.621255500550e+36       8.742278694503e-07       1.592850683861e+01 
       9.326212236455e+11       8.690109252355e-22       4.969751898898e-07       1.876595380189e+18       1.416504577509e+04       1.518842314107e-08       1.321062232377e+16       2.869287222276e-07       2.081614238065e+36       1.988512843845e+27       1.086497713063e+28       3.492914243310e-08       1.439995970027e+36       3.521610220945e+36       9.713642993832e-07       1.433565615469e+01 
