# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3100, i.e. number of multipoles equal to 3099
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.456661174890e-10       7.096089476886e-15       4.670714938252e-13       0.000000000000e+00       8.637959677155e-09       4.777576900062e-10      -2.443324159504e-12 
    3       1.374695016503e-10       1.204047919822e-14       5.892112691256e-13       0.000000000000e+00       5.338411930373e-09       3.407975888760e-10      -2.152389405599e-12 
    4       1.293467002979e-10       1.407503253545e-14       6.103625844359e-13       0.000000000000e+00       3.714102738534e-09       2.595260753959e-10      -1.718967924362e-12 
    5       1.229084785108e-10       1.302796547053e-14       5.722157700502e-13       0.000000000000e+00       2.772168949289e-09       2.060287577970e-10      -1.277058679298e-12 
    6       1.181734550153e-10       1.005937543998e-14       5.039871460670e-13       0.000000000000e+00       2.166106187395e-09       1.683269057575e-10      -8.732120328322e-13 
    7       1.148603988096e-10       6.670511990754e-15       4.255606245156e-13       0.000000000000e+00       1.748357295938e-09       1.404900934363e-10      -5.314170220966e-13 
    8       1.126611155616e-10       3.943384653940e-15       3.489384698777e-13       0.000000000000e+00       1.445671345255e-09       1.192107106092e-10      -2.624524548143e-13 
    9       1.113391663470e-10       2.280731740987e-15       2.812368212946e-13       0.000000000000e+00       1.218076950608e-09       1.025019468023e-10      -6.812070020404e-14 
   10       1.106873510643e-10       1.535796896904e-15       2.264594649403e-13       0.000000000000e+00       1.041750026737e-09       8.912687566199e-11       5.662493077653e-14 
   11       1.105696438253e-10       1.316538463531e-15       1.863095697460e-13       0.000000000000e+00       8.778685217274e-10       7.851984994871e-11       1.210493568801e-13 
   12       1.108815393098e-10       1.261070730698e-15       1.605314462483e-13       0.000000000000e+00       7.672803871908e-10       6.942544008152e-11       1.394521750678e-13 
   13       1.115061591489e-10       1.175809340548e-15       1.474095847877e-13       0.000000000000e+00       6.764752340353e-10       6.199042737989e-11       1.252877567103e-13 
   14       1.123473438965e-10       1.033352366965e-15       1.444197563221e-13       0.000000000000e+00       6.009034160921e-10       5.554477263535e-11       9.103129786536e-14 
   15       1.134122171656e-10       8.924310999842e-16       1.486763390728e-13       0.000000000000e+00       5.372767936892e-10       5.015981691105e-11       4.867508250997e-14 
   16       1.146626048981e-10       8.132074167581e-16       1.572299585640e-13       0.000000000000e+00       4.831671242086e-10       4.559604184628e-11       7.137070221396e-15 
   17       1.160176557224e-10       8.128138098195e-16       1.675653133749e-13       0.000000000000e+00       4.367398477674e-10       4.165553281115e-11      -2.736308702924e-14 
   18       1.174809925574e-10       8.645056766792e-16       1.778864480827e-13       0.000000000000e+00       3.964344474589e-10       3.815486483755e-11      -5.134509853603e-14 
   19       1.190604966347e-10       9.361742944635e-16       1.872660231642e-13       0.000000000000e+00       3.616147843869e-10       3.506491106993e-11      -6.392746672268e-14 
   20       1.207019729298e-10       9.948418738250e-16       1.949886257940e-13       0.000000000000e+00       3.309410019588e-10       3.233333653030e-11      -6.589898263597e-14 
   21       1.224173268332e-10       1.043469070183e-15       2.010953240561e-13       0.000000000000e+00       3.039331841135e-10       2.991627546021e-11      -5.934862046483e-14 
   22       1.242063762644e-10       1.099984364437e-15       2.059857556928e-13       0.000000000000e+00       2.799471276989e-10       2.773314933826e-11      -4.756095482907e-14 
   23       1.260582495177e-10       1.183409942814e-15       2.101430609888e-13       0.000000000000e+00       2.586543067360e-10       2.575359756185e-11      -3.344058283876e-14 
   24       1.279412249316e-10       1.311933147512e-15       2.141416582224e-13       0.000000000000e+00       2.395636876004e-10       2.394510266339e-11      -2.004758201607e-14 
   25       1.298723724331e-10       1.485952642454e-15       2.184344862582e-13       0.000000000000e+00       2.224516943802e-10       2.231783690023e-11      -9.200382802102e-15 
   26       1.318644686504e-10       1.698605323510e-15       2.234014491285e-13       0.000000000000e+00       2.070095937146e-10       2.087502529540e-11      -2.217501078691e-15 
   27       1.338986211107e-10       1.943637614381e-15       2.290780295380e-13       0.000000000000e+00       1.930527468163e-10       1.958376378510e-11       7.128670418102e-16 
   28       1.359392164194e-10       2.214802025391e-15       2.353199791304e-13       0.000000000000e+00       1.803410841349e-10       1.839304872345e-11      -2.544647563538e-17 
   29       1.379958623699e-10       2.511603490842e-15       2.418321812791e-13       0.000000000000e+00       1.688100709842e-10       1.729817736138e-11      -3.644820679115e-15 
   30       1.400828936821e-10       2.835212944990e-15       2.481783671747e-13       0.000000000000e+00       1.583362860080e-10       1.630017934660e-11      -8.947094923763e-15 
   31       1.422044855108e-10       3.186190608514e-15       2.538422760796e-13       0.000000000000e+00       1.487065695140e-10       1.539089384774e-11      -1.452542701345e-14 
   32       1.443635048778e-10       3.562454853522e-15       2.584422363814e-13       0.000000000000e+00       1.398714694986e-10       1.456126357988e-11      -1.952425351719e-14 
   33       1.465532984440e-10       3.960453488633e-15       2.615859725824e-13       0.000000000000e+00       1.317687630541e-10       1.379425191224e-11      -2.313745241209e-14 
   34       1.487611557613e-10       4.377126931063e-15       2.628973323783e-13       0.000000000000e+00       1.242853633050e-10       1.306893612966e-11      -2.462477688426e-14 
   35       1.509935544797e-10       4.815153418317e-15       2.623188322568e-13       0.000000000000e+00       1.173831565810e-10       1.238584723182e-11      -2.408641398383e-14 
   36       1.532581227003e-10       5.279607055824e-15       2.599175332723e-13       0.000000000000e+00       1.110069551513e-10       1.174963743642e-11      -2.197000979630e-14 
   37       1.555572089567e-10       5.775729280410e-15       2.558012185975e-13       0.000000000000e+00       1.050739897335e-10       1.116211051035e-11      -1.882570796457e-14 
   38       1.578912732995e-10       6.305755426911e-15       2.500915762747e-13       0.000000000000e+00       9.956904822271e-11       1.062230506149e-11      -1.512522181574e-14 
   39       1.602554082209e-10       6.871083788856e-15       2.429476151201e-13       0.000000000000e+00       9.447476782206e-11       1.012589880647e-11      -1.139786254394e-14 
   40       1.626375584836e-10       7.473123547637e-15       2.345766586013e-13       0.000000000000e+00       8.974269166067e-11       9.664780752425e-12      -8.288188151492e-15 
   41       1.650240595450e-10       8.113049560088e-15       2.251747865864e-13       0.000000000000e+00       8.531017600015e-11       9.229636055650e-12      -6.393658984945e-15 
   42       1.674200586957e-10       8.790974302416e-15       2.147177278003e-13       0.000000000000e+00       8.116425341331e-11       8.819473898077e-12      -5.696891771934e-15 
   43       1.698345951733e-10       9.506503855403e-15       2.031068773504e-13       0.000000000000e+00       7.729399264081e-11       8.434668226503e-12      -5.960594477577e-15 
   44       1.722747053631e-10       1.025894044507e-14       1.902246254685e-13       0.000000000000e+00       7.367133320657e-11       8.074208835038e-12      -6.876660018500e-15 
   45       1.747450682334e-10       1.104754809728e-14       1.759412488480e-13       0.000000000000e+00       7.026112573350e-11       7.736227309381e-12      -8.110020673128e-15 
   46       1.772474141705e-10       1.187248730968e-14       1.601412190252e-13       0.000000000000e+00       6.705804673640e-11       7.420038529212e-12      -9.456538258331e-15 
   47       1.797805070714e-10       1.273412876986e-14       1.427024654446e-13       0.000000000000e+00       6.405839957707e-11       7.124510143598e-12      -1.072459846034e-14 
   48       1.823399762077e-10       1.363279186376e-14       1.234879673110e-13       0.000000000000e+00       6.124897927939e-11       6.847394344975e-12      -1.168911179662e-14 
   49       1.849180562828e-10       1.456874277824e-14       1.023448797017e-13       0.000000000000e+00       5.860636525888e-11       6.585247714509e-12      -1.208976307450e-14 
   50       1.875067627278e-10       1.554220319737e-14       7.914590396528e-14       0.000000000000e+00       5.610398247935e-11       6.334434177255e-12      -1.171432538840e-14 
   51       1.901090367530e-10       1.655338357598e-14       5.392866486650e-14       0.000000000000e+00       5.373718536070e-11       6.094640772060e-12      -1.067932384683e-14 
   52       1.927301761676e-10       1.760245561797e-14       2.679265522277e-14       0.000000000000e+00       5.150376005394e-11       5.866177645442e-12      -9.222528923321e-15 
   53       1.953745685917e-10       1.868954110626e-14      -2.138614159495e-15       0.000000000000e+00       4.939641751217e-11       5.648949857298e-12      -7.626749424746e-15 
   54       1.980455931716e-10       1.981471050391e-14      -3.271650040649e-14       0.000000000000e+00       4.740245179307e-11       5.442428196137e-12      -6.222084987008e-15 
