# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2600, i.e. number of multipoles equal to 2599
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.456666006251e-10       7.096328893630e-15       4.670714887718e-13       2.394166243506e-19       8.637959677155e-09       4.777576900062e-10      -2.443324159504e-12 
    3       1.374704657544e-10       1.204095820364e-14       5.892112466469e-13       4.790042457198e-19       5.338411930373e-09       3.407975888760e-10      -2.152389405599e-12 
    4       1.293483023748e-10       1.407583125714e-14       6.103625200049e-13       7.987159227534e-19       3.714102738534e-09       2.595260753959e-10      -1.718967924362e-12 
    5       1.229108728245e-10       1.302916425764e-14       5.722156237177e-13       1.198767317158e-18       2.772168949289e-09       2.060287577970e-10      -1.277058679298e-12 
    6       1.181767925293e-10       1.006105491172e-14       5.039868593750e-13       1.679417704766e-18       2.166106187395e-09       1.683269057575e-10      -8.732120328322e-13 
    7       1.148648267035e-10       6.672753080199e-15       4.255601178683e-13       2.240963588319e-18       1.748357295938e-09       1.404900934363e-10      -5.314170220966e-13 
    8       1.126667768350e-10       3.946268646004e-15       3.489376404203e-13       2.883731492151e-18       1.445671345255e-09       1.192107106092e-10      -2.624524548143e-13 
    9       1.113461995156e-10       2.284340303364e-15       2.812355413267e-13       3.608070163465e-18       1.218076950608e-09       1.025019468023e-10      -6.812070020404e-14 
   10       1.106958899531e-10       1.540212102923e-15       2.264575808686e-13       4.414342422109e-18       1.041750026737e-09       8.912687566199e-11       5.662493077653e-14 
   11       1.105798174591e-10       1.321842805800e-15       1.863069015586e-13       5.302916909906e-18       8.778685217274e-10       7.851984994871e-11       1.210493568801e-13 
   12       1.108934718966e-10       1.267347124523e-15       1.605277874749e-13       6.274159991386e-18       7.672803871908e-10       6.942544008152e-11       1.394521750678e-13 
   13       1.115199701529e-10       1.183141116291e-15       1.474047028891e-13       7.328428050296e-18       6.764752340353e-10       6.199042737989e-11       1.252877567103e-13 
   14       1.123631481903e-10       1.041823250673e-15       1.444133934398e-13       8.466060410710e-18       6.009034160921e-10       5.554477263535e-11       9.103129786536e-14 
   15       1.134301252522e-10       9.021251819284e-16       1.486682130579e-13       9.687373088479e-18       5.372767936892e-10       5.015981691105e-11       4.867508250997e-14 
