# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3100, i.e. number of multipoles equal to 3099
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.456699383945e-10       7.098303902587e-15       4.674004811034e-13       0.000000000000e+00       8.675684057214e-09       4.774769616994e-10      -2.442498183277e-12 
    3       1.374761869952e-10       1.204056226942e-14       5.892370485502e-13       0.000000000000e+00       5.329579519327e-09       3.406894227161e-10      -2.152316586804e-12 
    4       1.293509838296e-10       1.407529968681e-14       6.103887827166e-13       0.000000000000e+00       3.708952876075e-09       2.595405961609e-10      -1.718961539498e-12 
    5       1.229108070253e-10       1.302829663048e-14       5.722492885681e-13       0.000000000000e+00       2.771056556364e-09       2.060703709294e-10      -1.276999532063e-12 
    6       1.181750516028e-10       1.005963446273e-14       5.040164432659e-13       0.000000000000e+00       2.166283260925e-09       1.683544842091e-10      -8.731920886710e-13 
    7       1.148611557021e-10       6.670804942377e-15       4.255852964218e-13       0.000000000000e+00       1.748858322247e-09       1.404989120451e-10      -5.314247445914e-13 
    8       1.126614392245e-10       3.943694528578e-15       3.489517410983e-13       0.000000000000e+00       1.446020582660e-09       1.192082512938e-10      -2.624920858516e-13 
    9       1.113393476149e-10       2.281043087731e-15       2.812550321042e-13       0.000000000000e+00       1.217814810490e-09       1.024891207931e-10      -6.818947796630e-14 
   10       1.106868829249e-10       1.536090753421e-15       2.264943860699e-13       0.000000000000e+00       1.040850427104e-09       8.910508110418e-11       5.654419245378e-14 
   11       1.105694572198e-10       1.316816244625e-15       1.863409792593e-13       0.000000000000e+00       8.778661013607e-10       7.850949522826e-11       1.209821539074e-13 
   12       1.108815065487e-10       1.261350900263e-15       1.605703986721e-13       0.000000000000e+00       7.672781632511e-10       6.942188135792e-11       1.394178680818e-13 
   13       1.115062822525e-10       1.176093484381e-15       1.474679379136e-13       0.000000000000e+00       6.764729621800e-10       6.199479070676e-11       1.252909229445e-13 
   14       1.123479703858e-10       1.033652978535e-15       1.444846183666e-13       0.000000000000e+00       6.009012231229e-10       5.555477279061e-11       9.106061908279e-14 
   15       1.134126043740e-10       8.927704735792e-16       1.487469922820e-13       0.000000000000e+00       5.372747550037e-10       5.017199618151e-11       4.871098787197e-14 
   16       1.146628731090e-10       8.136086030067e-16       1.572969100100e-13       0.000000000000e+00       4.831652115542e-10       4.560739755470e-11       7.162122337651e-15 
   17       1.160178896786e-10       8.133292182611e-16       1.676261663899e-13       0.000000000000e+00       4.367380545692e-10       4.166418113575e-11      -2.735498055113e-14 
   18       1.174809347394e-10       8.651008383804e-16       1.779779132082e-13       0.000000000000e+00       3.964330393875e-10       3.816002510518e-11      -5.134684640122e-14 
   19       1.190600816887e-10       9.368249519214e-16       1.873950694920e-13       0.000000000000e+00       3.616131249239e-10       3.506664048830e-11      -6.392980657879e-14 
   20       1.207014726714e-10       9.955824873636e-16       1.951112864818e-13       0.000000000000e+00       3.309393030703e-10       3.233258237586e-11      -6.589502540878e-14 
   21       1.224169124100e-10       1.044354471404e-15       2.011948711148e-13       0.000000000000e+00       3.039316548908e-10       2.991451286142e-11      -5.933516469569e-14 
   22       1.242059822769e-10       1.101068631762e-15       2.060948846249e-13       0.000000000000e+00       2.799456993869e-10       2.773212375335e-11      -4.753919080218e-14 
   23       1.260578551737e-10       1.184705773771e-15       2.102783557006e-13       0.000000000000e+00       2.586529118106e-10       2.575461569867e-11      -3.341300064977e-14 
   24       1.279409184853e-10       1.313406915036e-15       2.142844835969e-13       0.000000000000e+00       2.395623454513e-10       2.394858603440e-11      -2.001653269703e-14 
   25       1.298721277336e-10       1.487606109217e-15       2.185706519043e-13       0.000000000000e+00       2.224504177142e-10       2.232303425570e-11      -9.166081318776e-15 
   26       1.318641030304e-10       1.700498675716e-15       2.235330297134e-13       0.000000000000e+00       2.070083631134e-10       2.088005845133e-11      -2.177913065438e-15 
   27       1.338980519602e-10       1.945832637293e-15       2.292075227090e-13       0.000000000000e+00       1.930515515758e-10       1.958709719012e-11       7.575290336335e-16 
