# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2600, i.e. number of multipoles equal to 2599
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.456704214633e-10       7.098543427884e-15       4.674004760494e-13       2.395251785988e-19       8.675684057214e-09       4.774769616994e-10      -2.442498183277e-12 
    3       1.374771509649e-10       1.204104149226e-14       5.892370260683e-13       4.792216676556e-19       5.329579519327e-09       3.406894227161e-10      -2.152316586804e-12 
    4       1.293525856828e-10       1.407609877154e-14       6.103887182760e-13       7.990789725074e-19       3.708952876075e-09       2.595405961609e-10      -1.718961539498e-12 
    5       1.229132010041e-10       1.302949596335e-14       5.722491422129e-13       1.199313127173e-18       2.771056556364e-09       2.060703709294e-10      -1.276999532063e-12 
    6       1.181783886489e-10       1.006131470044e-14       5.040161565268e-13       1.680183835519e-18       2.166283260925e-09       1.683544842091e-10      -8.731920886710e-13 
    7       1.148655829737e-10       6.673047055928e-15       4.255847896859e-13       2.241988061838e-18       1.748858322247e-09       1.404989120451e-10      -5.314247445914e-13 
    8       1.126670996997e-10       3.946579841188e-15       3.489509114861e-13       2.885052801405e-18       1.446020582660e-09       1.192082512938e-10      -2.624920858516e-13 
    9       1.113463797884e-10       2.284653305752e-15       2.812537518806e-13       3.609727256921e-18       1.217814810490e-09       1.024891207931e-10      -6.818947796630e-14 
   10       1.106954206010e-10       1.540507989123e-15       2.264925015945e-13       4.416374663948e-18       1.040850427104e-09       8.910508110418e-11       5.654419245378e-14 
   11       1.105796294023e-10       1.322123029745e-15       1.863383104584e-13       5.305364017617e-18       8.778661013607e-10       7.850949522826e-11       1.209821539074e-13 
   12       1.108934374252e-10       1.267630189318e-15       1.605667389959e-13       6.277061953614e-18       7.672781632511e-10       6.942188135792e-11       1.394178680818e-13 
   13       1.115200912668e-10       1.183428646903e-15       1.474630547231e-13       7.331825028840e-18       6.764729621800e-10       6.199479070676e-11       1.252909229445e-13 
   14       1.123637723901e-10       1.042127779583e-15       1.444782536805e-13       8.469992631404e-18       6.009012231229e-10       5.555477279061e-11       9.106061908279e-14 
   15       1.134305098507e-10       9.024690421582e-16       1.487388638030e-13       9.691880726361e-18       5.372747550037e-10       5.017199618151e-11       4.871098787197e-14 
   16       1.146829884490e-10       8.246153883539e-16       1.572867123423e-13       1.099777661361e-17       4.831652115542e-10       4.560739755470e-11       7.162122337651e-15 
   17       1.160403175019e-10       8.257289343379e-16       1.676135723592e-13       1.238793483875e-17       4.367380545692e-10       4.166418113575e-11      -2.735498055113e-14 
   18       1.175057742500e-10       8.789783973665e-16       1.779625752412e-13       1.386257384074e-17       3.964330393875e-10       3.816002510518e-11      -5.134684640122e-14 
   19       1.190874290093e-10       9.522653875340e-16       1.873766207075e-13       1.542187701162e-17       3.616131249239e-10       3.506664048830e-11      -6.392980657879e-14 
   20       1.207314212478e-10       1.012670870102e-15       1.950893421374e-13       1.706598676414e-17       3.309393030703e-10       3.233258237586e-11      -6.589502540878e-14 
   21       1.224495532999e-10       1.063175818815e-15       2.011690292382e-13       1.879501360964e-17       3.039316548908e-10       2.991451286142e-11      -5.933516469569e-14 
   22       1.242414045176e-10       1.121707810644e-15       2.060647270662e-13       2.060902952596e-17       2.799456993869e-10       2.773212375335e-11      -4.753919080218e-14 
   23       1.260961459948e-10       1.207247408025e-15       2.102434483354e-13       2.250808111720e-17       2.586529118106e-10       2.575461569867e-11      -3.341300064977e-14 
   24       1.279821635999e-10       1.337935284977e-15       2.142443769575e-13       2.449218289943e-17       2.395623454513e-10       2.394858603440e-11      -2.001653269703e-14 
   25       1.299164114285e-10       1.514205070997e-15       2.185248810099e-13       2.656133547646e-17       2.224504177142e-10       2.232303425570e-11      -9.166081318776e-15 
   26       1.319115083529e-10       1.729251567490e-15       2.234811143399e-13       2.871551696357e-17       2.070083631134e-10       2.088005845133e-11      -2.177913065438e-15 
   27       1.339486607168e-10       1.976822212109e-15       2.291489671383e-13       3.095470071106e-17       1.930515515758e-10       1.958709719012e-11       7.575290336335e-16 
   28       1.359924214337e-10       2.250652878130e-15       2.353801030680e-13       3.327885022344e-17       1.803399335954e-10       1.839401590788e-11       2.093021495334e-17 
   29       1.380523873690e-10       2.550245294884e-15       2.418798578577e-13       3.568794730758e-17       1.688089730845e-10       1.729664744563e-11      -3.598702762780e-15 
   30       1.401428140794e-10       2.876770718928e-15       2.482141482208e-13       3.818197268002e-17       1.583352393569e-10       1.629655136691e-11      -8.899834156981e-15 
   31       1.422677996845e-10       3.230787158728e-15       2.538686747384e-13       4.076090817519e-17       1.487055638175e-10       1.538607852178e-11      -1.447241972779e-14 
   32       1.444302266777e-10       3.610201453327e-15       2.584606704588e-13       4.342477192327e-17       1.398704958200e-10       1.455613074626e-11      -1.946184125207e-14 
   33       1.466234939468e-10       4.011444407481e-15       2.615954281159e-13       4.617359928008e-17       1.317678180681e-10       1.378940536131e-11      -2.306463250575e-14 
