# Matter power spectrum P(k) at redshift z=0
# for k=1.045e-05 to 1.48025 h/Mpc,
# number of wavenumbers equal to 614
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.045004331675e-05       5.001329309083e+01 
       2.333046840362e-05       1.087627454849e+02 
       3.625618775129e-05       1.665980015594e+02 
       4.926197626919e-05       2.240959882708e+02 
       6.238318401140e-05       2.815920225112e+02 
       7.565605135751e-05       3.393416537005e+02 
       8.911803427094e-05       3.975661808881e+02 
       1.028081439604e-04       4.564713935758e+02 
       1.167673053030e-04       5.162572545567e+02 
       1.310387384222e-04       5.771238298022e+02 
       1.456683678179e-04       6.392754636347e+02 
       1.607052633881e-04       7.029240766859e+02 
       1.762021175030e-04       7.682920176261e+02 
       1.922157619213e-04       8.356146985976e+02 
       2.088077276795e-04       9.051431435932e+02 
       2.260448500102e-04       9.771465225605e+02 
       2.439999186749e-04       1.051914707521e+03 
       2.627523716252e-04       1.129760858766e+03 
       2.823890263512e-04       1.211024022886e+03 
       3.030048383107e-04       1.296071695988e+03 
       3.247036690810e-04       1.385302272206e+03 
       3.475990379266e-04       1.479147257241e+03 
       3.718148189621e-04       1.578073077788e+03 
       3.974858317456e-04       1.682582259575e+03 
       4.247582559975e-04       1.793213680311e+03 
       4.537897817251e-04       1.910541532397e+03 
       4.847493857078e-04       2.035172560549e+03 
       5.178166066123e-04       2.167741083366e+03 
       5.531801780731e-04       2.308901282887e+03 
       5.910358777631e-04       2.459316276141e+03 
       6.315834681766e-04       2.619643595714e+03 
       6.750226495051e-04       2.790516930099e+03 
       7.215480230226e-04       2.972524327543e+03 
       7.713431765871e-04       3.166183546441e+03 
       8.245741455005e-04       3.371915803335e+03 
       8.813826538643e-04       3.590019745504e+03 
       9.418796738537e-04       3.820647937521e+03 
       1.006139916181e-03       4.063788359073e+03 
       1.074197850848e-03       4.319253242321e+03 
       1.146045735942e-03       4.586676973988e+03 
       1.221633913732e-03       4.865523796979e+03 
       1.300873356859e-03       5.155104830203e+03 
       1.383640171541e-03       5.454602733259e+03 
       1.469781548537e-03       5.763101446804e+03 
       1.480253419385e-03       5.800382025661e+03 
       1.559122536775e-03       6.079618046490e+03 
       1.651473009712e-03       6.403133918624e+03 
       1.746634282692e-03       6.732623082915e+03 
       1.844404984876e-03       7.067076305889e+03 
       1.944585952169e-03       7.405520408641e+03 
       2.046984056165e-03       7.747020178076e+03 
       2.151414999522e-03       8.090717732619e+03 
       2.257705184360e-03       8.435824147156e+03 
       2.365692800274e-03       8.781611915108e+03 
       2.475228290347e-03       9.127422012920e+03 
       2.586174346350e-03       9.472661864722e+03 
       2.698405566182e-03       9.816802106340e+03 
       2.811807884029e-03       1.015937260016e+04 
       2.926277860562e-03       1.049995799151e+04 
       3.041721899470e-03       1.083819302542e+04 
       3.158055438599e-03       1.117375783131e+04 
       3.275202149446e-03       1.150637336899e+04 
       3.393093167393e-03       1.183579715714e+04 
       3.511666366560e-03       1.216181933515e+04 
       3.630865686890e-03       1.248425902328e+04 
       3.750640516719e-03       1.280296100738e+04 
       3.870945131046e-03       1.311779277323e+04 
       3.991738183756e-03       1.342864189353e+04 
       4.112982250845e-03       1.373541374539e+04 
       4.234643421010e-03       1.403802951133e+04 
       4.356690929675e-03       1.433642441412e+04 
       4.479096832457e-03       1.463054616372e+04 
       4.601835714205e-03       1.492035359220e+04 
       4.724884429926e-03       1.520581550141e+04 
       4.848221874205e-03       1.548690987407e+04 
       4.971828775981e-03       1.576362217045e+04 
       5.095687515860e-03       1.603594491272e+04 
       5.219781963415e-03       1.630387683969e+04 
       5.344097332199e-03       1.656742042273e+04 
       5.468620050439e-03       1.682658574491e+04 
       5.593337645624e-03       1.708138677369e+04 
       5.718238641385e-03       1.733184037923e+04 
       5.843312465266e-03       1.757796656526e+04 
       5.968549366141e-03       1.781978802619e+04 
       6.093940340191e-03       1.805732976685e+04 
       6.219477064469e-03       1.829061877549e+04 
       6.345151837202e-03       1.851968375793e+04 
       6.470957524085e-03       1.874455491345e+04 
       6.596887509911e-03       1.896526375820e+04 
       6.722935654940e-03       1.918184297700e+04 
       6.849096255503e-03       1.939432630297e+04 
       6.975364008389e-03       1.960274840875e+04 
       7.101733978603e-03       1.980714481071e+04 
       7.228201570150e-03       2.000755177032e+04 
       7.354762499520e-03       2.020400619555e+04 
       7.481412771608e-03       2.039654553811e+04 
       7.608148657806e-03       2.058520768586e+04 
       7.734966676061e-03       2.077003085449e+04 
       7.861863572692e-03       2.095105347881e+04 
       7.988836305802e-03       2.112831411148e+04 
       8.115882030116e-03       2.130185132983e+04 
       8.242998083128e-03       2.147170365641e+04 
       8.370181972404e-03       2.163790949450e+04 
       8.497431363962e-03       2.180050708157e+04 
       8.624744071600e-03       2.195953445751e+04 
       8.752118047104e-03       2.211502944989e+04 
       8.879551371254e-03       2.226702967042e+04 
       9.007042245537e-03       2.241557252045e+04 
       9.134588984534e-03       2.256069520223e+04 
       9.262190008891e-03       2.270243473123e+04 
       9.389843838848e-03       2.284082794837e+04 
       9.517549088259e-03       2.297591152852e+04 
       9.645304459075e-03       2.310772198316e+04 
       9.773108736240e-03       2.323629565321e+04 
       9.900960782972e-03       2.336166869187e+04 
       1.002885953639e-02       2.348387703966e+04 
       1.015680400350e-02       2.360295639389e+04 
       1.028479325737e-02       2.371894217577e+04 
       1.041282643377e-02       2.383186949848e+04 
       1.054090272783e-02       2.394177313806e+04 
       1.066902139113e-02       2.404868751036e+04 
       1.079718172889e-02       2.415264665596e+04 
       1.092538309738e-02       2.425368423390e+04 
       1.105362490154e-02       2.435183352593e+04 
       1.118190659275e-02       2.444712744925e+04 
       1.131022766674e-02       2.453959857779e+04 
       1.143858766168e-02       2.462927916965e+04 
       1.156698615637e-02       2.471620119716e+04 
       1.169542276859e-02       2.480039637733e+04 
       1.182389715353e-02       2.488189619894e+04 
       1.195240900238e-02       2.496073170135e+04 
       1.208095804094e-02       2.503693432866e+04 
       1.220954402841e-02       2.511053503593e+04 
       1.233816675621e-02       2.518156441515e+04 
       1.246682604690e-02       2.525005289594e+04 
       1.259552175322e-02       2.531603070797e+04 
       1.272425375710e-02       2.537952783866e+04 
       1.285302196882e-02       2.544057399458e+04 
       1.298182632624e-02       2.549919856747e+04 
       1.311066679403e-02       2.555543060854e+04 
       1.323954336300e-02       2.560929881240e+04 
       1.336845604946e-02       2.566083151245e+04 
       1.349740489465e-02       2.571005668979e+04 
       1.362638996418e-02       2.575700199467e+04 
       1.375541134760e-02       2.580169477914e+04 
       1.388446915788e-02       2.584416213937e+04 
       1.401356353106e-02       2.588443096268e+04 
       1.414269462584e-02       2.592252797517e+04 
       1.427186262326e-02       2.595847978692e+04 
       1.440106772640e-02       2.599231292815e+04 
       1.453031016013e-02       2.602405387804e+04 
       1.465959017084e-02       2.605372908016e+04 
       1.478890802623e-02       2.608136494678e+04 
       1.480253419385e-02       2.608415878958e+04 
       1.491826401519e-02       2.610698787501e+04 
       1.504765844756e-02       2.613062427667e+04 
       1.517709165407e-02       2.615230061319e+04 
       1.530656398622e-02       2.617204346922e+04 
       1.543607581618e-02       2.618987944596e+04 
       1.556562753678e-02       2.620583426548e+04 
       1.569521956143e-02       2.621993110795e+04 
       1.582485232414e-02       2.623219055640e+04 
       1.595452627952e-02       2.624263364618e+04 
       1.608424190283e-02       2.625128382817e+04 
       1.621399968999e-02       2.625816586788e+04 
       1.634380015770e-02       2.626330444195e+04 
       1.647364384350e-02       2.626672369254e+04 
       1.660353130587e-02       2.626844727638e+04 
       1.673346312438e-02       2.626849849066e+04 
       1.686343989983e-02       2.626690036477e+04 
       1.699346225441e-02       2.626367570959e+04 
       1.712353083186e-02       2.625884714378e+04 
       1.725364629769e-02       2.625243710667e+04 
       1.738380933939e-02       2.624446786491e+04 
       1.751402066666e-02       2.623496151547e+04 
       1.764428101164e-02       2.622393998995e+04 
       1.777459112921e-02       2.621142505322e+04 
       1.790495179723e-02       2.619743830880e+04 
       1.803536381685e-02       2.618200119824e+04 
       1.816582801285e-02       2.616513500211e+04 
       1.829634523394e-02       2.614686084254e+04 
       1.842691635311e-02       2.612719968283e+04 
       1.855754226801e-02       2.610617232907e+04 
       1.868822390131e-02       2.608379943086e+04 
       1.881896220112e-02       2.606010148214e+04 
       1.894975814140e-02       2.603509882105e+04 
       1.908061272236e-02       2.600881163205e+04 
       1.921152697095e-02       2.598125994562e+04 
       1.934250194133e-02       2.595246363807e+04 
       1.947353871531e-02       2.592244243426e+04 
       1.960463840289e-02       2.589121590575e+04 
       1.973580214280e-02       2.585880347318e+04 
       1.986703110299e-02       2.582522440515e+04 
       1.999832648121e-02       2.579049781887e+04 
       2.012968950563e-02       2.575464268222e+04 
       2.026112143539e-02       2.571767781139e+04 
       2.039262356123e-02       2.567962187333e+04 
       2.052419720616e-02       2.564049338547e+04 
       2.065584372609e-02       2.560031071523e+04 
       2.078756451052e-02       2.555909208024e+04 
       2.091936098329e-02       2.551685554969e+04 
       2.105123460324e-02       2.547361904402e+04 
       2.118318686502e-02       2.542940033386e+04 
       2.131521929984e-02       2.538421704157e+04 
       2.144733347628e-02       2.533808664166e+04 
       2.157953100113e-02       2.529102645773e+04 
       2.171181352023e-02       2.524305366697e+04 
       2.184418271933e-02       2.519418529740e+04 
       2.197664032507e-02       2.514443822767e+04 
       2.210918810583e-02       2.509382918896e+04 
       2.224182787276e-02       2.504237476265e+04 
       2.237456148074e-02       2.499009138211e+04 
       2.250739082944e-02       2.493699532637e+04 
       2.264031786436e-02       2.488310274263e+04 
       2.277334457791e-02       2.482842961242e+04 
       2.290647301059e-02       2.477299177341e+04 
       2.303970525208e-02       2.471680491425e+04 
       2.317304344250e-02       2.465988457434e+04 
       2.330648977362e-02       2.460224614371e+04 
       2.344004649016e-02       2.454390486377e+04 
       2.357371589104e-02       2.448487582564e+04 
       2.370750033085e-02       2.442517396997e+04 
       2.384140222114e-02       2.436481408915e+04 
       2.397542403193e-02       2.430381082458e+04 
       2.410956829319e-02       2.424217866730e+04 
       2.424383759638e-02       2.417993195784e+04 
       2.437823459602e-02       2.411708488758e+04 
       2.451276201137e-02       2.405365149610e+04 
       2.464742262809e-02       2.398964567184e+04 
       2.478221930000e-02       2.392508115294e+04 
       2.491715495088e-02       2.385997152588e+04 
       2.505223257638e-02       2.379433022674e+04 
       2.518745524587e-02       2.372817053973e+04 
       2.532282610451e-02       2.366150559540e+04 
       2.545834837525e-02       2.359434837514e+04 
       2.559402536101e-02       2.352671170772e+04 
       2.572986044683e-02       2.345860826867e+04 
       2.586585710218e-02       2.339005058196e+04 
       2.600201888329e-02       2.332105101881e+04 
       2.613834943561e-02       2.325162179812e+04 
       2.627485249630e-02       2.318177498640e+04 
       2.641153189685e-02       2.311152249499e+04 
       2.654839156578e-02       2.304087608393e+04 
       2.668543553140e-02       2.296984736063e+04 
       2.682266792475e-02       2.289844777714e+04 
       2.696009298257e-02       2.282668863382e+04 
       2.709771505038e-02       2.275458107600e+04 
       2.723553858573e-02       2.268213609507e+04 
       2.737356816151e-02       2.260936452917e+04 
       2.751180846938e-02       2.253627706271e+04 
       2.765026432342e-02       2.246288422432e+04 
       2.778894066377e-02       2.238919638851e+04 
       2.792784256051e-02       2.231522377691e+04 
       2.806697521767e-02       2.224097645456e+04 
       2.820634397735e-02       2.216646433244e+04 
       2.834595432407e-02       2.209169716650e+04 
       2.848581188919e-02       2.201668455697e+04 
       2.862592245562e-02       2.194143595018e+04 
       2.876629196259e-02       2.186596063609e+04 
       2.890692651072e-02       2.179026774827e+04 
       2.904783236721e-02       2.171436626638e+04 
       2.918901597129e-02       2.163826501315e+04 
       2.933048393986e-02       2.156197265499e+04 
       2.947224307335e-02       2.148549770314e+04 
       2.961430036189e-02       2.140884851236e+04 
       2.975666299165e-02       2.133203327939e+04 
       2.989933835149e-02       2.125506004512e+04 
       3.004233403987e-02       2.117793669454e+04 
       3.018565787208e-02       2.110067095468e+04 
       3.032931788777e-02       2.102327039354e+04 
       3.047332235878e-02       2.094574242353e+04 
       3.061767979734e-02       2.086809429955e+04 
       3.076239896463e-02       2.079033311588e+04 
       3.090748887969e-02       2.071246581037e+04 
       3.105295882877e-02       2.063449916174e+04 
       3.119881837507e-02       2.055643978911e+04 
       3.134507736896e-02       2.047829415160e+04 
       3.149174595859e-02       2.040006854956e+04 
       3.163883460111e-02       2.032176912384e+04 
       3.178635407432e-02       2.024340185155e+04 
       3.193431548892e-02       2.016497255050e+04 
       3.208273030131e-02       2.008648687711e+04 
       3.223161032705e-02       2.000795032526e+04 
       3.238096775491e-02       1.992936822469e+04 
       3.253081516172e-02       1.985074574287e+04 
       3.268116552782e-02       1.977208788281e+04 
       3.283203225340e-02       1.969339948157e+04 
       3.298342917556e-02       1.961468521186e+04 
       3.313537058640e-02       1.953594957850e+04 
       3.328787125184e-02       1.945719691801e+04 
       3.344094643159e-02       1.937843140212e+04 
       3.359461190010e-02       1.929965702897e+04 
       3.374888396864e-02       1.922087762751e+04 
       3.390377950855e-02       1.914209685420e+04 
       3.405931597578e-02       1.906331819200e+04 
       3.421551143677e-02       1.898454494968e+04 
       3.437238459580e-02       1.890578025952e+04 
       3.452995482381e-02       1.882702707497e+04 
       3.468824218889e-02       1.874828817120e+04 
       3.484726748860e-02       1.866956614233e+04 
       3.500705228402e-02       1.859086339587e+04 
       3.516761893595e-02       1.851218215661e+04 
       3.532899064313e-02       1.843352445989e+04 
       3.549119148290e-02       1.835489215209e+04 
       3.565424645422e-02       1.827628688403e+04 
       3.581818152343e-02       1.819771011293e+04 
       3.598302367278e-02       1.811916309585e+04 
       3.614880095209e-02       1.804064688704e+04 
       3.631554253372e-02       1.796216233696e+04 
       3.648327877104e-02       1.788371008321e+04 
       3.665204126080e-02       1.780529055220e+04 
       3.682186290959e-02       1.772690395397e+04 
       3.699277800483e-02       1.764855027291e+04 
       3.716482229052e-02       1.757022926702e+04 
       3.733803304832e-02       1.749194046217e+04 
       3.751244918421e-02       1.741368314471e+04 
       3.768811132141e-02       1.733545635781e+04 
       3.786506189987e-02       1.725725889258e+04 
       3.804334528309e-02       1.717908928010e+04 
       3.822300787285e-02       1.710094578726e+04 
       3.840409823252e-02       1.702282640713e+04 
       3.858666721978e-02       1.694472884827e+04 
       3.877076812957e-02       1.686665052638e+04 
       3.895645684833e-02       1.678858855589e+04 
       3.914379202038e-02       1.671053973492e+04 
       3.933283522796e-02       1.663250053779e+04 
       3.952365118580e-02       1.655446709419e+04 
       3.971630795218e-02       1.647643518710e+04 
       3.991087715769e-02       1.639840022898e+04 
       4.010743425376e-02       1.632035724391e+04 
       4.030605878299e-02       1.624230085639e+04 
       4.050683467346e-02       1.616422526758e+04 
       4.070985055981e-02       1.608612423348e+04 
       4.091520013378e-02       1.600799104345e+04 
       4.112298252765e-02       1.592981849661e+04 
       4.133330273433e-02       1.585159886963e+04 
       4.154627206816e-02       1.577332388853e+04 
       4.176200867135e-02       1.569498469866e+04 
       4.198063807149e-02       1.561657182319e+04 
       4.220229379626e-02       1.553807512754e+04 
       4.242711805256e-02       1.545948377297e+04 
       4.265526247817e-02       1.538078616561e+04 
