# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3100, i.e. number of multipoles equal to 3099
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.467157516092e-10       7.112525091229e-15       4.705689885732e-13       0.000000000000e+00       8.451290622430e-09       4.792851330397e-10      -2.450351699303e-12 
    3       1.381989047789e-10       1.205867853541e-14       5.929603979269e-13       0.000000000000e+00       5.296067563531e-09       3.423123882101e-10      -2.157318543026e-12 
    4       1.297695022929e-10       1.407142899703e-14       6.124963096298e-13       0.000000000000e+00       3.695358345709e-09       2.602083844060e-10      -1.722268694265e-12 
    5       1.230571102387e-10       1.299280852798e-14       5.724628591411e-13       0.000000000000e+00       2.761033243615e-09       2.060276821158e-10      -1.278725589796e-12 
    6       1.181714243903e-10       9.993950850215e-15       5.022809619407e-13       0.000000000000e+00       2.157188561914e-09       1.678122066350e-10      -8.734435710277e-13 
    7       1.148442713339e-10       6.584943652879e-15       4.219153819757e-13       0.000000000000e+00       1.739038269228e-09       1.396258814447e-10      -5.306428667209e-13 
    8       1.125267704681e-10       3.849226484290e-15       3.435284495106e-13       0.000000000000e+00       1.435616282653e-09       1.181116031983e-10      -2.611160503827e-13 
    9       1.110580055751e-10       2.186451955868e-15       2.740402713209e-13       0.000000000000e+00       1.208075836068e-09       1.012740571702e-10      -6.657120632854e-14 
   10       1.104533598527e-10       1.445283155992e-15       2.176624680813e-13       0.000000000000e+00       1.032783745517e-09       8.791914940180e-11       5.816699750156e-14 
   11       1.103659935440e-10       1.230233437866e-15       1.761892307304e-13       0.000000000000e+00       8.689614551877e-10       7.740244292382e-11       1.223628546795e-13 
   12       1.106488712693e-10       1.178487023452e-15       1.490269403461e-13       0.000000000000e+00       7.594146279530e-10       6.851774657728e-11       1.406486951867e-13 
   13       1.112658432357e-10       1.096506544192e-15       1.346401795869e-13       0.000000000000e+00       6.692603419095e-10       6.112484463811e-11       1.262854526518e-13 
   14       1.120870934506e-10       9.560088015383e-16       1.307256216240e-13       0.000000000000e+00       5.943402933545e-10       5.478014068245e-11       9.181328738859e-14 
   15       1.130796440463e-10       8.144677327644e-16       1.340056345911e-13       0.000000000000e+00       5.312779049478e-10       4.947773125685e-11       4.949411352240e-14 
   16       1.143599392907e-10       7.310366459967e-16       1.414871703750e-13       0.000000000000e+00       4.776640001739e-10       4.501188433919e-11       8.105398168427e-15 
   17       1.157823148195e-10       7.210384728373e-16       1.510244728092e-13       0.000000000000e+00       4.316690652034e-10       4.117240393335e-11      -2.611188408549e-14 
   18       1.172301701405e-10       7.562158065509e-16       1.605062471927e-13       0.000000000000e+00       3.917176027568e-10       3.772332863679e-11      -4.978077904490e-14 
   19       1.187668275115e-10       8.054951228181e-16       1.690532413580e-13       0.000000000000e+00       3.572114899358e-10       3.465082780734e-11      -6.202752397910e-14 
   20       1.204412729925e-10       8.379808773316e-16       1.761786915345e-13       0.000000000000e+00       3.268647532953e-10       3.194381899878e-11      -6.361235278187e-14 
   21       1.222102425671e-10       8.567028469774e-16       1.818479548839e-13       0.000000000000e+00       3.001592865333e-10       2.956528603480e-11      -5.671028520451e-14 
   22       1.239781823255e-10       8.790984726073e-16       1.863056629761e-13       0.000000000000e+00       2.763949391464e-10       2.742956068585e-11      -4.473063803632e-14 
   23       1.257907145296e-10       9.243322328541e-16       1.901441080857e-13       0.000000000000e+00       2.552851384157e-10       2.550162365690e-11      -3.060956799947e-14 
   24       1.277097286086e-10       1.010884992280e-15       1.941023391549e-13       0.000000000000e+00       2.364079166482e-10       2.374193129195e-11      -1.739118216468e-14 
   25       1.297072246937e-10       1.138729495879e-15       1.985147241367e-13       0.000000000000e+00       2.195159923435e-10       2.214525507427e-11      -6.820479530638e-15 
   26       1.317137888002e-10       1.300416318936e-15       2.035796402211e-13       0.000000000000e+00       2.042530314078e-10       2.070252000683e-11      -1.119068616139e-16 
   27       1.337230670186e-10       1.489722256143e-15       2.094241788612e-13       0.000000000000e+00       1.904419967256e-10       1.940525125043e-11       2.630483787333e-15 
   28       1.357414558429e-10       1.700610941077e-15       2.160678634878e-13       0.000000000000e+00       1.778676447426e-10       1.823473785276e-11       1.853965868294e-15 
   29       1.377920131774e-10       1.932472550196e-15       2.232076919715e-13       0.000000000000e+00       1.664686978290e-10       1.717811678016e-11      -1.699725789293e-15 
   30       1.398946684284e-10       2.186253183080e-15       2.303329628603e-13       0.000000000000e+00       1.561189766673e-10       1.621148913095e-11      -6.931330397218e-15 
   31       1.420567631665e-10       2.462317651383e-15       2.368503016213e-13       0.000000000000e+00       1.466033726399e-10       1.530344019221e-11      -1.252730224963e-14 
   32       1.442707009785e-10       2.758595910346e-15       2.423713446010e-13       0.000000000000e+00       1.378724748961e-10       1.445422464810e-11      -1.759311484923e-14 
