# Matter power spectrum P(k) at redshift z=3
# for k=1.04489e-05 to 1.48025 h/Mpc,
# number of wavenumbers equal to 610
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.044889052359e-05       5.000347697771e+00 
       2.353250953764e-05       1.096641487103e+01 
       3.666314006555e-05       1.683925438354e+01 
       4.987723299491e-05       2.267854018499e+01 
       6.321185692224e-05       2.851899697090e+01 
       7.670503912403e-05       3.438717692737e+01 
       9.039611770381e-05       4.030615257402e+01 
       1.043261097374e-04       4.629744859583e+01 
       1.185381002745e-04       5.238204329697e+01 
       1.330776570895e-04       5.858098591860e+01 
       1.479932760733e-04       6.491583521417e+01 
       1.633368620803e-04       7.140900942012e+01 
       1.791642498150e-04       7.808409189672e+01 
       1.955357688902e-04       8.496611605768e+01 
       2.125168563774e-04       9.208184282387e+01 
       2.301787188573e-04       9.946003795060e+01 
       2.485990439444e-04       1.071317526833e+02 
       2.678627582543e-04       1.151306080755e+02 
       2.880628244570e-04       1.234930802789e+02 
       3.093010640367e-04       1.322587807524e+02 
       3.316889841928e-04       1.414707213198e+02 
       3.553485765101e-04       1.511755490761e+02 
       3.804130411803e-04       1.614237301494e+02 
       4.070273734470e-04       1.722696541990e+02 
       4.353487287423e-04       1.837716234514e+02 
       4.655464605495e-04       1.959916815245e+02 
       4.978017023537e-04       2.089952298760e+02 
       5.323063456404e-04       2.228503696442e+02 
       5.692612552811e-04       2.376269179589e+02 
       6.088735693042e-04       2.533950338444e+02 
       6.513529610182e-04       2.702234273575e+02 
       6.969068065831e-04       2.881771486010e+02 
       7.457343061515e-04       3.073149917729e+02 
       7.980197499894e-04       3.276866792110e+02 
       8.539252891866e-04       3.493274442383e+02 
       9.135837361310e-04       3.723307341628e+02 
       9.770920433690e-04       3.966094838700e+02 
       1.044506148145e-03       4.222422079188e+02 
       1.115837792523e-03       4.490533340459e+02 
       1.191053730816e-03       4.771029169559e+02 
       1.270077447111e-03       5.062741058718e+02 
       1.352793185880e-03       5.364174461479e+02 
       1.439051819053e-03       5.676195936928e+02 
       1.480253419385e-03       5.824199783547e+02 
       1.528677892303e-03       5.996605319179e+02 
       1.621477138786e-03       6.324684634416e+02 
       1.717243811918e-03       6.658939276601e+02 
       1.815767334085e-03       6.998719081259e+02 
       1.916837939627e-03       7.342864611682e+02 
       2.020251166527e-03       7.690040040472e+02 
       2.125811194932e-03       8.039492086384e+02 
       2.233333130157e-03       8.390599575628e+02 
       2.342644384183e-03       8.742188311169e+02 
       2.453585330734e-03       9.093854412451e+02 
       2.566009405558e-03       9.445198096312e+02 
       2.679782805383e-03       9.794794458528e+02 
       2.794783914183e-03       1.014294080408e+03 
       2.910902559091e-03       1.048884282782e+03 
       3.028039173947e-03       1.083221937060e+03 
       3.146103927439e-03       1.117259155026e+03 
       3.265015855713e-03       1.150986479125e+03 
       3.384702025985e-03       1.184361199237e+03 
       3.505096747661e-03       1.217372121466e+03 
       3.626140840121e-03       1.249989871230e+03 
       3.747780961175e-03       1.282222236780e+03 
       3.869968996660e-03       1.314019509230e+03 
       3.992661509351e-03       1.345402475037e+03 
       4.115819243951e-03       1.376358719469e+03 
       4.239406684125e-03       1.406864894270e+03 
       4.363391657207e-03       1.436926511647e+03 
       4.487744982145e-03       1.466533447336e+03 
       4.612440156351e-03       1.495785307288e+03 
       4.737453077391e-03       1.524553109540e+03 
       4.862761795728e-03       1.543407578490e+03 
       4.988346295053e-03       1.579525127790e+03 
       5.114188297089e-03       1.596009811342e+03 
       5.240271088046e-03       1.628382157288e+03 
       5.366579364242e-03       1.652786827031e+03 
       5.493099094648e-03       1.683053050566e+03 
       5.619817398398e-03       1.702630945743e+03 
       5.746722435519e-03       1.729937749403e+03 
       5.873803309356e-03       1.753412558723e+03 
       6.001049979330e-03       1.779515015967e+03 
       6.128453182850e-03       1.804477751404e+03 
       6.256004365325e-03       1.824652474562e+03 
       6.383695617370e-03       1.848356851178e+03 
       6.511519618380e-03       1.869870434698e+03 
       6.639469585775e-03       1.892629675638e+03 
       6.767539229277e-03       1.912437486659e+03 
       6.895722709677e-03       1.934057607715e+03 
       7.024014601598e-03       1.955212474753e+03 
       7.152409859825e-03       1.975004819399e+03 
       7.280903788828e-03       1.995149574882e+03 
       7.409492015128e-03       2.014854928503e+03 
       7.538170462234e-03       2.032931366375e+03 
       7.666935327852e-03       2.051756616856e+03 
       7.795783063170e-03       2.070148942664e+03 
       7.924710353980e-03       2.087738269920e+03 
       8.053714103474e-03       2.105260916749e+03 
       8.182791416538e-03       2.122434351404e+03 
       8.311939585401e-03       2.138661993681e+03 
       8.441156076505e-03       2.155045972085e+03 
       8.570438518491e-03       2.171063459328e+03 
       8.699784691180e-03       2.186492198707e+03 
       8.829192515461e-03       2.201737405622e+03 
       8.958660044017e-03       2.216647354083e+03 
       9.088185452787e-03       2.230912027209e+03 
       9.217767033115e-03       2.245103202863e+03 
       9.347403184528e-03       2.258943598046e+03 
       9.477092408070e-03       2.272440981711e+03 
       9.606833300159e-03       2.285506392386e+03 
       9.736624546915e-03       2.298329287182e+03 
       9.866464918924e-03       2.310824004493e+03 
       9.996353266393e-03       2.322856980708e+03 
       1.012628851467e-02       2.334705723556e+03 
       1.025626966009e-02       2.346233385219e+03 
       1.038629576617e-02       2.357450043991e+03 
       1.051636595998e-02       2.368306603367e+03 
       1.064647942892e-02       2.378912980307e+03 
       1.077663541760e-02       2.389209911826e+03 
       1.090683322505e-02       2.399211516447e+03 
       1.103707220203e-02       2.408848168564e+03 
       1.116735174860e-02       2.418263866405e+03 
       1.129767131185e-02       2.427392320279e+03 
       1.142803038380e-02       2.436237112714e+03 
       1.155842849938e-02       2.444802063927e+03 
       1.168886523465e-02       2.453070032562e+03 
       1.181934020508e-02       2.461085994945e+03 
       1.194985306396e-02       2.468832347151e+03 
       1.208040350095e-02       2.476312948689e+03 
       1.221099124069e-02       2.483495697556e+03 
       1.234161604156e-02       2.490454385110e+03 
       1.247227769444e-02       2.497157281505e+03 
       1.260297602170e-02       2.503606515618e+03 
       1.273371087609e-02       2.509806526243e+03 
       1.286448213986e-02       2.515747006138e+03 
       1.299528972386e-02       2.521457886477e+03 
       1.312613356672e-02       2.526927349740e+03 
       1.325701363410e-02       2.532159712150e+03 
       1.338792991803e-02       2.537159421049e+03 
       1.351888243622e-02       2.541906429104e+03 
       1.364987123149e-02       2.546444910362e+03 
       1.378089637123e-02       2.550758085108e+03 
       1.391195794692e-02       2.554849070266e+03 
       1.404305607364e-02       2.558719506807e+03 
       1.417419088966e-02       2.562365481797e+03 
       1.430536255611e-02       2.565804794532e+03 
       1.443657125657e-02       2.569031488931e+03 
       1.456781719683e-02       2.572049900526e+03 
       1.469910060457e-02       2.574860626899e+03 
       1.480253419385e-02       2.576930876213e+03 
       1.483042172913e-02       2.577467614950e+03 
       1.496178084132e-02       2.579862424206e+03 
       1.509317823322e-02       2.582070267017e+03 
       1.522461421802e-02       2.584081809273e+03 
       1.535608912989e-02       2.585901123184e+03 
       1.548760332391e-02       2.587528910913e+03 
       1.561915717594e-02       2.588969330736e+03 
       1.575075108259e-02       2.590218977312e+03 
       1.588238546119e-02       2.591289253758e+03 
       1.601406074977e-02       2.592178526027e+03 
       1.614577740709e-02       2.592887745783e+03 
       1.627753591264e-02       2.593420870073e+03 
       1.640933676669e-02       2.593779941870e+03 
       1.654118049039e-02       2.593958732273e+03 
       1.667306762585e-02       2.593976812660e+03 
       1.680499873624e-02       2.593827131794e+03 
       1.693697440591e-02       2.593513421493e+03 
       1.706899524054e-02       2.593036345539e+03 
       1.720106186732e-02       2.592399775686e+03 
       1.733317493511e-02       2.591605386404e+03 
       1.746533511464e-02       2.590651402324e+03 
       1.759754309872e-02       2.589547690000e+03 
       1.772979960250e-02       2.588292458575e+03 
       1.786210536367e-02       2.586888297188e+03 
       1.799446114277e-02       2.585336727593e+03 
       1.812686772345e-02       2.583641565133e+03 
       1.825932591276e-02       2.581797754057e+03 
       1.839183654148e-02       2.579819743690e+03 
       1.852440046446e-02       2.577703408072e+03 
       1.865701856095e-02       2.575451427881e+03 
       1.878969173496e-02       2.573065207479e+03 
       1.892242091567e-02       2.570547695567e+03 
       1.905520705781e-02       2.567900044008e+03 
       1.918805114207e-02       2.565123922616e+03 
       1.932095417555e-02       2.562220755226e+03 
       1.945391719221e-02       2.559196955367e+03 
       1.958694125334e-02       2.556051333943e+03 
       1.972002744802e-02       2.552786749825e+03 
       1.985317689368e-02       2.549404190401e+03 
       1.998639073657e-02       2.545906540852e+03 
       2.011967015233e-02       2.542295058770e+03 
       2.025301634657e-02       2.538566538125e+03 
       2.038643055542e-02       2.534733858302e+03 
       2.051991404612e-02       2.530794075530e+03 
       2.065346811772e-02       2.526747626170e+03 
       2.078709410163e-02       2.522596777544e+03 
       2.092079336235e-02       2.518343869724e+03 
       2.105456729814e-02       2.513990401372e+03 
       2.118841734170e-02       2.509538272041e+03 
       2.132234496095e-02       2.504989108114e+03 
       2.145635165977e-02       2.500342933996e+03 
       2.159043897876e-02       2.495605148233e+03 
       2.172460849607e-02       2.490775811656e+03 
       2.185886182823e-02       2.485856398660e+03 
       2.199320063098e-02       2.480848514156e+03 
       2.212762660018e-02       2.475754148487e+03 
       2.226214147275e-02       2.470574737190e+03 
       2.239674702752e-02       2.465311731292e+03 
