# Matter power spectrum P(k) at redshift z=3
# for k=1.04489e-05 to 1.48025 h/Mpc,
# number of wavenumbers equal to 610
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.044889052359e-05       4.980287999009e+00 
       2.353250953764e-05       1.092242360364e+01 
       3.666314006555e-05       1.677171068531e+01 
       4.987723299491e-05       2.258758667683e+01 
       6.321185692224e-05       2.840464000588e+01 
       7.670503912403e-05       3.424931962920e+01 
       9.039611770381e-05       4.014460914697e+01 
       1.043261097374e-04       4.611195099334e+01 
       1.185381002745e-04       5.217224399766e+01 
       1.330776570895e-04       5.834645837224e+01 
       1.479932760733e-04       6.465607270293e+01 
       1.633368620803e-04       7.112342272643e+01 
       1.791642498150e-04       7.777200600082e+01 
       1.955357688902e-04       8.462676600503e+01 
       2.125168563774e-04       9.171436886415e+01 
       2.301787188573e-04       9.906348003853e+01 
       2.485990439444e-04       1.067050444404e+02 
       2.678627582543e-04       1.146725703386e+02 
       2.880628244570e-04       1.230024144071e+02 
       3.093010640367e-04       1.317340619312e+02 
       3.316889841928e-04       1.409103921918e+02 
       3.553485765101e-04       1.505779141545e+02 
       3.804130411803e-04       1.607869516235e+02 
       4.070273734470e-04       1.715917499419e+02 
       4.353487287423e-04       1.830504682778e+02 
       4.655464605495e-04       1.952250130261e+02 
       4.978017023537e-04       2.081806607350e+02 
       5.323063456404e-04       2.219854070675e+02 
       5.692612552811e-04       2.367089950365e+02 
       6.088735693042e-04       2.524215527332e+02 
       6.513529610182e-04       2.691918179951e+02 
       6.969068065831e-04       2.870849426338e+02 
       7.457343061515e-04       3.061599246606e+02 
       7.980197499894e-04       3.264667954370e+02 
       8.539252891866e-04       3.480453270451e+02 
       9.135837361310e-04       3.709107486203e+02 
       9.770920433690e-04       3.950839265448e+02 
       1.044506148145e-03       4.205043815542e+02 
       1.115837792523e-03       4.472246171972e+02 
       1.191053730816e-03       4.751102505709e+02 
       1.270077447111e-03       5.041785363347e+02 
       1.352793185880e-03       5.342647444573e+02 
       1.439051819053e-03       5.653511281443e+02 
       1.480253419385e-03       5.800719275791e+02 
       1.528677892303e-03       5.972870911160e+02 
       1.621477138786e-03       6.299842411212e+02 
       1.717243811918e-03       6.633177559698e+02 
       1.815767334085e-03       6.971971670733e+02 
       1.916837939627e-03       7.315238422879e+02 
       2.020251166527e-03       7.661739686526e+02 
       2.125811194932e-03       8.010592205155e+02 
       2.233333130157e-03       8.360803843151e+02 
       2.342644384183e-03       8.712025119035e+02 
       2.453585330734e-03       9.063145290153e+02 
       2.566009405558e-03       9.413755044250e+02 
       2.679782805383e-03       9.763171369488e+02 
       2.794783914183e-03       1.011084317529e+03 
       2.910902559091e-03       1.045645689198e+03 
       3.028039173947e-03       1.079958063512e+03 
       3.146103927439e-03       1.113979234680e+03 
       3.265015855713e-03       1.147684627430e+03 
       3.384702025985e-03       1.181042664136e+03 
       3.505096747661e-03       1.214049750190e+03 
       3.626140840121e-03       1.246675783446e+03 
       3.747780961175e-03       1.278897598089e+03 
       3.869968996660e-03       1.310711271281e+03 
       3.992661509351e-03       1.342109050151e+03 
       4.115819243951e-03       1.373074484473e+03 
       4.239406684125e-03       1.403606915346e+03 
       4.363391657207e-03       1.433687751149e+03 
       4.487744982145e-03       1.463320850825e+03 
       4.612440156351e-03       1.492499972270e+03 
       4.737453077391e-03       1.521236092272e+03 
       4.862761795728e-03       1.549509284949e+03 
       4.988346295053e-03       1.576837667124e+03 
       5.114188297089e-03       1.605794462234e+03 
       5.240271088046e-03       1.631462372058e+03 
       5.366579364242e-03       1.658532106395e+03 
       5.493099094648e-03       1.682746441087e+03 
       5.619817398398e-03       1.711243106892e+03 
       5.746722435519e-03       1.734888287328e+03 
       5.873803309356e-03       1.760336098985e+03 
       6.001049979330e-03       1.782824577238e+03 
       6.128453182850e-03       1.805294386691e+03 
       6.256004365325e-03       1.831470329587e+03 
       6.383695617370e-03       1.853161699842e+03 
       6.511519618380e-03       1.876600261053e+03 
       6.639469585775e-03       1.897303024375e+03 
