# Matter power spectrum P(k) at redshift z=0
# for k=1.04401e-05 to 1.48025 h/Mpc,
# number of wavenumbers equal to 610
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.044009177906e-05       5.017825728572e+01 
       2.351670044935e-05       1.100653262663e+02 
       3.664023640594e-05       1.690155053899e+02 
       4.984709169325e-05       2.276273337371e+02 
       6.317427433263e-05       2.862489281445e+02 
       7.665974837288e-05       3.451462429119e+02 
       9.034278507427e-05       4.045502405703e+02 
       1.042643300301e-04       4.646763956186e+02 
       1.184673910662e-04       5.257125645130e+02 
       1.329974517928e-04       5.879103081247e+02 
       1.479029156839e-04       6.514657507290e+02 
       1.632355854798e-04       7.166216804902e+02 
       1.790511824837e-04       7.835775688036e+02 
       1.954099098730e-04       8.526003201582e+02 
       2.123770633381e-04       9.239454219660e+02 
       2.300236910631e-04       9.979211738421e+02 
       2.484273030391e-04       1.074826620305e+03 
       2.676726267163e-04       1.155085774183e+03 
       2.878524017089e-04       1.238896107470e+03 
       3.090682002806e-04       1.326723535698e+03 
       3.314312522111e-04       1.419035742097e+03 
       3.550632419066e-04       1.516291445070e+03 
       3.800970318608e-04       1.618896819061e+03 
       4.066772495679e-04       1.727241672524e+03 
       4.349606548944e-04       1.842322530891e+03 
       4.651161825988e-04       1.964547591747e+03 
       4.973245320832e-04       2.094628543773e+03 
       5.317771570782e-04       2.233506134259e+03 
       5.686744972129e-04       2.381149422601e+03 
       6.082232987923e-04       2.538629331161e+03 
       6.506329025133e-04       2.706330959805e+03 
       6.961104401740e-04       2.885617932553e+03 
       7.448549864116e-04       3.076646894387e+03 
       7.970508536835e-04       3.279923788501e+03 
       8.528603860056e-04       3.495277561437e+03 
       9.124167721928e-04       3.723679190210e+03 
       9.758175233792e-04       3.965545187710e+03 
       1.043119299923e-03       4.220313425446e+03 
       1.114334697960e-03       4.487516102359e+03 
       1.189431410554e-03       4.766520955894e+03 
       1.268333891910e-03       5.057211316721e+03 
       1.350927334461e-03       5.358273841123e+03 
       1.437063488801e-03       5.669110998351e+03 
       1.480253419385e-03       5.823585594389e+03 
       1.526567674019e-03       5.988578237865e+03 
       1.619246269118e-03       6.315571246769e+03 
       1.714894036975e-03       6.649005281633e+03 
       1.813300775774e-03       6.987844761629e+03 
       1.914256973178e-03       7.330953692776e+03 
       2.017558314408e-03       7.677438837872e+03 
       2.123009039408e-03       8.026299042677e+03 
       2.230424244545e-03       8.376591839481e+03 
       2.339631281331e-03       8.727546422209e+03 
       2.450470426462e-03       9.078569184714e+03 
       2.562794994472e-03       9.428935501168e+03 
       2.676471046530e-03       9.772996549938e+03 
       2.791376824221e-03       1.014348991972e+04 
       2.907402011034e-03       1.046982515684e+04 
       3.024446899857e-03       1.083268806513e+04 
       3.142421523789e-03       1.114884335673e+04 
       3.261244790452e-03       1.152561267222e+04 
       3.380843646575e-03       1.184520436877e+04 
       3.501152289546e-03       1.210723141208e+04 
       3.622111435269e-03       1.247688353340e+04 
       3.743667646422e-03       1.279385682636e+04 
       3.865772721702e-03       1.316129555379e+04 
       3.988383144275e-03       1.342359771913e+04 
       4.111459586259e-03       1.373835474584e+04 
       4.234966465223e-03       1.408497761281e+04 
       4.358871548368e-03       1.435067306430e+04 
       4.483145599953e-03       1.465196562286e+04 
       4.607762067663e-03       1.497820213941e+04 
       4.732696803840e-03       1.523812336253e+04 
       4.857927817806e-03       1.552576889953e+04 
       4.983435055801e-03       1.578121240069e+04 
       5.109200205437e-03       1.608532715340e+04 
       5.235206521831e-03       1.633627994126e+04 
       5.361438672932e-03       1.660680277358e+04 
       5.487882601802e-03       1.684982957586e+04 
       5.614525403892e-03       1.712802736099e+04 
       5.741355217555e-03       1.736806502371e+04 
       5.868361126280e-03       1.761885950794e+04 
       5.995533071274e-03       1.784979690988e+04 
       6.122861773223e-03       1.810407784233e+04 
       6.250338662163e-03       1.832809100201e+04 
       6.377955814558e-03       1.855006702726e+04 
       6.505705896765e-03       1.877881110348e+04 
       6.633582114173e-03       1.899195118873e+04 
       6.761578165393e-03       1.921963925391e+04 
       6.889688200939e-03       1.942576494344e+04 
       7.017906785920e-03       1.962779934235e+04 
       7.146228866300e-03       1.983383377240e+04 
       7.274649738364e-03       2.002875647998e+04 
       7.403165021027e-03       2.021977232200e+04 
       7.531770630721e-03       2.041940380298e+04 
       7.660462758563e-03       2.060293187594e+04 
       7.789237849595e-03       2.078286119358e+04 
       7.918092583871e-03       2.096382552774e+04 
       8.047023859224e-03       2.113697176794e+04 
       8.176028775521e-03       2.130584967163e+04 
       8.305104620290e-03       2.147890867526e+04 
       8.434248855568e-03       2.164071332563e+04 
       8.563459105856e-03       2.179874797183e+04 
       8.692733147083e-03       2.195677388145e+04 
       8.822068896480e-03       2.210826710213e+04 
       8.951464403277e-03       2.225582705466e+04 
       9.080917840160e-03       2.240544914757e+04 
       9.210427495401e-03       2.254628372393e+04 
       9.339991765621e-03       2.268383508441e+04 
       9.469609149113e-03       2.281802099283e+04 
       9.599278239690e-03       2.295098245876e+04 
       9.728997721000e-03       2.307866057737e+04 
       9.858766361279e-03       2.320306192267e+04 
       9.988583008499e-03       2.332775560649e+04 
       1.011844658588e-02       2.344576635818e+04 
       1.024835608774e-02       2.356072150658e+04 
       1.037831057564e-02       2.367252880727e+04 
       1.050830917483e-02       2.378276526454e+04 
       1.063835107091e-02       2.388832363959e+04 
       1.076843550682e-02       2.399113831401e+04 
       1.089856177995e-02       2.409089058002e+04 
       1.102872923949e-02       2.419011684673e+04 
       1.115893728401e-02       2.428410294091e+04 
       1.128918535916e-02       2.437524760674e+04 
       1.141947295556e-02       2.446358046936e+04 
       1.154979960679e-02       2.454909896355e+04 
       1.168016488761e-02       2.463269155152e+04 
       1.181056841222e-02       2.471273708767e+04 
       1.194100983272e-02       2.479009083912e+04 
       1.207148883756e-02       2.486480364434e+04 
       1.220200515023e-02       2.493838694307e+04 
       1.233255852800e-02       2.500784144823e+04 
       1.246314876066e-02       2.507471883415e+04 
       1.259377566951e-02       2.513910796172e+04 
       1.272443910626e-02       2.520097744339e+04 
       1.285513895215e-02       2.526098699930e+04 
       1.298587511702e-02       2.531793305808e+04 
       1.311664753853e-02       2.537251828489e+04 
       1.324745618139e-02       2.542472381584e+04 
       1.337830103667e-02       2.547448473858e+04 
       1.350918212116e-02       2.552301987608e+04 
       1.364009947677e-02       2.556825938573e+04 
       1.377105316998e-02       2.561121759668e+04 
       1.390204329137e-02       2.565194383104e+04 
       1.403306995515e-02       2.569046115157e+04 
       1.416413329871e-02       2.572723767655e+04 
       1.429523348230e-02       2.576136976142e+04 
