# Matter power spectrum P(k) at redshift z=3
# for k=1.04358e-05 to 1.48025 h/Mpc,
# number of wavenumbers equal to 610
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.043580880200e-05       4.993568416444e+00 
       2.351240772590e-05       1.095576517268e+01 
       3.663592206814e-05       1.682472083935e+01 
       4.984274372373e-05       2.266007931735e+01 
       6.316988045435e-05       2.849653164166e+01 
       7.665529593602e-05       3.436059658568e+01 
       9.033826093860e-05       4.027531281645e+01 
       1.042597204413e-04       4.626216990629e+01 
       1.184626815246e-04       5.234210904573e+01 
       1.329926269127e-04       5.853613966460e+01 
       1.478979590422e-04       6.486577731528e+01 
       1.632304794522e-04       7.135339292788e+01 
       1.790459080669e-04       7.802251769304e+01 
       1.954044464919e-04       8.489812717770e+01 
       2.123713886372e-04       9.200691790186e+01 
       2.300177806812e-04       9.937758372305e+01 
       2.484211303680e-04       1.070410954881e+02 
       2.676661626454e-04       1.150309842994e+02 
       2.878456143587e-04       1.233836257323e+02 
       3.090610547303e-04       1.321385189933e+02 
       3.314237102296e-04       1.413385510127e+02 
       3.550552616990e-04       1.510302305707e+02 
       3.800885678487e-04       1.612638715897e+02 
       4.066682522263e-04       1.720936976500e+02 
       4.349510706772e-04       1.835778317472e+02 
       4.651059539903e-04       1.957781268038e+02 
       4.973135978220e-04       2.087597844553e+02 
       5.317654526035e-04       2.225883398357e+02 
       5.686619553862e-04       2.373420575092e+02 
       6.082098509410e-04       2.530818386121e+02 
       6.506184798276e-04       2.698776850177e+02 
       6.960949754627e-04       2.877947633165e+02 
       7.448384161787e-04       3.069045584880e+02 
       7.970331204388e-04       3.272879615033e+02 
       8.528414406627e-04       3.488858141157e+02 
       9.123965763615e-04       3.718887583065e+02 
       9.757960513266e-04       3.961493831813e+02 
       1.043096539984e-03       4.216173319545e+02 
       1.114310653222e-03       4.483863352336e+02 
       1.189406098726e-03       4.763701603243e+02 
       1.268307344378e-03       5.054484833337e+02 
       1.350899594650e-03       5.355923442947e+02 
       1.437034610032e-03       5.666894581151e+02 
       1.480253419385e-03       5.821588591968e+02 
       1.526537717089e-03       5.986270988482e+02 
       1.619215299834e-03       6.313061790696e+02 
       1.714862123835e-03       6.646515095536e+02 
       1.813267987933e-03       6.985046165199e+02 
       1.914223378774e-03       7.328110677273e+02 
       2.017523979267e-03       7.674039061240e+02 
       2.122974026127e-03       8.022278466323e+02 
       2.230388611885e-03       8.372111718647e+02 
       2.339595083891e-03       8.722494732112e+02 
       2.450433714555e-03       9.072820351457e+02 
       2.562757814163e-03       9.422342519935e+02 
       2.676433439778e-03       9.770455692703e+02 
       2.791338829103e-03       1.011682824707e+03 
       2.907363662003e-03       1.046106534812e+03 
       3.024408228024e-03       1.080258902961e+03 
       3.142382557210e-03       1.114101053265e+03 
       3.261205554408e-03       1.147632969618e+03 
       3.380804163836e-03       1.180803868198e+03 
       3.501112580629e-03       1.213603028300e+03 
       3.622071518659e-03       1.246000284857e+03 
       3.743627538789e-03       1.277995806432e+03 
       3.865732438089e-03       1.309563524423e+03 
       3.988342698271e-03       1.340703914684e+03 
       4.111418990151e-03       1.371402780763e+03 
       4.234925730137e-03       1.401647093155e+03 
       4.358830684387e-03       1.431435995558e+03 
       4.483104616230e-03       1.460768508706e+03 
       4.607720972517e-03       1.489734292558e+03 
       4.732655604842e-03       1.518020679881e+03 
       4.857886521855e-03       1.545121296702e+03 
       4.983393669194e-03       1.580835892433e+03 
       5.109158733927e-03       1.598025623383e+03 
       5.235164970684e-03       1.629690902461e+03 
       5.361397046972e-03       1.654104625968e+03 
       5.487840905455e-03       1.683700036734e+03 
       5.614483641223e-03       1.703726627411e+03 
       5.741313392305e-03       1.730555562192e+03 
       5.868319241892e-03       1.753972254139e+03 
       5.995491130924e-03       1.779537263266e+03 
       6.122819779841e-03       1.800423289439e+03 
       6.250296618459e-03       1.824499495631e+03 
       6.377913723037e-03       1.847750465585e+03 
       6.505663759748e-03       1.869226524620e+03 
       6.633539933811e-03       1.891436936342e+03 
       6.761535943681e-03       1.911620212637e+03 
       6.889645939731e-03       1.932714022422e+03 
       7.017864486939e-03       1.953305256504e+03 
       7.146186531150e-03       1.973027724483e+03 
       7.274607368536e-03       1.992623245643e+03 
       7.403122617913e-03       2.011753202031e+03 
       7.531728195617e-03       2.030273992551e+03 
       7.660420292679e-03       2.048519734886e+03 
       7.789195354061e-03       2.066325192611e+03 
       7.918050059743e-03       2.083816520850e+03 
       8.046981307487e-03       2.100812959454e+03 
       8.175986197097e-03       2.117365751029e+03 
       8.305062016043e-03       2.134011096016e+03 
       8.434206226306e-03       2.149800856347e+03 
       8.563416452334e-03       2.165173448686e+03 
       8.692690470009e-03       2.180539345452e+03 
