# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2600, i.e. number of multipoles equal to 2599
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.467162345107e-10       7.112751345266e-15       4.705689841710e-13       2.262538846490e-19       8.451290622430e-09       4.792851330397e-10      -2.450351699303e-12 
    3       1.381998684673e-10       1.205913118660e-14       5.929603783418e-13       4.526496817250e-19       5.296067563531e-09       3.423123882101e-10      -2.157318543026e-12 
    4       1.297711037944e-10       1.407218373288e-14       6.124962534814e-13       7.547284569586e-19       3.695358345709e-09       2.602083844060e-10      -1.722268694265e-12 
    5       1.230595039065e-10       1.299394122440e-14       5.724627315877e-13       1.132671035651e-18       2.761033243615e-09       2.060276821158e-10      -1.278725589796e-12 
    6       1.181747613577e-10       9.995537616006e-15       5.022807119638e-13       1.586696387102e-18       2.157188561914e-09       1.678122066350e-10      -8.734435710277e-13 
    7       1.148486990430e-10       6.587060872070e-15       4.219149400519e-13       2.117057175402e-18       1.739038269228e-09       1.396258814447e-10      -5.306428667209e-13 
    8       1.125324322826e-10       3.851950855242e-15       3.435277257109e-13       2.724034671388e-18       1.435616282653e-09       1.181116031983e-10      -2.611160503827e-13 
    9       1.110650404834e-10       2.189860526134e-15       2.740391538601e-13       3.407933152656e-18       1.208075836068e-09       1.012740571702e-10      -6.657120632854e-14 
   10       1.104619022652e-10       1.449453351642e-15       2.176608223190e-13       4.169073931606e-18       1.032783745517e-09       8.791914940180e-11       5.816699750156e-14 
   11       1.103761731846e-10       1.235243085924e-15       1.761868986082e-13       5.007789161137e-18       8.689614551877e-10       7.740244292382e-11       1.223628546795e-13 
   12       1.106608131582e-10       1.184414366058e-15       1.490237402284e-13       5.924415573530e-18       7.594146279530e-10       6.851774657728e-11       1.406486951867e-13 
   13       1.112796677585e-10       1.103430243142e-15       1.346359064558e-13       6.919288310074e-18       6.692603419095e-10       6.112484463811e-11       1.262854526518e-13 
   14       1.121029165045e-10       9.640079319843e-16       1.307200475675e-13       7.992734996924e-18       5.943402933545e-10       5.478014068245e-11       9.181328738859e-14 
   15       1.130975772541e-10       8.236217651005e-16       1.339985095143e-13       9.145070216612e-18       5.312779049478e-10       4.947773125685e-11       4.949411352240e-14 
   16       1.143800902695e-10       7.414254152660e-16       1.414782228586e-13       1.037659051452e-17       4.776640001739e-10       4.501188433919e-11       8.105398168427e-15 
   17       1.158047874905e-10       7.327421354152e-16       1.510134110374e-13       1.168757006572e-17       4.316690652034e-10       4.117240393335e-11      -2.611188408549e-14 
   18       1.172550650718e-10       7.693147847180e-16       1.604927599163e-13       1.307825684612e-17       3.917176027568e-10       3.772332863679e-11      -4.978077904490e-14 
   19       1.187942422415e-10       8.200700356899e-16       1.690369985895e-13       1.454887124385e-17       3.572114899358e-10       3.465082780734e-11      -6.202752397910e-14 
   20       1.204713024202e-10       8.541124650394e-16       1.761593455377e-13       1.609960127903e-17       3.268647532953e-10       3.194381899878e-11      -6.361235278187e-14 
   21       1.222429792312e-10       8.744718833267e-16       1.818251404446e-13       1.773060616599e-17       3.001592865333e-10       2.956528603480e-11      -5.671028520451e-14 
   22       1.240137167588e-10       8.985856714362e-16       1.862789980238e-13       1.944201116189e-17       2.763949391464e-10       2.742956068585e-11      -4.473063803632e-14 
   23       1.258291354638e-10       9.456181545112e-16       1.901131935792e-13       2.123391476829e-17       2.552851384157e-10       2.550162365690e-11      -3.060956799947e-14 
   24       1.277511232554e-10       1.034049943273e-15       1.940667593244e-13       2.310638349320e-17       2.364079166482e-10       2.374193129195e-11      -1.739118216468e-14 
   25       1.297516788305e-10       1.163853444972e-15       1.984740460502e-13       2.505946380813e-17       2.195159923435e-10       2.214525507427e-11      -6.820479530638e-15 
   26       1.317613869499e-10       1.327578801254e-15       2.035334137124e-13       2.709317526249e-17       2.042530314078e-10       2.070252000683e-11      -1.119068616139e-16 
   27       1.337738924477e-10       1.519002302912e-15       2.093719360350e-13       2.920752323996e-17       1.904419967256e-10       1.940525125043e-11       2.630483787333e-15 
   28       1.357955906191e-10       1.732087004943e-15       2.160091185752e-13       3.140249509297e-17       1.778676447426e-10       1.823473785276e-11       1.853965868294e-15 
   29       1.378495379622e-10       1.966222501544e-15       2.231419412926e-13       3.367808457415e-17       1.664686978290e-10       1.717811678016e-11      -1.699725789293e-15 
   30       1.399556624561e-10       2.222354253158e-15       2.302596847944e-13       3.603427371043e-17       1.561189766673e-10       1.621148913095e-11      -6.931330397218e-15 
