# Matter power spectrum P(k) at redshift z=3
# for k=1.045e-05 to 1.48025 h/Mpc,
# number of wavenumbers equal to 614
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.045004331675e-05       4.979502847815e+00 
       2.333072599361e-05       1.082895244317e+01 
       3.625670508707e-05       1.658744116207e+01 
       4.926275759790e-05       2.231244663169e+01 
       6.238423572406e-05       2.803739151300e+01 
       7.565738207312e-05       3.378775880953e+01 
       8.911965495367e-05       3.958562485406e+01 
       1.028100680716e-04       4.545152632412e+01 
       1.167695489910e-04       5.140542549632e+01 
       1.310413207523e-04       5.746730198489e+01 
       1.456713110468e-04       6.365756996213e+01 
       1.607085932875e-04       6.999740827311e+01 
       1.762058637361e-04       7.650904640234e+01 
       1.922199584784e-04       8.321602923590e+01 
       2.088124133777e-04       9.014347353950e+01 
       2.260500690633e-04       9.731832345143e+01 
       2.440057213375e-04       1.047696086519e+02 
       2.627588149161e-04       1.125287060484e+02 
       2.823961748573e-04       1.206296031751e+02 
       3.030127650707e-04       1.291091586349e+02 
       3.247124565425e-04       1.380073515398e+02 
       3.476087789641e-04       1.473675077830e+02 
       3.718256179324e-04       1.572364859672e+02 
       3.974978055456e-04       1.676647998167e+02 
       4.247715350715e-04       1.787066470239e+02 
       4.538045109487e-04       1.904198070221e+02 
       4.847657250528e-04       2.028653628605e+02 
       5.178347314714e-04       2.161071963912e+02 
       5.532002791011e-04       2.302112032265e+02 
       5.910581600745e-04       2.452441769420e+02 
       6.316081497407e-04       2.612723238110e+02 
       6.750499585980e-04       2.783593930182e+02 
       7.215781946510e-04       2.965644448554e+02 
       7.713764478851e-04       3.159393305416e+02 
       8.246107502248e-04       3.365260177812e+02 
       8.814228162563e-04       3.583539567463e+02 
       9.419236022777e-04       3.814377280091e+02 
       1.006187797053e-03       4.057752312513e+02 
       1.074249843409e-03       4.313466484568e+02 
       1.146101968362e-03       4.581143436178e+02 
       1.221694480906e-03       4.860237514767e+02 
       1.300938320036e-03       5.150051817526e+02 
       1.383709559698e-03       5.449763507275e+02 
       1.469855361218e-03       5.758453745608e+02 
       1.480253419385e-03       5.795490990659e+02 
       1.559200747988e-03       6.075139327138e+02 
       1.651555572415e-03       6.398803346559e+02 
       1.746721133452e-03       6.728422847429e+02 
       1.844496048335e-03       7.062992183514e+02 
       1.944681145073e-03       7.401541574867e+02 
       2.047083290821e-03       7.743138371954e+02 
       2.151518186620e-03       8.086926117420e+02 
       2.257812235183e-03       8.432116088357e+02 
       2.365803628343e-03       8.777980216316e+02 
       2.475342812589e-03       9.123858695747e+02 
       2.586292483858e-03       9.469158453676e+02 
       2.698527244677e-03       9.813350179162e+02 
       2.811933034063e-03       1.015596433352e+03 
       2.926406417555e-03       1.049658652492e+03 
       3.041853803616e-03       1.083485259012e+03 
