# Table of selected background quantities
# All densities are multiplied by (8piG/3) (below, shortcut notation (.) for this factor) 
# Densities are in units [Mpc^-2] while all distances are in [Mpc]. 
#    1:z                      2:proper time [Gyr]      3:conf. time [Mpc]       4:H [1/Mpc]              5:comov. dist.           6:ang.diam.dist.         7:lum. dist.             8:comov.snd.hrz.         9:(.)rho_g              10:(.)rho_b              11:(.)rho_cdm            12:(.)n_ncdm[0]          13:(.)rho_ncdm[0]        14:(.)p_ncdm[0]          15:(.)rho_lambda         16:(.)rho_ur             17:(.)rho_crit           18:(.)rho_dcdm           19:(.)rho_dr             20:gr.fac. D             21:gr.fac. f          
       9.999999999990e+11       7.558503618419e-22       4.634894139599e-07       2.157545950589e+18       1.377785706969e+04       1.377785706969e-08       1.377785706969e+16       2.675958159927e-07       2.751560535470e+36       2.451390603497e+27       1.112650056054e+25       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       3.524376497625e-08       1.903443976270e+36       4.655004528902e+36       1.469950928230e+28       6.735515352647e+04       6.550307379368e-18       2.000000000000e+12 
       9.930486593833e+11       7.664693035754e-22       4.667344910558e-07       2.127654532095e+18       1.377785706969e+04       1.387430206918e-08       1.368208249224e+16       2.694689867041e-07       2.675846458098e+36       2.400623788821e+27       1.089607747286e+25       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       3.524376497625e-08       1.851067333040e+36       4.526913807944e+36       1.439509134805e+28       6.688694490952e+04       9.138482827321e-08       1.433565615444e+02 
       9.861456399039e+11       7.772374308212e-22       4.700013960246e-07       2.098177240077e+18       1.377785706969e+04       1.397142218366e-08       1.358697367650e+16       2.713552696103e-07       2.602215788101e+36       2.350908324129e+27       1.067042630777e+25       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       3.524376497625e-08       1.800131926216e+36       4.402347730776e+36       1.409697772484e+28       6.642199097021e+04       1.827696565387e-07       7.167828077430e+01 
       9.792906056642e+11       7.881568394866e-22       4.732919478556e-07       2.069108337076e+18       1.377785706968e+04       1.406922213894e-08       1.349252599454e+16       2.732547564969e-07       2.530611196823e+36       2.302222436599e+27       1.044944824165e+25       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       3.524376497625e-08       1.750598097618e+36       4.281209310559e+36       1.380503785420e+28       6.596026908415e+04       2.741544848031e-07       4.778552051648e+01 
       9.724832231024e+11       7.992296549241e-22       4.766043275595e-07       2.040442165126e+18       1.377785706968e+04       1.416770669391e-08       1.339873485058e+16       2.751675397917e-07       2.460976933108e+36       2.254544804313e+27       1.023304649743e+25       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       3.524376497625e-08       1.702427280330e+36       4.163404229222e+36       1.351914388147e+28       6.550175678423e+04       3.655393130663e-07       3.583914038736e+01 
       9.657231609755e+11       8.104580323455e-22       4.799403541256e-07       2.012173144643e+18       1.377785706968e+04       1.426688064077e-08       1.330559568081e+16       2.770937125695e-07       2.393258779892e+36       2.207854546915e+27       1.002112630227e+25       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       3.524376497625e-08       1.655581968675e+36       4.048840764024e+36       1.323917059976e+28       6.504643175954e+04       4.569241413285e-07       2.867131230982e+01 
       9.590100903431e+11       8.218441572412e-22       4.833000275539e-07       1.984295773350e+18       1.377785706967e+04       1.436674880525e-08       1.321310395313e+16       2.790333685567e-07       2.327404011990e+36       2.162131216469e+27       9.813594845993e+24       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       3.524376497625e-08       1.610025689009e+36       3.937429716136e+36       1.296499539514e+28       6.459427185424e+04       5.483089695895e-07       2.389276025810e+01 
       9.523436845512e+11       8.333902458055e-22       4.866833478445e-07       1.956804625197e+18       1.377785706967e+04       1.446731604688e-08       1.312125516696e+16       2.809866021358e-07       2.263361355044e+36       2.117354788504e+27       9.610361240485e+24       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       3.524376497625e-08       1.565722971327e+36       3.829084341194e+36       1.269649819296e+28       6.414525506649e+04       6.396937978495e-07       2.047950879258e+01 
       9.457236192166e+11       8.450985453677e-22       4.900903149974e-07       1.929694349310e+18       1.377785706967e+04       1.456858725921e-08       1.303004485299e+16       2.829535083499e-07       2.201080945601e+36       2.073505653242e+27       9.411336479856e+24       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       3.524376497625e-08       1.522639321643e+36       3.723720281760e+36       1.243356140521e+28       6.369935954742e+04       7.310786261085e-07       1.791957019343e+01 
       9.391495722111e+11       8.569713348304e-22       4.935209290124e-07       1.902959668947e+18       1.377785706966e+04       1.467056737002e-08       1.293946857297e+16       2.849341829075e-07       2.140514292289e+36       2.030564607013e+27       9.216433401477e+24       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       3.524376497625e-08       1.480741195135e+36       3.621255501640e+36       1.217606987908e+28       6.325656360003e+04       8.224634543664e-07       1.592850683854e+01 
       9.326212236455e+11       8.690109251121e-22       4.969751898898e-07       1.876595380473e+18       1.377785706966e+04       1.477326134161e-08       1.284952191953e+16       2.869287221869e-07       2.081614238064e+36       1.988512843844e+27       9.025566647805e+24       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       3.524376497625e-08       1.439995970027e+36       3.521610222013e+36       1.192391084651e+28       6.281684567813e+04       9.138482826233e-07       1.433565615462e+01 
       9.261382558545e+11       8.812196595975e-22       5.004530976294e-07       1.850596352345e+18       1.377785706966e+04       1.487667417100e-08       1.276020051592e+16       2.889372232413e-07       2.024334923491e+36       1.947331947221e+27       8.838652629001e+24       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       3.524376497625e-08       1.400371922188e+36       3.424706859312e+36       1.167697387477e+28       6.238018438533e+04       1.005233110879e-06       1.303241468596e+01 
       9.197003533808e+11       8.935999145935e-22       5.039564712206e-07       1.824957524114e+18       1.377785706965e+04       1.498081089019e-08       1.267150001580e+16       2.909597838030e-07       1.968631751037e+36       1.907003882026e+27       8.655609486318e+24       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       3.524376497625e-08       1.361838200433e+36       3.330469964820e+36       1.143515081816e+28       6.194655847394e+04       1.096617939134e-06       1.194638012874e+01 
       9.133072029600e+11       9.061540997917e-22       5.074853106635e-07       1.799673905442e+18       1.377785706965e+04       1.508567656642e-08       1.258341610308e+16       2.929965022886e-07       1.914461350352e+36       1.867510986635e+27       8.476357056258e+24       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       3.524376497625e-08       1.324364802502e+36       3.238826165929e+36       1.119833577059e+28       6.151594684400e+04       1.188002767388e-06       1.102742781110e+01 
       9.069584935054e+11       9.188846587377e-22       5.110377969686e-07       1.774740575127e+18       1.377785706965e+04       1.519127630238e-08       1.249594449163e+16       2.950474778036e-07       1.861781544497e+36       1.828835965188e+27       8.300816835457e+24       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       3.524376497625e-08       1.287922551702e+36       3.149704109003e+36       1.096642501922e+28       6.108832854222e+04       1.279387595641e-06       1.023975439598e+01 
       9.006539160927e+11       9.317940693061e-22       5.146139301360e-07       1.750152680149e+18       1.377785706964e+04       1.529761523649e-08       1.240908092515e+16       2.971128101472e-07       1.810551317107e+36       1.790961880011e+27       8.128911946310e+24       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       3.524376497625e-08       1.252483074187e+36       3.063034403832e+36       1.073931699906e+28       6.066368276093e+04       1.370772423893e-06       9.557104102875e+00 
       8.943931639450e+11       9.448848441833e-22       5.182173481444e-07       1.725905434721e+18       1.377785706964e+04       1.540469854314e-08       1.232282117691e+16       2.991925998171e-07       1.760730780455e+36       1.753872144199e+27       7.960567103301e+24       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       3.524376497625e-08       1.218018776867e+36       2.978749569601e+36       1.051691224844e+28       6.024198883715e+04       1.462157252145e-06       8.959785096409e+00 
       8.881759324180e+11       9.581595313567e-22       5.218444130151e-07       1.701994119363e+18       1.377785706963e+04       1.551253143294e-08       1.223716104956e+16       3.012869480147e-07       1.712281144394e+36       1.717550514352e+27       7.795708580030e+24       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       3.524376497625e-08       1.184502825928e+36       2.896783982347e+36       1.029911336550e+28       5.982322625151e+04       1.553542080395e-06       8.432738914235e+00 
       8.820019189851e+11       9.716207146099e-22       5.254969437374e-07       1.678414079978e+18       1.377785706963e+04       1.562111915297e-08       1.215209637493e+16       3.033959566496e-07       1.665164686159e+36       1.681981083460e+27       7.634264176927e+24       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       3.524376497625e-08       1.151909125934e+36       2.817073823869e+36       1.008582496551e+28       5.940737462727e+04       1.644926908644e-06       7.964253418970e+00 
       8.758708232225e+11       9.852710140265e-22       5.291749403113e-07       1.655160726950e+18       1.377785706963e+04       1.573046698704e-08       1.206762301383e+16       3.055197283450e-07       1.619344720994e+36       1.647148273939e+27       7.476163189630e+24       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       3.524376497625e-08       1.120212299511e+36       2.739557032036e+36       9.876953639111e+27       5.899441372934e+04       1.736311736893e-06       7.545082186365e+00 
       8.697823467949e+11       9.991130864994e-22       5.328802217264e-07       1.632229534247e+18       1.377785706962e+04       1.584058025594e-08       1.198373685584e+16       3.076583664421e-07       1.574785573588e+36       1.613036830806e+27       7.321336378025e+24       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       3.524376497625e-08       1.089387667588e+36       2.664173252469e+36       9.672407911372e+27       5.858432346331e+04       1.827696565141e-06       7.167828077022e+00 
       8.637361934407e+11       1.013149626248e-21       5.366109689930e-07       1.609616038546e+18       1.377785706962e+04       1.595146431773e-08       1.190043381910e+16       3.098119750059e-07       1.531452550299e+36       1.579631815001e+27       7.169715935914e+24       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       3.524376497625e-08       1.059411230185e+36       2.590863791543e+36       9.472098201768e+27       5.817708387444e+04       1.919081393388e-06       6.826502930475e+00 
       8.577320689580e+11       1.027383365344e-21       5.403671821114e-07       1.587315838356e+18       1.377785706962e+04       1.606312456795e-08       1.181770985014e+16       3.119806588297e-07       1.489311912145e+36       1.546918596840e+27       7.021235461329e+24       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       3.524376497625e-08       1.030259647722e+36       2.519571570697e+36       9.275936784929e+27       5.777267514669e+04       2.010466221635e-06       6.516207342706e+00 
       8.517696811896e+11       1.041817074240e-21       5.441488610813e-07       1.565324593171e+18       1.377785706961e+04       1.617556643992e-08       1.173556092367e+16       3.141645234401e-07       1.448330848529e+36       1.514882849614e+27       6.875829927442e+24       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       3.524376497625e-08       1.001910222850e+36       2.450241081985e+36       9.083837752225e+27       5.737107760178e+04       2.101851049880e-06       6.232893979961e+00 
