# Table of selected background quantities
# All densities are multiplied by (8piG/3) (below, shortcut notation (.) for this factor) 
# Densities are in units [Mpc^-2] while all distances are in [Mpc]. 
#    1:z                      2:proper time [Gyr]      3:conf. time [Mpc]       4:H [1/Mpc]              5:comov. dist.           6:ang.diam.dist.         7:lum. dist.             8:comov.snd.hrz.         9:(.)rho_g              10:(.)rho_b              11:(.)rho_cdm            12:(.)n_ncdm[0]          13:(.)rho_ncdm[0]        14:(.)p_ncdm[0]          15:(.)rho_lambda         16:(.)rho_ur             17:(.)rho_crit           18:(.)rho_dcdm           19:(.)rho_dr             20:gr.fac. D             21:gr.fac. f          
       9.999999999990e+11       7.558503619514e-22       4.634894139599e-07       2.157545950276e+18       1.417234625917e+04       1.417234625917e-08       1.417234625917e+16       2.675958160315e-07       2.751560535470e+36       2.451390603497e+27       1.112650056054e+25       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       3.517700597289e-08       1.903443976270e+36       4.655004527553e+36       1.335066054466e+28       2.132860428272e+03       6.989989771794e-18       2.000000000000e+12 
       9.930486593833e+11       7.664693036865e-22       4.667344910558e-07       2.127654531785e+18       1.417234625917e+04       1.427155268298e-08       1.407382945299e+16       2.694689867431e-07       2.675846458098e+36       2.400623788821e+27       1.089607747286e+25       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       3.517700597289e-08       1.851067333040e+36       4.526913806624e+36       1.307417645081e+28       2.118034188875e+03       9.751893734618e-08       1.433565615445e+02 
       9.861456399039e+11       7.772374309338e-22       4.700013960246e-07       2.098177239768e+18       1.417234625916e+04       1.437145355176e-08       1.397599747070e+16       2.713552696496e-07       2.602215788101e+36       2.350908324129e+27       1.067042630777e+25       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       3.517700597289e-08       1.800131926216e+36       4.402347729482e+36       1.280341817509e+28       2.103311011719e+03       1.950378746842e-07       7.167828077441e+01 
       9.792906056642e+11       7.881568396008e-22       4.732919478556e-07       2.069108336770e+18       1.417234625916e+04       1.447205372662e-08       1.387884555183e+16       2.732547565365e-07       2.530611196823e+36       2.302222436599e+27       1.044944824165e+25       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       3.517700597289e-08       1.750598097618e+36       4.281209309292e+36       1.253826713927e+28       2.088690180384e+03       2.925568120212e-07       4.778552051657e+01 
       9.724832231024e+11       7.992296550399e-22       4.766043275595e-07       2.040442164822e+18       1.417234625916e+04       1.457335810270e-08       1.378236896904e+16       2.751675398316e-07       2.460976933108e+36       2.254544804313e+27       1.023304649743e+25       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       3.517700597289e-08       1.702427280330e+36       4.163404227982e+36       1.227860722080e+28       2.074170983429e+03       3.900757493570e-07       3.583914038745e+01 
       9.657231609756e+11       8.104580324631e-22       4.799403541256e-07       2.012173144342e+18       1.417234625915e+04       1.467537160942e-08       1.368656302784e+16       2.770937126096e-07       2.393258779892e+36       2.207854546915e+27       1.002112630227e+25       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       3.517700597289e-08       1.655581968675e+36       4.048840762809e+36       1.202432470199e+28       2.059752714360e+03       4.875946866918e-07       2.867131230990e+01 
       9.590100903431e+11       8.218441573605e-22       4.833000275539e-07       1.984295773051e+18       1.417234625915e+04       1.477809921068e-08       1.359142306637e+16       2.790333685971e-07       2.327404011990e+36       2.162131216469e+27       9.813594845994e+24       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       3.517700597289e-08       1.610025689009e+36       3.937429714946e+36       1.177530822012e+28       2.045434671591e+03       5.851136240255e-07       2.389276025818e+01 
       9.523436845512e+11       8.333902459264e-22       4.866833478445e-07       1.956804624900e+18       1.417234625915e+04       1.488154590515e-08       1.349694445518e+16       2.809866021765e-07       2.263361355044e+36       2.117354788504e+27       9.610361240486e+24       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       3.517700597289e-08       1.565722971327e+36       3.829084340029e+36       1.153144871878e+28       2.031216158415e+03       6.826325613581e-07       2.047950879266e+01 
       9.457236192166e+11       8.450985454905e-22       4.900903149974e-07       1.929694349015e+18       1.417234625914e+04       1.498571672649e-08       1.340312259700e+16       2.829535083909e-07       2.201080945601e+36       2.073505653242e+27       9.411336479857e+24       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       3.517700597289e-08       1.522639321643e+36       3.723720280619e+36       1.129263940001e+28       2.017096482969e+03       7.801514986897e-07       1.791957019351e+01 
       9.391495722111e+11       8.569713349550e-22       4.935209290124e-07       1.902959668654e+18       1.417234625914e+04       1.509061674357e-08       1.330995292651e+16       2.849341829488e-07       2.140514292289e+36       2.030564607014e+27       9.216433401478e+24       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       3.517700597289e-08       1.480741195135e+36       3.621255500523e+36       1.105877567759e+28       2.003074958198e+03       8.776704360203e-07       1.592850683861e+01 
       9.326212236455e+11       8.690109252385e-22       4.969751898898e-07       1.876595380182e+18       1.417234625914e+04       1.519625106077e-08       1.321743091014e+16       2.869287222286e-07       2.081614238065e+36       1.988512843845e+27       9.025566647806e+24       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       3.517700597289e-08       1.439995970027e+36       3.521610220919e+36       1.082975513123e+28       1.989150901822e+03       9.751893733499e-07       1.433565615469e+01 
       9.261382558545e+11       8.812196597258e-22       5.004530976294e-07       1.850596352055e+18       1.417234625913e+04       1.530262481819e-08       1.312555204581e+16       2.889372232833e-07       2.024334923491e+36       1.947331947222e+27       8.838652629002e+24       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       3.517700597289e-08       1.400371922188e+36       3.424706858241e+36       1.060547746166e+28       1.975323636307e+03       1.072708310679e-06       1.303241468603e+01 
