# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3100, i.e. number of multipoles equal to 3099
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.477628300135e-10       4.839026435936e-15       4.005027309410e-13       0.000000000000e+00       8.694664193392e-09       4.742803896235e-10      -2.047607452503e-12 
    3       1.397296468901e-10       6.549819249363e-15       4.556928879983e-13       0.000000000000e+00       5.350137479098e-09       3.375800571150e-10      -1.604977059397e-12 
    4       1.321139808214e-10       6.009137064612e-15       4.316487662716e-13       0.000000000000e+00       3.714072233394e-09       2.564195051427e-10      -1.102614797980e-12 
    5       1.263335634933e-10       4.258540561057e-15       3.716275319654e-13       0.000000000000e+00       2.768144821766e-09       2.029154328528e-10      -6.614191154103e-13 
    6       1.222950687851e-10       2.490659790905e-15       3.012378699838e-13       0.000000000000e+00       2.160141972566e-09       1.653041082825e-10      -3.189057808241e-13 
    7       1.196664288457e-10       1.327292569594e-15       2.360058718852e-13       0.000000000000e+00       1.741426172924e-09       1.377385648973e-10      -8.357426602569e-14 
    8       1.180638447276e-10       7.826102960343e-16       1.834675603754e-13       0.000000000000e+00       1.438551450541e-09       1.168222883641e-10       5.330061773614e-14 
    9       1.172463934641e-10       5.904024345450e-16       1.460928276920e-13       0.000000000000e+00       1.211040309777e-09       1.004733770080e-10       1.105262546879e-13 
   10       1.170065590704e-10       5.075321224307e-16       1.231772683247e-13       0.000000000000e+00       1.034853327057e-09       8.745510326447e-11       1.117317729399e-13 
   11       1.172138872601e-10       4.310890198593e-16       1.122566735329e-13       0.000000000000e+00       8.729174016900e-10       7.735673916230e-11       8.112757726214e-14 
   12       1.178094535056e-10       3.617026221576e-16       1.100979324391e-13       0.000000000000e+00       7.624823391862e-10       6.854916396374e-11       3.868536682276e-14 
   13       1.186550286782e-10       3.232333154388e-16       1.134280685490e-13       0.000000000000e+00       6.718104090152e-10       6.130378203075e-11      -6.442676838674e-16 
   14       1.196676015903e-10       3.183032534691e-16       1.196633026907e-13       0.000000000000e+00       5.965189847054e-10       5.501218429047e-11      -2.837429515530e-14 
   15       1.208764299218e-10       3.311719941833e-16       1.270928836243e-13       0.000000000000e+00       5.331661597924e-10       4.971491398372e-11      -4.155417939950e-14 
   16       1.222881899980e-10       3.487228937218e-16       1.346625648015e-13       0.000000000000e+00       4.791763777510e-10       4.520914878964e-11      -4.170602481141e-14 
   17       1.237563404639e-10       3.712200051416e-16       1.420907795588e-13       0.000000000000e+00       4.330563174081e-10       4.130203699954e-11      -3.331013319214e-14 
   18       1.253385238102e-10       4.078938954671e-16       1.494991876714e-13       0.000000000000e+00       3.929939455794e-10       3.775230597847e-11      -2.163192212730e-14 
   19       1.270518172863e-10       4.641526572192e-16       1.571426441837e-13       0.000000000000e+00       3.583201056897e-10       3.458162255875e-11      -1.039140315335e-14 
   20       1.288189132689e-10       5.426804425054e-16       1.653066806816e-13       0.000000000000e+00       3.278111132152e-10       3.183282392089e-11      -2.980841744622e-15 
   21       1.306545860759e-10       6.414836395898e-16       1.741563765867e-13       0.000000000000e+00       3.009796600018e-10       2.946945619959e-11      -4.699052904341e-17 
   22       1.325673210539e-10       7.566513192473e-16       1.837466372202e-13       0.000000000000e+00       2.771390510159e-10       2.738118604390e-11      -9.397209821175e-16 
   23       1.345420911865e-10       8.883917968233e-16       1.938624060773e-13       0.000000000000e+00       2.559746777095e-10       2.549726223436e-11      -4.321898631959e-15 
   24       1.365388873713e-10       1.037815437512e-15       2.041332988977e-13       0.000000000000e+00       2.370265038723e-10       2.374386554624e-11      -8.374267932191e-15 
   25       1.385798300703e-10       1.204231856451e-15       2.142143384800e-13       0.000000000000e+00       2.200638603463e-10       2.213675735736e-11      -1.176472433044e-14 
   26       1.406869969756e-10       1.386368511679e-15       2.237243934008e-13       0.000000000000e+00       2.047598129675e-10       2.070290888677e-11      -1.335524697034e-14 
   27       1.428492625089e-10       1.584573024774e-15       2.323234119444e-13       0.000000000000e+00       1.909247926670e-10       1.942990721140e-11      -1.301102622128e-14 
   28       1.450366345857e-10       1.799930267810e-15       2.397098255168e-13       0.000000000000e+00       1.783194989383e-10       1.828264805088e-11      -1.104879565460e-14 
   29       1.472566444347e-10       2.034522616686e-15       2.458455787558e-13       0.000000000000e+00       1.668839040994e-10       1.724250790902e-11      -8.126105088428e-15 
   30       1.495169512233e-10       2.291051543458e-15       2.508098555339e-13       0.000000000000e+00       1.565024271935e-10       1.628266623507e-11      -5.190279848245e-15 
   31       1.518137860579e-10       2.572163153977e-15       2.547302201757e-13       0.000000000000e+00       1.469697414528e-10       1.537006199862e-11      -3.228404725544e-15 
   32       1.541483657987e-10       2.878589394586e-15       2.577485258030e-13       0.000000000000e+00       1.382327284605e-10       1.451048848687e-11      -2.438077464380e-15 
   33       1.565137221224e-10       3.210287601543e-15       2.600491257628e-13       0.000000000000e+00       1.302211775198e-10       1.371914708538e-11      -2.746074128811e-15 
   34       1.588966535474e-10       3.567168941670e-15       2.617882995693e-13       0.000000000000e+00       1.228150353858e-10       1.300537248123e-11      -3.978031490581e-15 
   35       1.613047937302e-10       3.950052309450e-15       2.628054103869e-13       0.000000000000e+00       1.159787805054e-10       1.236151403372e-11      -5.723892143640e-15 
   36       1.637473161822e-10       4.360034401687e-15       2.628066643786e-13       0.000000000000e+00       1.096639913115e-10       1.176906015664e-11      -7.410955777960e-15 
   37       1.662277966064e-10       4.798177481185e-15       2.614945597562e-13       0.000000000000e+00       1.037946585583e-10       1.120722146370e-11      -8.474479336968e-15 
