# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2600, i.e. number of multipoles equal to 2599
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.477633545321e-10       4.839272713470e-15       4.005027270548e-13       2.462773618336e-19       8.694664193392e-09       4.742803896235e-10      -2.047607452503e-12 
    3       1.397306934368e-10       6.550311839912e-15       4.556928706731e-13       4.925888477965e-19       5.350137479098e-09       3.375800571150e-10      -1.604977059397e-12 
    4       1.321157195996e-10       6.009958132435e-15       4.316487164662e-13       8.210594438260e-19       3.714072233394e-09       2.564195051427e-10      -1.102614797980e-12 
    5       1.263361615724e-10       4.259772330441e-15       3.716274184378e-13       1.231740619269e-18       2.768144821766e-09       2.029154328528e-10      -6.614191154103e-13 
    6       1.222986894723e-10       2.492384571074e-15       3.012376465967e-13       1.724701481378e-18       2.160141972566e-09       1.653041082825e-10      -3.189057808241e-13 
    7       1.196712311532e-10       1.329592784807e-15       2.360054751285e-13       2.300031452411e-18       1.741426172924e-09       1.377385648973e-10      -8.357426602569e-14 
    8       1.180699829456e-10       7.855685206444e-16       1.834669071340e-13       2.957843012857e-18       1.438551450541e-09       1.168222883641e-10       5.330061773614e-14 
    9       1.172540168488e-10       5.941014322089e-16       1.460918132816e-13       3.698274296145e-18       1.211040309777e-09       1.004733770080e-10       1.105262546879e-13 
   10       1.170158116491e-10       5.120548881261e-16       1.231757648077e-13       4.521491316029e-18       1.034853327057e-09       8.745510326447e-11       1.117317729399e-13 
   11       1.172249077533e-10       4.365188228663e-16       1.122545283204e-13       5.427689615465e-18       8.729174016900e-10       7.735673916230e-11       8.112757726214e-14 
   12       1.178223753624e-10       3.681230477540e-16       1.100949671773e-13       6.417095144966e-18       7.624823391862e-10       6.854916396374e-11       3.868536682276e-14 
   13       1.186699802156e-10       3.307283027621e-16       1.134240782814e-13       7.489964208501e-18       6.718104090152e-10       6.130378203075e-11      -6.442676838674e-16 
   14       1.196847062258e-10       3.269571268531e-16       1.196580552823e-13       8.646582354673e-18       5.965189847054e-10       5.501218429047e-11      -2.837429515530e-14 
   15       1.208958064842e-10       3.410694852811e-16       1.270861194284e-13       9.887262138519e-18       5.331661597924e-10       4.971491398372e-11      -4.155417939950e-14 
   16       1.223099530999e-10       3.599491519074e-16       1.346539965485e-13       1.121233973261e-17       4.791763777510e-10       4.520914878964e-11      -4.170602481141e-14 
   17       1.237806009171e-10       3.838605940265e-16       1.420800924426e-13       1.262217042288e-17       4.330563174081e-10       4.130203699954e-11      -3.331013319214e-14 
   18       1.253653890745e-10       4.220347752380e-16       1.494860396205e-13       1.411712371109e-17       3.929939455794e-10       3.775230597847e-11      -2.163192212730e-14 
   19       1.270813918787e-10       4.798801435806e-16       1.571266662350e-13       1.569757376818e-17       3.583201056897e-10       3.458162255875e-11      -1.039140315335e-14 
   20       1.288512992537e-10       5.600811631070e-16       1.652874775966e-13       1.736389909513e-17       3.278111132152e-10       3.183282392089e-11      -2.980841744622e-15 
   21       1.306898833944e-10       6.606444571539e-16       1.741335274400e-13       1.911646649146e-17       3.009796600018e-10       2.946945619959e-11      -4.699052904341e-17 
   22       1.326056279453e-10       7.776592538865e-16       1.837196962503e-13       2.095563148761e-17       2.771390510159e-10       2.738118604390e-11      -9.397209821175e-16 
   23       1.345835044020e-10       9.113339247649e-16       1.938309034864e-13       2.288172326270e-17       2.559746777095e-10       2.549726223436e-11      -4.321898631959e-15 
   24       1.365835024809e-10       1.062778788432e-15       2.040967419216e-13       2.489504497802e-17       2.370265038723e-10       2.374386554624e-11      -8.374267932191e-15 
   25       1.386277415086e-10       1.231303302092e-15       2.141722124177e-13       2.699586084189e-17       2.200638603463e-10       2.213675735736e-11      -1.176472433044e-14 
   26       1.407382982022e-10       1.415634648868e-15       2.236761629199e-13       2.918439607873e-17       2.047598129675e-10       2.070290888677e-11      -1.335524697034e-14 
   27       1.429040459296e-10       1.616120063494e-15       2.322685224189e-13       3.146082839077e-17       1.909247926670e-10       1.942990721140e-11      -1.301102622128e-14 
   28       1.450949915468e-10       1.833843919092e-15       2.396477046393e-13       3.382528832698e-17       1.783194989383e-10       1.828264805088e-11      -1.104879565460e-14 
   29       1.473186648902e-10       2.070888034137e-15       2.457756383397e-13       3.627786191824e-17       1.668839040994e-10       1.724250790902e-11      -8.126105088428e-15 
   30       1.495827236193e-10       2.329953217714e-15       2.507314934925e-13       3.881858231896e-17       1.565024271935e-10       1.628266623507e-11      -5.190279848245e-15 
