# Matter power spectrum P(k) at redshift z=3
# for k=1.04224e-05 to 1.4771 h/Mpc,
# number of wavenumbers equal to 610
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.042244415558e-05       5.289065281715e+00 
       2.348460766993e-05       1.155438278875e+01 
       3.659352655384e-05       1.770199690173e+01 
       4.978547181138e-05       2.380220465376e+01 
       6.309732687896e-05       2.989455871755e+01 
       7.656692578574e-05       3.600850750694e+01 
       9.023340236011e-05       4.216913328288e+01 
       1.041375552500e-04       4.839949258146e+01 
       1.183222335600e-04       5.472181231480e+01 
       1.328327479433e-04       6.115821265874e+01 
       1.477173119870e-04       6.773120856872e+01 
       1.630275186519e-04       7.446410016173e+01 
       1.788188563073e-04       8.138130593349e+01 
       1.951512684563e-04       8.850866750048e+01 
       2.120897604558e-04       9.587374192275e+01 
       2.297050552488e-04       1.035060971507e+02 
       2.480742981394e-04       1.114375761793e+02 
       2.672818076937e-04       1.197026267928e+02 
       2.874198656201e-04       1.283385670044e+02 
       3.085895325794e-04       1.373858806772e+02 
       3.309014688607e-04       1.468884797282e+02 
       3.544767282663e-04       1.568939458159e+02 
       3.794474799738e-04       1.674537142090e+02 
       4.059575963491e-04       1.786231779701e+02 
       4.341630248273e-04       1.904616751868e+02 
       4.642318398748e-04       2.030323132438e+02 
       4.963438486100e-04       2.164016273408e+02 
       5.306896042903e-04       2.306387279397e+02 
       5.674686708995e-04       2.458145816786e+02 
       6.068869868229e-04       2.620004434216e+02 
       6.491532049057e-04       2.792660950518e+02 
       6.944739488507e-04       2.976776272892e+02 
       7.430480277709e-04       3.172947870505e+02 
       7.950597906215e-04       3.381681700328e+02 
       8.506719676565e-04       3.603362441168e+02 
       9.100185105785e-04       3.838225465659e+02 
       9.731980682131e-04       4.086333654816e+02 
       1.040268778204e-03       4.347561597071e+02 
       1.111244985561e-03       4.621588356756e+02 
       1.186096309473e-03       4.907903614004e+02 
       1.264749198301e-03       5.205822149282e+02 
       1.347090796618e-03       5.514508778278e+02 
       1.432974667733e-03       5.833009981416e+02 
       1.477104874446e-03       5.995300461769e+02 
       1.522227729371e-03       6.160287815931e+02 
       1.614657698259e-03       6.495255540955e+02 
       1.710060395074e-03       6.836809324086e+02 
       1.808226400697e-03       7.183856017307e+02 
       1.908946732828e-03       7.535336249420e+02 
       2.012017387398e-03       7.890233880276e+02 
       2.117242733932e-03       8.247595808237e+02 
       2.224437855663e-03       8.606559305033e+02 
       2.333429983773e-03       8.966322965486e+02 
       2.444059198345e-03       9.326160746962e+02 
       2.556178566632e-03       9.685425606948e+02 
       2.669653872257e-03       1.004352269270e+03 
       2.784363064637e-03       1.039995129501e+03 
       2.900195532050e-03       1.075425379519e+03 
       3.017051277370e-03       1.110603286595e+03 
       3.134840054483e-03       1.145494136666e+03 
       3.253480506165e-03       1.180067703926e+03 
       3.372899330720e-03       1.214297758043e+03 
       3.493030494480e-03       1.248161634765e+03 
       3.613814499823e-03       1.281639854611e+03 
       3.735197713069e-03       1.314715778303e+03 
       3.857131753000e-03       1.347375299611e+03 
       3.979572938389e-03       1.379606583088e+03 
       4.102481791433e-03       1.411400255943e+03 
