# Matter power spectrum P(k) at redshift z=3
# for k=1.04224e-05 to 1.4771 h/Mpc,
# number of wavenumbers equal to 610
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.042244415558e-05       5.301011936140e+00 
       2.348460766993e-05       1.158048120474e+01 
       3.659352655384e-05       1.774198122046e+01 
       4.978547181138e-05       2.385596780140e+01 
       6.309732687896e-05       2.996208296168e+01 
       7.656692578574e-05       3.608984163380e+01 
       9.023340236011e-05       4.226438273565e+01 
       1.041375552500e-04       4.850881488508e+01 
       1.183222335600e-04       5.484541520254e+01 
       1.328327479433e-04       6.129635383180e+01 
       1.477173119870e-04       6.788419658878e+01 
       1.630275186519e-04       7.463229622551e+01 
       1.788188563073e-04       8.156512640026e+01 
       1.951512684563e-04       8.870858710827e+01 
       2.120897604558e-04       9.609029766537e+01 
       2.297050552488e-04       1.037398929812e+02 
       2.480742981394e-04       1.116892876883e+02 
       2.672818076937e-04       1.199730075501e+02 
       2.874198656201e-04       1.286284548738e+02 
       3.085895325794e-04       1.376962050555e+02 
       3.309014688607e-04       1.472202692209e+02 
       3.544767282663e-04       1.572483365666e+02 
       3.794474799738e-04       1.678319586229e+02 
       4.059575963491e-04       1.790266536793e+02 
       4.341630248273e-04       1.908918939998e+02 
       4.642318398748e-04       2.034909296932e+02 
       4.963438486100e-04       2.168904075082e+02 
       5.306896042903e-04       2.311596706368e+02 
       5.674686708995e-04       2.463698092020e+02 
       6.068869868229e-04       2.625922396342e+02 
       6.491532049057e-04       2.798969022581e+02 
       6.944739488507e-04       2.983500320254e+02 
       7.430480277709e-04       3.180115241175e+02 
       7.950597906215e-04       3.389320875115e+02 
       8.506719676565e-04       3.611502746393e+02 
       9.100185105785e-04       3.846896777313e+02 
       9.731980682131e-04       4.095566033397e+02 
       1.040268778204e-03       4.357384768193e+02 
       1.111244985561e-03       4.632031642429e+02 
       1.186096309473e-03       4.918995104742e+02 
       1.264749198301e-03       5.217588466962e+02 
       1.347090796618e-03       5.526974789957e+02 
       1.432974667733e-03       5.846198403513e+02 
       1.477104874446e-03       6.008857302909e+02 
       1.522227729371e-03       6.174219267412e+02 
       1.614657698259e-03       6.509948236231e+02 
       1.710060395074e-03       6.852279108569e+02 
       1.808226400697e-03       7.200116469811e+02 
       1.908946732828e-03       7.552398589252e+02 
       2.012017387398e-03       7.908107297204e+02 
       2.117242733932e-03       8.266287253492e+02 
       2.224437855663e-03       8.626074060949e+02 
       2.333429983773e-03       8.986664624117e+02 
       2.444059198345e-03       9.347331404915e+02 
       2.556178566632e-03       9.707380249413e+02 
       2.669653872257e-03       1.006635196160e+03 
       2.784363064637e-03       1.042360800266e+03 
       2.900195532050e-03       1.077873539027e+03 
       3.017051277370e-03       1.113133598892e+03 
       3.134840054483e-03       1.148106193454e+03 
       3.253480506165e-03       1.182761033289e+03 
       3.372899330720e-03       1.217071835971e+03 
       3.493030494480e-03       1.251015893672e+03 
       3.613814499823e-03       1.284573686675e+03 
       3.735197713069e-03       1.317728542406e+03 
       3.857131753000e-03       1.350466328337e+03 
       3.979572938389e-03       1.382775183147e+03 
