# Table of selected background quantities
# All densities are multiplied by (8piG/3) (below, shortcut notation (.) for this factor) 
# Densities are in units [Mpc^-2] while all distances are in [Mpc]. 
#    1:z                      2:proper time [Gyr]      3:conf. time [Mpc]       4:H [1/Mpc]              5:comov. dist.           6:ang.diam.dist.         7:lum. dist.             8:comov.snd.hrz.         9:(.)rho_g              10:(.)rho_b              11:(.)rho_cdm            12:(.)n_ncdm[0]          13:(.)rho_ncdm[0]        14:(.)p_ncdm[0]          15:(.)rho_lambda         16:(.)rho_ur             17:(.)rho_crit           18:(.)rho_dcdm           19:(.)rho_dr             20:gr.fac. D             21:gr.fac. f          
       9.999999999990e+11       7.558503616636e-22       4.634894139599e-07       2.157545951098e+18       1.321664221290e+04       1.321664221290e-08       1.321664221290e+16       2.675958159296e-07       2.751560535470e+36       2.451390603497e+27       1.112650056054e+25       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       3.524376497625e-08       1.903443976270e+36       4.655004531098e+36       1.689568680453e+28       1.548366760820e+02       5.566016620533e-18       2.000000000000e+12 
       9.930486593833e+11       7.664693033946e-22       4.667344910558e-07       2.127654532600e+18       1.321664221290e+04       1.330915870839e-08       1.312476883108e+16       2.694689866405e-07       2.675846458098e+36       2.400623788821e+27       1.089607747286e+25       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       3.524376497625e-08       1.851067333040e+36       4.526913810095e+36       1.654578736394e+28       1.537603536002e+02       7.765276399628e-08       1.433565615441e+02 
       9.861456399039e+11       7.772374306379e-22       4.700013960246e-07       2.098177240578e+18       1.321664221290e+04       1.340232281935e-08       1.303353409243e+16       2.713552695463e-07       2.602215788101e+36       2.350908324129e+27       1.067042630777e+25       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       3.524376497625e-08       1.800131926216e+36       4.402347732882e+36       1.620313412884e+28       1.526915130026e+02       1.553055279859e-07       7.167828077413e+01 
       9.792906056642e+11       7.881568393006e-22       4.732919478556e-07       2.069108337575e+18       1.321664221290e+04       1.349613907908e-08       1.294293355753e+16       2.732547564324e-07       2.530611196823e+36       2.302222436599e+27       1.044944824164e+25       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       3.524376497625e-08       1.750598097618e+36       4.281209312621e+36       1.586757703471e+28       1.516301022802e+02       2.329582919744e-07       4.778552051633e+01 
       9.724832231024e+11       7.992296547354e-22       4.766043275595e-07       2.040442165620e+18       1.321664221289e+04       1.359061205263e-08       1.285296281780e+16       2.751675397268e-07       2.460976933108e+36       2.254544804313e+27       1.023304649743e+25       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       3.524376497625e-08       1.702427280330e+36       4.163404231242e+36       1.553896912476e+28       1.505760697854e+02       3.106110559619e-07       3.583914038721e+01 
       9.657231609755e+11       8.104580321542e-22       4.799403541256e-07       2.012173145135e+18       1.321664221289e+04       1.368574633700e-08       1.276361749533e+16       2.770937125041e-07       2.393258779892e+36       2.207854546915e+27       1.002112630226e+25       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       3.524376497625e-08       1.655581968675e+36       4.048840766001e+36       1.521716648559e+28       1.495293642297e+02       3.882638199483e-07       2.867131230968e+01 
       9.590100903430e+11       8.218441570471e-22       4.833000275539e-07       1.984295773838e+18       1.321664221289e+04       1.378154656135e-08       1.267489324262e+16       2.790333684908e-07       2.327404011990e+36       2.162131216469e+27       9.813594845992e+24       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       3.524376497625e-08       1.610025689009e+36       3.937429718072e+36       1.490202818418e+28       1.484899346809e+02       4.659165839336e-07       2.389276025797e+01 
       9.523436845511e+11       8.333902456085e-22       4.866833478445e-07       1.956804625682e+18       1.321664221288e+04       1.387801738728e-08       1.258678574242e+16       2.809866020694e-07       2.263361355043e+36       2.117354788503e+27       9.610361240484e+24       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       3.524376497625e-08       1.565722971326e+36       3.829084343090e+36       1.459341620613e+28       1.474577305610e+02       5.435693479179e-07       2.047950879245e+01 
       9.457236192166e+11       8.450985451679e-22       4.900903149974e-07       1.929694349791e+18       1.321664221288e+04       1.397516350899e-08       1.249929070747e+16       2.829535082831e-07       2.201080945600e+36       2.073505653242e+27       9.411336479855e+24       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       3.524376497625e-08       1.522639321642e+36       3.723720283617e+36       1.429119539522e+28       1.464327016437e+02       6.212221119013e-07       1.791957019331e+01 
       9.391495722110e+11       8.569713346276e-22       4.935209290124e-07       1.902959669425e+18       1.321664221287e+04       1.407298965355e-08       1.241240388030e+16       2.849341828401e-07       2.140514292289e+36       2.030564607013e+27       9.216433401476e+24       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       3.524376497625e-08       1.480741195135e+36       3.621255503458e+36       1.399523339427e+28       1.454147980517e+02       6.988748758836e-07       1.592850683842e+01 
