# Matter power spectrum P(k) at redshift z=0
# for k=1.11761e-05 to 1.4771 h/Mpc,
# number of wavenumbers equal to 611
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.117609791201e-05       4.591441863330e+01 
       2.497738798977e-05       9.994967070222e+01 
       3.883431707341e-05       1.531706803214e+02 
       5.278970101421e-05       2.061291050166e+02 
       6.688716699074e-05       2.591543975732e+02 
       8.117159983798e-05       3.125034538994e+02 
       9.568960464383e-05       3.664029779173e+02 
       1.104899925932e-04       4.210671833571e+02 
       1.256242970856e-04       4.767071758175e+02 
       1.411473271812e-04       5.335369129487e+02 
       1.571177653857e-04       5.917775919017e+02 
       1.735988165695e-04       6.516612792654e+02 
       1.906589143168e-04       7.134341856198e+02 
       2.083724900450e-04       7.773597990478e+02 
       2.268208085828e-04       8.437219952646e+02 
       2.460928712571e-04       9.128281841377e+02 
       2.662863834822e-04       9.850125101445e+02 
       2.875087778831e-04       1.060639086042e+03 
       3.098782754583e-04       1.140105197748e+03 
       3.335249554831e-04       1.223844369334e+03 
       3.585917889877e-04       1.312329116491e+03 
       3.852355700169e-04       1.406073142363e+03 
       4.136276531101e-04       1.505632640450e+03 
       4.439543748295e-04       1.611606267685e+03 
       4.764170032759e-04       1.724633243719e+03 
       5.112310259158e-04       1.845388934384e+03 
       5.486245590996e-04       1.974577212132e+03 
       5.888356522210e-04       2.112918889230e+03 
       6.321082788453e-04       2.261135635532e+03 
       6.786868715107e-04       2.419929069783e+03 
       7.288093796333e-04       2.589955188513e+03 
       7.826990161105e-04       2.771794973014e+03 
       8.405550965546e-04       2.965922837141e+03 
       9.025436311553e-04       3.172675414347e+03 
       9.687885449430e-04       3.392223827827e+03 
       1.039364506935e-03       3.624552811822e+03 
       1.114292281943e-03       3.869449673243e+03 
       1.193537259212e-03       4.126505056234e+03 
       1.277011396512e-03       4.395125942891e+03 
       1.364578338679e-03       4.674559609117e+03 
       1.456061043269e-03       4.963925757077e+03 
       1.477104874446e-03       5.030119862382e+03 
       1.551250971951e-03       5.262253120968e+03 
       1.649917831242e-03       5.568516682376e+03 
       1.751818954155e-03       5.881672197860e+03 
       1.856707644329e-03       6.200685785622e+03 
       1.964340079548e-03       6.524557480410e+03 
       2.074480627611e-03       6.852338627003e+03 
       2.186905625107e-03       7.183122647628e+03 
       2.301405796283e-03       7.516108625327e+03 
       2.417787551160e-03       7.850557822354e+03 
       2.535873415172e-03       8.185798955920e+03 
       2.655501824489e-03       8.521230333699e+03 
       2.776526486957e-03       8.856315860467e+03 
       2.898815468991e-03       9.190580283180e+03 
       3.022250130616e-03       9.523604091449e+03 
       3.146723997518e-03       9.855018325781e+03 
       3.272141631776e-03       1.018449947255e+04 
       3.398417541823e-03       1.051176460152e+04 
       3.525475156451e-03       1.083656687418e+04 
       3.653245876322e-03       1.115869148987e+04 
       3.781668208605e-03       1.147795204550e+04 
       3.910686985115e-03       1.179418726851e+04 
       4.040252660972e-03       1.210725810892e+04 
       4.170320688866e-03       1.241704517782e+04 
       4.300850962934e-03       1.272344650496e+04 
       4.431807325896e-03       1.302637557108e+04 
       4.563157133076e-03       1.332575956649e+04 
       4.694870867221e-03       1.362153783226e+04 
       4.826921798406e-03       1.391366046569e+04 
       4.959285683824e-03       1.420208707438e+04 
       5.091940502740e-03       1.448678589831e+04 
       5.224866222387e-03       1.476773263008e+04 
       5.358044591056e-03       1.504490903001e+04 
       5.491458955064e-03       1.531830275955e+04 
       5.625094096690e-03       1.558790654813e+04 
       5.758936090503e-03       1.585371683026e+04 
       5.892972175863e-03       1.611573380304e+04 
       6.027190643605e-03       1.637396384694e+04 
       6.161580735220e-03       1.662841469841e+04 
       6.296132553010e-03       1.687909687081e+04 
       6.430836979928e-03       1.712602335811e+04 
       6.565685607949e-03       1.736920936540e+04 
       6.700670673972e-03       1.760867208272e+04 
       6.835785002392e-03       1.784443046025e+04 
       6.971021953555e-03       1.807650501119e+04 
       7.106375377453e-03       1.830491762695e+04 
       7.241839572037e-03       1.852969138943e+04 
       7.377409245672e-03       1.875085042058e+04 
       7.513079483242e-03       1.896841971774e+04 
       7.648845715536e-03       1.918242502501e+04 
       7.784703691540e-03       1.939289271277e+04 
       7.920649453341e-03       1.959984966766e+04 
       8.056679313364e-03       1.980332321800e+04 
       8.192789833693e-03       2.000334105139e+04 
       8.328977807269e-03       2.019993116684e+04 
       8.465240240779e-03       2.039312182663e+04 
       8.601574339045e-03       2.058294151736e+04 
       8.737977490797e-03       2.076941892484e+04 
       8.874447255658e-03       2.095258289444e+04 
       9.010981352258e-03       2.113246241416e+04 
       9.147577647340e-03       2.130908657006e+04 
       9.284234145784e-03       2.148248452489e+04 
       9.420948981453e-03       2.165268547391e+04 
       9.557720408788e-03       2.181971861333e+04 
       9.694546795084e-03       2.198361310000e+04 
       9.831426613387e-03       2.214439801868e+04 
       9.968358435946e-03       2.230210234886e+04 
       1.010534092819e-02       2.245675493959e+04 
       1.024237284318e-02       2.260838448966e+04 
       1.037945301644e-02       2.275701953683e+04 
       1.051658036129e-02       2.290268845410e+04 
       1.065375386438e-02       2.304541945476e+04 
       1.079097258171e-02       2.318524059557e+04 
       1.092823563487e-02       2.332217978627e+04 
       1.106554220752e-02       2.345626479658e+04 
       1.120289154226e-02       2.358752326189e+04 
       1.134028293757e-02       2.371598268701e+04 
       1.147771574511e-02       2.384167044309e+04 
       1.161518936712e-02       2.396461376185e+04 
       1.175270325405e-02       2.408483972168e+04 
       1.189025690238e-02       2.420237523598e+04 
       1.202784985251e-02       2.431724703209e+04 
       1.216548168692e-02       2.442948163212e+04 
       1.230315202838e-02       2.453910533875e+04 
       1.244086053829e-02       2.464614422333e+04 
       1.257860691518e-02       2.475062412022e+04 
       1.271639089328e-02       2.485257062950e+04 
       1.285421224122e-02       2.495200912731e+04 
       1.299207076078e-02       2.504896478277e+04 
       1.312996628578e-02       2.514346258131e+04 
       1.326789868105e-02       2.523552735094e+04 
       1.340586784141e-02       2.532518378917e+04 
       1.354387369078e-02       2.541245650612e+04 
       1.368191618139e-02       2.549737063223e+04 
       1.381999529294e-02       2.557994833885e+04 
       1.395811103195e-02       2.566021647213e+04 
       1.409626343106e-02       2.573819832883e+04 
       1.423445254845e-02       2.581391814800e+04 
       1.437267846728e-02       2.588740004675e+04 
       1.451094129519e-02       2.595866794014e+04 
       1.464924116379e-02       2.602774527081e+04 
       1.477104874446e-02       2.608677414969e+04 
       1.478757822833e-02       2.609465470899e+04 
       1.492595266724e-02       2.615941827177e+04 
       1.506436468178e-02       2.622205794188e+04 
       1.520281449582e-02       2.628259608267e+04 
       1.534130235546e-02       2.634105530645e+04 
