# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3100, i.e. number of multipoles equal to 3099
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       2.458769718261e-10       5.237925470340e-15       4.131485505602e-13       0.000000000000e+00       8.605130288218e-09       7.909262606988e-10      -2.131194770464e-12 
    3       2.246519620660e-10       7.158996415861e-15       5.374333050481e-13       0.000000000000e+00       5.366970562208e-09       5.701369908412e-10      -1.603626761782e-12 
    4       2.034962229329e-10       6.545462892441e-15       5.262752201925e-13       0.000000000000e+00       3.769788448886e-09       4.370822531768e-10      -1.066554318724e-12 
    5       1.866862063381e-10       4.609321530682e-15       4.468079695146e-13       0.000000000000e+00       2.833142433564e-09       3.488882321122e-10      -6.281922276630e-13 
    6       1.740104557253e-10       2.702498968584e-15       3.493427903463e-13       0.000000000000e+00       2.223829590952e-09       2.865219760859e-10      -3.001373792908e-13 
    7       1.645159256470e-10       1.478784533144e-15       2.618587757313e-13       0.000000000000e+00       1.800108221172e-09       2.402865623101e-10      -7.021552327696e-14 
    8       1.573464198382e-10       9.012143909367e-16       1.967490109484e-13       0.000000000000e+00       1.490905441795e-09       2.047941827406e-10       7.989068057946e-14 
    9       1.519837507114e-10       6.685471250541e-16       1.588727552392e-13       0.000000000000e+00       1.257230169757e-09       1.769070220474e-10       1.653190903892e-13 
   10       1.479700216842e-10       5.575360175704e-16       1.454154029701e-13       0.000000000000e+00       1.075923633871e-09       1.546556266592e-10       1.968814051075e-13 
   11       1.450346799384e-10       4.881014531014e-16       1.447982708249e-13       0.000000000000e+00       9.198659683663e-10       1.363773868790e-10       1.875338032207e-13 
