# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2600, i.e. number of multipoles equal to 2599
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       2.458774535386e-10       5.238150809529e-15       4.131485463779e-13       2.253389922991e-19       8.605130288218e-09       7.909262606988e-10      -2.131194770464e-12 
    3       2.246529247705e-10       7.159447126456e-15       5.374332864154e-13       4.507086558962e-19       5.366970562208e-09       5.701369908412e-10      -1.603626761782e-12 
    4       2.034978258302e-10       6.546214153858e-15       5.262751666757e-13       7.512518695111e-19       3.769788448886e-09       4.370822531768e-10      -1.066554318724e-12 
    5       1.866886076443e-10       4.610448580108e-15       4.468078476596e-13       1.127016639476e-18       2.833142433564e-09       3.488882321122e-10      -6.281922276630e-13 
    6       1.740138124063e-10       2.704077126976e-15       3.493425508829e-13       1.578068668128e-18       2.223829590952e-09       2.865219760859e-10      -3.001373792908e-13 
    7       1.645203931434e-10       1.480889237344e-15       2.618583510528e-13       2.104494566228e-18       1.800108221172e-09       2.402865623101e-10      -7.021552327696e-14 
    8       1.573521517808e-10       9.039212316686e-16       1.967483129029e-13       2.706405163228e-18       1.490905441795e-09       2.047941827406e-10       7.989068057946e-14 
    9       1.519908986281e-10       6.719318899429e-16       1.588716732527e-13       3.383938666003e-18       1.257230169757e-09       1.769070220474e-10       1.653190903892e-13 
   10       1.479787347017e-10       5.616747376848e-16       1.454138025132e-13       4.137263411640e-18       1.075923633871e-09       1.546556266592e-10       1.968814051075e-13 
   11       1.450451044825e-10       4.930704509793e-16       1.447959922213e-13       4.966579968362e-18       9.198659683663e-10       1.363773868790e-10       1.875338032207e-13 
   12       1.430651425278e-10       4.512398390519e-16       1.455151769235e-13       5.872122360596e-18       8.050042779919e-10       1.226034698554e-10       1.437303003597e-13 
   13       1.417029681770e-10       4.283064827562e-16       1.442286192787e-13       6.854158228667e-18       7.105668701554e-10       1.097171777600e-10       8.974765847590e-14 
   14       1.407988186613e-10       4.132065515410e-16       1.426101803377e-13       7.912987779214e-18       6.318649134689e-10       9.825977528645e-11       3.809821344138e-14 
   15       1.403550047935e-10       3.987888724926e-16       1.419124034084e-13       9.048941437172e-18       5.654316258132e-10       9.022295307557e-11       7.587126249307e-16 
   16       1.402370877049e-10       3.872452615629e-16       1.422466748319e-13       1.026237617169e-17       5.085998490397e-10       8.173977804977e-11      -1.884876079358e-14 
   17       1.403556170335e-10       3.888557852775e-16       1.437780134660e-13       1.155367053368e-17       4.598570512065e-10       7.401138974805e-11      -2.389506375110e-14 
   18       1.406776259042e-10       4.151617608700e-16       1.471158301469e-13       1.292321923266e-17       4.175576832753e-10       6.776824218694e-11      -1.909664926657e-14 
   19       1.412436065839e-10       4.686221367097e-16       1.525033851333e-13       1.437142235498e-17       3.809985956542e-10       6.267587057840e-11      -1.059568876757e-14 
   20       1.420269054998e-10       5.470350068747e-16       1.598159551735e-13       1.589868516376e-17       3.488002185717e-10       5.809983313579e-11      -5.562413138674e-15 
   21       1.429995393310e-10       6.471789356012e-16       1.686275305972e-13       1.750539981309e-17       3.203812682364e-10       5.376489703880e-11      -4.921289918823e-15 
   22       1.440899485961e-10       7.648252428154e-16       1.782974141992e-13       1.919194603952e-17       2.949763833152e-10       4.951277373686e-11      -7.232334688057e-15 
   23       1.453117411093e-10       8.990621917109e-16       1.884987510395e-13       2.095867389240e-17       2.723486394920e-10       4.563516177755e-11      -1.128709430344e-14 
