# Matter power spectrum P(k) at redshift z=0
# for k=1.01338e-05 to 1.4771 h/Mpc,
# number of wavenumbers equal to 609
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.013377456655e-05       4.284486775745e+01 
       2.294230330421e-05       9.444030234977e+01 
       3.579469204984e-05       1.452166517888e+02 
       4.872513065057e-05       1.956875376889e+02 
       6.176836224554e-05       2.461485202902e+02 
       7.495998959935e-05       2.968541694853e+02 
       8.833679104763e-05       3.479426968651e+02 
       1.019370502164e-04       3.996189988386e+02 
       1.158009037089e-04       4.520576182282e+02 
       1.299707109862e-04       5.050701452432e+02 
       1.444914506785e-04       5.597334487019e+02 
       1.594111475102e-04       6.155031840250e+02 
       1.747813338635e-04       6.727654708383e+02 
       1.906575496664e-04       7.317151997862e+02 
       2.070998836858e-04       7.925907672405e+02 
       2.241735583157e-04       8.549597718684e+02 
       2.419495584101e-04       9.203318062789e+02 
       2.605053024267e-04       9.883782805028e+02 
       2.799253508548e-04       1.059020416617e+03 
       3.003021423091e-04       1.133274837666e+03 
       3.217367414033e-04       1.211163460383e+03 
       3.443395742114e-04       1.293065661624e+03 
       3.682311164023e-04       1.379392218226e+03 
       3.935424857409e-04       1.469541714813e+03 
       4.204158745512e-04       1.566593538235e+03 
       4.490047393809e-04       1.667621394940e+03 
       4.794736456209e-04       1.776331820555e+03 
       5.119976464838e-04       1.890125852367e+03 
       5.467610621729e-04       2.013774255868e+03 
       5.839555216041e-04       2.142454240061e+03 
       6.237771424958e-04       2.280934001676e+03 
       6.664227635687e-04       2.428895216832e+03 
       7.120852115351e-04       2.585485104832e+03 
       7.609476882096e-04       2.752255436816e+03 
       8.131774947738e-04       2.929525951542e+03 
       8.689194558736e-04       3.117620239976e+03 
       9.282895393797e-04       3.316249743919e+03 
       9.913692540377e-04       3.525730824700e+03 
       1.058201413398e-03       3.745353310381e+03 
       1.128787759873e-03       3.975402848376e+03 
       1.203088751087e-03       4.215344204008e+03 
       1.281025553506e-03       4.464408732145e+03 
       1.362484018473e-03       4.722043270865e+03 
       1.447320191040e-03       4.987335602800e+03 
       1.477104874446e-03       5.079811696320e+03 
       1.535366766148e-03       5.259537247656e+03 
       1.626439877125e-03       5.537584315947e+03 
       1.720345666764e-03       5.820639025378e+03 
       1.816886220426e-03       6.107926756131e+03 
       1.915864595709e-03       6.398581279212e+03 
       2.017088831474e-03       6.691454191993e+03 
       2.120374939163e-03       6.986029119375e+03 
       2.225548962542e-03       7.281686143055e+03 
       2.332448239367e-03       7.577679273364e+03 
       2.440922016502e-03       7.873424769193e+03 
       2.550831567507e-03       8.168388040235e+03 
       2.662049946733e-03       8.462169873641e+03 
       2.774461493054e-03       8.754273673376e+03 
       2.887961174107e-03       9.044314942717e+03 
       3.002453840905e-03       9.332047417863e+03 
       3.117853444498e-03       9.617164951313e+03 
       3.234082251368e-03       9.899458141748e+03 
       3.351070082397e-03       1.017865070336e+04 
       3.468753591236e-03       1.045457482168e+04 
       3.587075591264e-03       1.072715097934e+04 
       3.705984435537e-03       1.099611088766e+04 
       3.825433450844e-03       1.126145620865e+04 
       3.945380424747e-03       1.152305476278e+04 
       4.065787143148e-03       1.178084260453e+04 
       4.186618975047e-03       1.203475547743e+04 
       4.307844500789e-03       1.228473506955e+04 
       4.429435179969e-03       1.253073774398e+04 
       4.551365055185e-03       1.277275933740e+04 
       4.673610488041e-03       1.301076216654e+04 
       4.796149923994e-03       1.324471168615e+04 
       4.918963682951e-03       1.347464746288e+04 
       5.042033772742e-03       1.370054742728e+04 
       5.165343722954e-03       1.392241281831e+04 
       5.288878436779e-03       1.414029683186e+04 
       5.412624058873e-03       1.435421247688e+04 
       5.536567857360e-03       1.456413494581e+04 
       5.660698118409e-03       1.477005894892e+04 
       5.785004051911e-03       1.497200186260e+04 
       5.909475707030e-03       1.516998288798e+04 
       6.034103896489e-03       1.536409124595e+04 
       6.158880128619e-03       1.555445513044e+04 
       6.283796546300e-03       1.574110636059e+04 
       6.408845872027e-03       1.592456290423e+04 
       6.534021358436e-03       1.610483123843e+04 
       6.659316743674e-03       1.627913742997e+04 
       6.784726211118e-03       1.645276074564e+04 
       6.910244352940e-03       1.661816870771e+04 
       7.035866137147e-03       1.678433744414e+04 
       7.161586877698e-03       1.694700432067e+04 
       7.287402207400e-03       1.710620469308e+04 
       7.413308053280e-03       1.726197394256e+04 
       7.539300614200e-03       1.740624349581e+04 
       7.665376340463e-03       1.755453148202e+04 
       7.791531915232e-03       1.769593338948e+04 
       7.917764237577e-03       1.784059878439e+04 
       8.044070406982e-03       1.797401095056e+04 
       8.170447709187e-03       1.811248585261e+04 
       8.296893603219e-03       1.823772191915e+04 
       8.423405709516e-03       1.836392977166e+04 
       8.549981799034e-03       1.849023385143e+04 
       8.676619783237e-03       1.860988636199e+04 
       8.803317704917e-03       1.872999076790e+04 
       8.930073729728e-03       1.884534544996e+04 
       9.056886138414e-03       1.895434551801e+04 
       9.183753319633e-03       1.906552191219e+04 
       9.310673763350e-03       1.917383149903e+04 
       9.437646054728e-03       1.927403168873e+04 
       9.564668868505e-03       1.937659154615e+04 
       9.691740963774e-03       1.946928350467e+04 
       9.818861179176e-03       1.956204260870e+04 
       9.946028428436e-03       1.965610914061e+04 
       1.007324169624e-02       1.974391244497e+04 
       1.020050003440e-02       1.983492059391e+04 
       1.032780255834e-02       1.991617533673e+04 
       1.045514844373e-02       1.999421022877e+04 
       1.058253692354e-02       2.007262975732e+04 
       1.070996728512e-02       2.014888681747e+04 
       1.083743886758e-02       2.022288929363e+04 
       1.096495105938e-02       2.029265312797e+04 
       1.109250329603e-02       2.036093412383e+04 
       1.122009505795e-02       2.042888430669e+04 
       1.134772586855e-02       2.049446316986e+04 
       1.147539529239e-02       2.055245680018e+04 
       1.160310293343e-02       2.061359117248e+04 
       1.173084843349e-02       2.066745124180e+04 
       1.185863147080e-02       2.072287203988e+04 
       1.198645175856e-02       2.077252022675e+04 
       1.211430904370e-02       2.082460804093e+04 
       1.224220310574e-02       2.087013208974e+04 
       1.237013375559e-02       2.091906791217e+04 
       1.249810083461e-02       2.095862689037e+04 
       1.262610421365e-02       2.099946784073e+04 
