# Table of selected background quantities
# All densities are multiplied by (8piG/3) (below, shortcut notation (.) for this factor) 
# Densities are in units [Mpc^-2] while all distances are in [Mpc]. 
#    1:z                      2:proper time [Gyr]      3:conf. time [Mpc]       4:H [1/Mpc]              5:comov. dist.           6:ang.diam.dist.         7:lum. dist.             8:comov.snd.hrz.         9:(.)rho_g              10:(.)rho_b              11:(.)rho_cdm            12:(.)rho_lambda         13:(.)rho_ur             14:(.)rho_crit           15:gr.fac. D             16:gr.fac. f          
       9.999999999990e+11       7.558503619577e-22       4.634894139599e-07       2.157545950258e+18       1.419802545435e+04       1.419802545435e-08       1.419802545435e+16       2.675958160337e-07       2.751560535470e+36       2.451390603497e+27       1.328504166928e+28       3.525489147681e-08       1.903443976270e+36       4.655004527476e+36       7.026154882498e-18       2.000000000000e+12 
       9.930486593833e+11       7.664693036928e-22       4.667344910558e-07       2.127654531767e+18       1.419802545435e+04       1.429741163253e-08       1.409933014334e+16       2.694689867453e-07       2.675846458098e+36       2.400623788821e+27       1.300991650260e+28       3.525489147681e-08       1.851067333040e+36       4.526913806548e+36       9.802348503223e-08       1.433565615445e+02 
       9.861456399039e+11       7.772374309403e-22       4.700013960246e-07       2.098177239751e+18       1.419802545434e+04       1.439749351395e-08       1.400132089706e+16       2.713552696519e-07       2.602215788101e+36       2.350908324129e+27       1.274048901148e+28       3.525489147681e-08       1.800131926216e+36       4.402347729409e+36       1.960469700563e-07       7.167828077442e+01 
       9.792906056642e+11       7.881568396073e-22       4.732919478556e-07       2.069108336753e+18       1.419802545434e+04       1.449827596855e-08       1.390399294643e+16       2.732547565388e-07       2.530611196823e+36       2.302222436599e+27       1.247664120052e+28       3.525489147681e-08       1.750598097618e+36       4.281209309220e+36       2.940704550793e-07       4.778552051658e+01 
       9.724832231024e+11       7.992296550465e-22       4.766043275595e-07       2.040442164804e+18       1.419802545434e+04       1.459976390032e-08       1.380734155554e+16       2.751675398338e-07       2.460976933108e+36       2.254544804313e+27       1.221825751793e+28       3.525489147681e-08       1.702427280330e+36       4.163404227911e+36       3.920939401011e-07       3.583914038745e+01 
       9.657231609756e+11       8.104580324698e-22       4.799403541256e-07       2.012173144324e+18       1.419802545433e+04       1.470196224762e-08       1.371136202138e+16       2.770937126119e-07       2.393258779892e+36       2.207854546915e+27       1.196522480491e+28       3.525489147681e-08       1.655581968675e+36       4.048840762740e+36       4.901174251219e-07       2.867131230991e+01 
       9.590100903431e+11       8.218441573673e-22       4.833000275539e-07       1.984295773033e+18       1.419802545433e+04       1.480487598335e-08       1.361604967366e+16       2.790333685994e-07       2.327404011990e+36       2.162131216469e+27       1.171743224612e+28       3.525489147681e-08       1.610025689009e+36       3.937429714879e+36       5.881409101416e-07       2.389276025819e+01 
       9.523436845512e+11       8.333902459333e-22       4.866833478445e-07       1.956804624883e+18       1.419802545433e+04       1.490851011523e-08       1.352139987454e+16       2.809866021788e-07       2.263361355044e+36       2.117354788504e+27       1.147477132114e+28       3.525489147681e-08       1.565722971327e+36       3.829084339963e+36       6.861643951602e-07       2.047950879266e+01 
       9.457236192166e+11       8.450985454975e-22       4.900903149974e-07       1.929694348998e+18       1.419802545432e+04       1.501286968604e-08       1.342740801841e+16       2.829535083933e-07       2.201080945601e+36       2.073505653242e+27       1.123713575695e+28       3.525489147681e-08       1.522639321643e+36       3.723720280554e+36       7.841878801778e-07       1.791957019351e+01 
       9.391495722111e+11       8.569713349621e-22       4.935209290124e-07       1.902959668637e+18       1.419802545432e+04       1.511795977384e-08       1.333406953168e+16       2.849341829512e-07       2.140514292289e+36       2.030564607014e+27       1.100442148136e+28       3.525489147681e-08       1.480741195135e+36       3.621255500460e+36       8.822113651944e-07       1.592850683862e+01 
       9.326212236455e+11       8.690109252457e-22       4.969751898898e-07       1.876595380165e+18       1.419802545432e+04       1.522378549225e-08       1.324137987257e+16       2.869287222310e-07       2.081614238065e+36       1.988512843845e+27       1.077652657748e+28       3.525489147681e-08       1.439995970027e+36       3.521610220857e+36       9.802348502101e-07       1.433565615470e+01 
       9.261382558545e+11       8.812196597331e-22       5.004530976294e-07       1.850596352039e+18       1.419802545431e+04       1.533035199069e-08       1.314933453085e+16       2.889372232857e-07       2.024334923491e+36       1.947331947222e+27       1.055335123903e+28       3.525489147681e-08       1.400371922188e+36       3.424706858180e+36       1.078258335225e-06       1.303241468604e+01 
       9.197003533808e+11       8.935999147312e-22       5.039564712206e-07       1.824957523810e+18       1.419802545431e+04       1.543766445463e-08       1.305792902765e+16       2.909597838477e-07       1.968631751037e+36       1.907003882026e+27       1.033479772667e+28       3.525489147681e-08       1.361838200433e+36       3.330469963712e+36       1.176281820238e-06       1.194638012882e+01 
       9.133072029600e+11       9.061540999315e-22       5.074853106635e-07       1.799673905140e+18       1.419802545431e+04       1.554572810580e-08       1.296715891524e+16       2.929965023337e-07       1.914461350353e+36       1.867510986635e+27       1.012077032517e+28       3.525489147681e-08       1.324364802502e+36       3.238826164843e+36       1.274305305251e-06       1.102742781117e+01 
       9.069584935054e+11       9.188846588796e-22       5.110377969686e-07       1.774740574828e+18       1.419802545430e+04       1.565454820254e-08       1.287701977680e+16       2.950474778490e-07       1.861781544498e+36       1.828835965188e+27       9.911175301537e+27       3.525489147681e-08       1.287922551702e+36       3.149704107940e+36       1.372328790263e-06       1.023975439605e+01 
       9.006539160927e+11       9.317940694501e-22       5.146139301360e-07       1.750152679852e+18       1.419802545430e+04       1.576413003996e-08       1.278750722621e+16       2.971128101929e-07       1.810551317108e+36       1.790961880011e+27       9.705920863896e+27       3.525489147681e-08       1.252483074187e+36       3.063034402791e+36       1.470352275274e-06       9.557104102945e+00 
       8.943931639451e+11       9.448848443296e-22       5.182173481444e-07       1.725905434426e+18       1.419802545429e+04       1.587447895023e-08       1.269861690785e+16       2.991925998632e-07       1.760730780455e+36       1.753872144200e+27       9.504917121343e+27       3.525489147681e-08       1.218018776868e+36       2.978749568582e+36       1.568375760284e-06       8.959785096478e+00 
       8.881759324181e+11       9.581595315053e-22       5.218444130151e-07       1.701994119070e+18       1.419802545429e+04       1.598560030288e-08       1.261034449637e+16       3.012869480611e-07       1.712281144394e+36       1.717550514353e+27       9.308076044557e+27       3.525489147681e-08       1.184502825929e+36       2.896783981349e+36       1.666399245293e-06       8.432738914303e+00 
       8.820019189852e+11       9.716207147608e-22       5.254969437374e-07       1.678414079687e+18       1.419802545429e+04       1.609749950500e-08       1.252268569650e+16       3.033959566964e-07       1.665164686160e+36       1.681981083461e+27       9.115311427252e+27       3.525489147681e-08       1.151909125934e+36       2.817073822891e+36       1.764422730301e-06       7.964253419037e+00 
       8.758708232226e+11       9.852710141798e-22       5.291749403113e-07       1.655160726660e+18       1.419802545428e+04       1.621018200153e-08       1.243563624279e+16       3.055197283921e-07       1.619344720995e+36       1.647148273940e+27       8.926538848421e+27       3.525489147681e-08       1.120212299511e+36       2.739557031079e+36       1.862446215309e-06       7.545082186431e+00 
       8.697823467949e+11       9.991130866550e-22       5.328802217264e-07       1.632229533960e+18       1.419802545428e+04       1.632365327554e-08       1.234919189949e+16       3.076583664897e-07       1.574785573588e+36       1.613036830807e+27       8.741675635364e+27       3.525489147681e-08       1.089387667588e+36       2.664173251531e+36       1.960469700316e-06       7.167828077087e+00 
       8.637361934408e+11       1.013149626406e-21       5.366109689930e-07       1.609616038261e+18       1.419802545428e+04       1.643791884846e-08       1.226334846027e+16       3.098119750539e-07       1.531452550300e+36       1.579631815001e+27       8.560640827484e+27       3.525489147681e-08       1.059411230185e+36       2.590863790626e+36       2.058493185322e-06       6.826502930538e+00 
       8.577320689581e+11       1.027383365504e-21       5.403671821114e-07       1.587315838073e+18       1.419802545427e+04       1.655298428040e-08       1.217810174803e+16       3.119806588780e-07       1.489311912146e+36       1.546918596840e+27       8.383355140829e+27       3.525489147681e-08       1.030259647723e+36       2.519571569799e+36       2.156516670327e-06       6.516207342768e+00 
