# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3100, i.e. number of multipoles equal to 3099
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.453567407330e-10       4.730016754719e-15       3.812382573283e-13       0.000000000000e+00       8.571795285172e-09       4.784273622617e-10      -2.006302361337e-12 
    3       1.373836689007e-10       6.414942348065e-15       4.380202836248e-13       0.000000000000e+00       5.298567251913e-09       3.402458529727e-10      -1.572295521464e-12 
    4       1.298006300443e-10       5.896674917385e-15       4.179653658141e-13       0.000000000000e+00       3.695416314262e-09       2.578609935934e-10      -1.077709212475e-12 
    5       1.240804917895e-10       4.192355875993e-15       3.626607778284e-13       0.000000000000e+00       2.762447016731e-09       2.037470441882e-10      -6.441509605256e-13 
    6       1.201090026511e-10       2.470521386191e-15       2.969588909603e-13       0.000000000000e+00       2.159756274893e-09       1.658548068540e-10      -3.082163277946e-13 
    7       1.175451370016e-10       1.340566290344e-15       2.358453906439e-13       0.000000000000e+00       1.742601306331e-09       1.380502326814e-10      -7.780289289400e-14 
    8       1.159683741540e-10       8.141824939781e-16       1.865917545345e-13       0.000000000000e+00       1.439325322243e-09       1.169140124978e-10       5.591300661706e-14 
    9       1.151876630710e-10       6.287604957910e-16       1.516168998726e-13       0.000000000000e+00       1.211182797836e-09       1.004441323920e-10       1.114623082527e-13 
   10       1.150089300441e-10       5.462558311508e-16       1.303256425433e-13       0.000000000000e+00       1.035085879311e-09       8.737651607597e-11       1.119904405266e-13 
   11       1.152425349560e-10       4.679122740336e-16       1.205060092868e-13       0.000000000000e+00       8.741086212455e-10       7.708448536808e-11       8.103491007951e-14 
   12       1.158607741587e-10       3.971764225678e-16       1.191948563353e-13       0.000000000000e+00       7.639572408898e-10       6.831775857236e-11       3.861105025090e-14 
   13       1.167273617825e-10       3.598084619078e-16       1.233710189818e-13       0.000000000000e+00       6.735145881186e-10       6.096241117710e-11      -8.151253205663e-16 
   14       1.177793609476e-10       3.597513413983e-16       1.305894329877e-13       0.000000000000e+00       5.982415351640e-10       5.469332968514e-11      -2.875373706462e-14 
   15       1.190295523697e-10       3.822005992148e-16       1.390850819134e-13       0.000000000000e+00       5.348707923413e-10       4.939458564501e-11      -4.222104599617e-14 
   16       1.204277083700e-10       4.144564543676e-16       1.477805336945e-13       0.000000000000e+00       4.809813115102e-10       4.485576946353e-11      -4.275840428187e-14 
   17       1.219434302914e-10       4.565196085845e-16       1.563206196363e-13       0.000000000000e+00       4.347437071702e-10       4.086318027147e-11      -3.459119793386e-14 
   18       1.235616225527e-10       5.169930426797e-16       1.646724537424e-13       0.000000000000e+00       3.946033566462e-10       3.734725888814e-11      -2.274169138947e-14 
   19       1.252862891364e-10       6.007286441009e-16       1.730921261856e-13       0.000000000000e+00       3.599251807511e-10       3.427043823725e-11      -1.098040265287e-14 
   20       1.270706347705e-10       7.098264899693e-16       1.819239615510e-13       0.000000000000e+00       3.293777699977e-10       3.152055862912e-11      -2.914394187799e-15 
   21       1.289253835296e-10       8.423926489426e-16       1.913017306554e-13       0.000000000000e+00       3.024829747815e-10       2.909411699829e-11       4.517562020293e-16 
   22       1.308469814356e-10       9.948020113238e-16       2.012289418182e-13       0.000000000000e+00       2.785979763136e-10       2.697770505865e-11      -6.159764379020e-16 
   23       1.328337285119e-10       1.167168502501e-15       2.115187322284e-13       0.000000000000e+00       2.573951997887e-10       2.511591723541e-11      -4.747645199991e-15 
   24       1.348626233723e-10       1.360459076652e-15       2.218349457617e-13       0.000000000000e+00       2.383855535381e-10       2.341600513207e-11      -9.920539696019e-15 
   25       1.369332728156e-10       1.574401999700e-15       2.317206060839e-13       0.000000000000e+00       2.213464054701e-10       2.184947836715e-11      -1.463594952467e-14 
   26       1.390386778231e-10       1.808362412596e-15       2.406782837757e-13       0.000000000000e+00       2.059704168621e-10       2.039894994335e-11      -1.755924566924e-14 
   27       1.411886178800e-10       2.063154432419e-15       2.485401223122e-13       0.000000000000e+00       1.920739151274e-10       1.908071058120e-11      -1.830382193527e-14 
   28       1.433867781198e-10       2.340206400343e-15       2.552528075032e-13       0.000000000000e+00       1.794180185866e-10       1.790883932837e-11      -1.693959650446e-14 
   29       1.456366407218e-10       2.641475668708e-15       2.607900265227e-13       0.000000000000e+00       1.679382472451e-10       1.686824338488e-11      -1.412648164585e-14 
   30       1.479270740934e-10       2.969302427547e-15       2.651536854772e-13       0.000000000000e+00       1.575113101967e-10       1.591924230342e-11      -1.092123784046e-14 
   31       1.502362949569e-10       3.326003425436e-15       2.683756095593e-13       0.000000000000e+00       1.479245847447e-10       1.501506976874e-11      -8.449205420647e-15 
   32       1.525697451635e-10       3.712629402492e-15       2.705189769557e-13       0.000000000000e+00       1.391288832132e-10       1.415929787874e-11      -7.002516218021e-15 
   33       1.549337510139e-10       4.129728063055e-15       2.716816279503e-13       0.000000000000e+00       1.310624835874e-10       1.336861670361e-11      -6.608304410296e-15 
   34       1.573269495040e-10       4.577766423594e-15       2.719457888438e-13       0.000000000000e+00       1.236130224856e-10       1.265417847619e-11      -7.198883991125e-15 
   35       1.597490270758e-10       5.057541792103e-15       2.711961851717e-13       0.000000000000e+00       1.167425177097e-10       1.200963001246e-11      -8.407042577015e-15 
   36       1.621931782367e-10       5.569901057175e-15       2.692358912079e-13       0.000000000000e+00       1.103958965691e-10       1.141783902808e-11      -9.685445433545e-15 
   37       1.646490900908e-10       6.115653863033e-15       2.658645420948e-13       0.000000000000e+00       1.044906287614e-10       1.085931135318e-11      -1.048598538627e-14 
   38       1.671246044442e-10       6.695663135769e-15       2.609916604556e-13       0.000000000000e+00       9.901153826727e-11       1.033267401821e-11      -1.072283206564e-14 
   39       1.696300708305e-10       7.310778534563e-15       2.545592940435e-13       0.000000000000e+00       9.394134101970e-11       9.840331958409e-12      -1.045900308281e-14 
