# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2600, i.e. number of multipoles equal to 2599
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.453572574296e-10       4.730272423972e-15       3.812382528943e-13       2.556691172174e-19       8.571795285172e-09       4.784273622617e-10      -2.006302361337e-12 
    3       1.373846998115e-10       6.415453747155e-15       4.380202638644e-13       5.113977466379e-19       5.298567251913e-09       3.402458529727e-10      -1.572295521464e-12 
    4       1.298023427800e-10       5.897527386711e-15       4.179653090346e-13       8.524627166391e-19       3.695416314262e-09       2.578609935934e-10      -1.077709212475e-12 
    5       1.240830508353e-10       4.193634844418e-15       3.626606484781e-13       1.278945761811e-18       2.762447016731e-09       2.037470441882e-10      -6.441509605256e-13 
    6       1.201125687390e-10       2.472312398976e-15       2.969586366138e-13       1.790950878985e-18       2.159756274893e-09       1.658548068540e-10      -3.082163277946e-13 
    7       1.175498665764e-10       1.342955039910e-15       2.358449392603e-13       2.388605248377e-18       1.742601306331e-09       1.380502326814e-10      -7.780289289400e-14 
    8       1.159744189446e-10       8.172548531065e-16       1.865910120264e-13       3.072060062828e-18       1.439325322243e-09       1.169140124978e-10       5.591300661706e-14 
    9       1.151951697753e-10       6.326025524621e-16       1.516157480110e-13       3.841491140960e-18       1.211182797836e-09       1.004441323920e-10       1.114623082527e-13 
   10       1.150180401295e-10       5.509539238103e-16       1.303239372148e-13       4.697099199533e-18       1.035085879311e-09       8.737651607597e-11       1.119904405266e-13 
   11       1.152533845767e-10       4.735530257326e-16       1.205035791086e-13       5.639109667227e-18       8.741086212455e-10       7.708448536808e-11       8.103491007951e-14 
   12       1.158734941851e-10       4.038467721257e-16       1.191915016246e-13       6.667771936212e-18       7.639572408898e-10       6.831775857236e-11       3.861105025090e-14 
   13       1.167420779339e-10       3.675956900542e-16       1.233665110670e-13       7.783357968815e-18       6.735145881186e-10       6.096241117710e-11      -8.151253205663e-16 
   14       1.177961940187e-10       3.687430897679e-16       1.305835138423e-13       8.986160203452e-18       5.982415351640e-10       5.469332968514e-11      -2.875373706462e-14 
   15       1.190486185348e-10       3.924848801102e-16       1.390774640861e-13       1.027648873550e-17       5.348707923413e-10       4.939458564501e-11      -4.222104599617e-14 
   16       1.204491195494e-10       4.261216493788e-16       1.477709005066e-13       1.165466778368e-17       4.809813115102e-10       4.485576946353e-11      -4.275840428187e-14 
   17       1.219672945628e-10       4.696544544569e-16       1.563086256141e-13       1.312103148900e-17       4.347437071702e-10       4.086318027147e-11      -3.459119793386e-14 
   18       1.235880445948e-10       5.316866042956e-16       1.646577252653e-13       1.467591952766e-17       3.946033566462e-10       3.734725888814e-11      -2.274169138947e-14 
   19       1.253153706372e-10       6.170702676073e-16       1.730742622378e-13       1.631966987096e-17       3.599251807511e-10       3.427043823725e-11      -1.098040265287e-14 
   20       1.271024749154e-10       7.279057522516e-16       1.819025347693e-13       1.805261744992e-17       3.293777699977e-10       3.152055862912e-11      -2.914394187799e-15 
   21       1.289600793328e-10       8.622992801645e-16       1.912762882964e-13       1.987508319831e-17       3.024829747815e-10       2.909411699829e-11       4.517562020293e-16 
   22       1.308846281633e-10       1.016625815095e-15       2.011990070483e-13       2.178737318822e-17       2.785979763136e-10       2.697770505865e-11      -6.159764379020e-16 
   23       1.328744199018e-10       1.190999257547e-15       2.114838052918e-13       2.378976895587e-17       2.573951997887e-10       2.511591723541e-11      -4.747645199991e-15 
   24       1.349064519455e-10       1.386386435594e-15       2.217945054815e-13       2.588252654352e-17       2.383855535381e-10       2.341600513207e-11      -9.920539696019e-15 
   25       1.369803299313e-10       1.602515382006e-15       2.316741112363e-13       2.806586910782e-17       2.213464054701e-10       2.184947836715e-11      -1.463594952467e-14 
   26       1.390890538468e-10       1.838750890994e-15       2.406251748094e-13       3.033998543366e-17       2.059704168621e-10       2.039894994335e-11      -1.755924566924e-14 
   27       1.412424021154e-10       2.095906624583e-15       2.484798230285e-13       3.270502574492e-17       1.920739151274e-10       1.908071058120e-11      -1.830382193527e-14 
   28       1.434440588123e-10       2.375410358837e-15       2.551847270642e-13       3.516110099557e-17       1.794180185866e-10       1.790883932837e-11      -1.693959650446e-14 
   29       1.456975047348e-10       2.679218816765e-15       2.607135615605e-13       3.770828841079e-17       1.679382472451e-10       1.686824338488e-11      -1.412648164585e-14 
   30       1.479916068033e-10       3.009671453428e-15       2.650682224748e-13       4.034662232987e-17       1.575113101967e-10       1.591924230342e-11      -1.092123784046e-14 
   31       1.503045801375e-10       3.369084188092e-15       2.682805275461e-13       4.307609651154e-17       1.479245847447e-10       1.501506976874e-11      -8.449205420647e-15 
   32       1.526418645329e-10       3.758506944934e-15       2.704136507246e-13       4.589668954819e-17       1.391288832132e-10       1.415929787874e-11      -7.002516218021e-15 
   33       1.550097839497e-10       4.178486552060e-15       2.715654312503e-13       4.880834421156e-17       1.310624835874e-10       1.336861670361e-11      -6.608304410296e-15 
   34       1.574069727971e-10       4.629489095204e-15       2.718180979311e-13       5.181096994872e-17       1.236130224856e-10       1.265417847619e-11      -7.198883991125e-15 
   35       1.598331146163e-10       5.112311024134e-15       2.710563834349e-13       5.490448350304e-17       1.167425177097e-10       1.200963001246e-11      -8.407042577015e-15 
   36       1.622814006947e-10       5.627798358775e-15       2.690833734376e-13       5.808877957318e-17       1.103958965691e-10       1.141783902808e-11      -9.685445433545e-15 
   37       1.647415146795e-10       6.176759867002e-15       2.656987191573e-13       6.136373754146e-17       1.044906287614e-10       1.085931135318e-11      -1.048598538627e-14 
   38       1.672212950021e-10       6.760057712849e-15       2.608119656118e-13       6.472928617524e-17       9.901153826727e-11       1.033267401821e-11      -1.072283206564e-14 
   39       1.697310876491e-10       7.378540830536e-15       2.543651885624e-13       6.818535965906e-17       9.394134101970e-11       9.840331958409e-12      -1.045900308281e-14 
