# Matter power spectrum P(k) at redshift z=3
# for k=1.04036e-05 to 1.4771 h/Mpc,
# number of wavenumbers equal to 614
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.040359364862e-05       5.068435688510e+00 
       2.323435961626e-05       1.102572249979e+01 
       3.610988238115e-05       1.689017302911e+01 
       4.906453455633e-05       2.272022865084e+01 
       6.213325276579e-05       2.854981455639e+01 
       7.535184675113e-05       3.440476175249e+01 
       8.875731828673e-05       4.030742347689e+01 
       1.023881941150e-04       4.627857493509e+01 
       1.162848771451e-04       5.233839414296e+01 
       1.304900201928e-04       5.850706206652e+01 
       1.450489265446e-04       6.480518476188e+01 
       1.600099815780e-04       7.125412653260e+01 
       1.754251194968e-04       7.787629783835e+01 
       1.913503288959e-04       8.469542131051e+01 
       2.078462002388e-04       9.173678903598e+01 
       2.249785173124e-04       9.902751856899e+01 
       2.428188931353e-04       1.065968114610e+02 
       2.614454484415e-04       1.144762152758e+02 
       2.809435274812e-04       1.226998874358e+02 
       3.014064411502e-04       1.313048564215e+02 
       3.229362210261e-04       1.403312725337e+02 
       3.456443593626e-04       1.498226363930e+02 
       3.696524990964e-04       1.598259884438e+02 
       3.950930242072e-04       1.703920368536e+02 
       4.221094843326e-04       1.815751944305e+02 
       4.508567688291e-04       1.934334878145e+02 
       4.815009257370e-04       2.060282948915e+02 
       5.142185026770e-04       2.194238602857e+02 
       5.491952734126e-04       2.336865356830e+02 
       5.866242111468e-04       2.488836940812e+02 
       6.267025846006e-04       2.650822778043e+02 
       6.696280932132e-04       2.823469623049e+02 
       7.155940298995e-04       3.007379535748e+02 
       7.647835660478e-04       3.203084864070e+02 
       8.173633884776e-04       3.411021500943e+02 
       8.734770657150e-04       3.631502288742e+02 
       9.332386535839e-04       3.864692933497e+02 
       9.967271326383e-04       4.110593006539e+02 
       1.063982268900e-03       4.369024419379e+02 
       1.135002385435e-03       4.639629103926e+02 
       1.209744331340e-03       4.921876583580e+02 
       1.288125670967e-03       5.215080876727e+02 
       1.370028844511e-03       5.518425005246e+02 
       1.455306829564e-03       5.830990547833e+02 
       1.477104874446e-03       5.910351683082e+02 
       1.543789704668e-03       6.151789342704e+02 
       1.635291495115e-03       6.479794620352e+02 
       1.729616754606e-03       6.813969413478e+02 
       1.826566471243e-03       7.153290850998e+02 
       1.925943043976e-03       7.496769698734e+02 
       2.027554223937e-03       7.843454706524e+02 
       2.131216033376e-03       8.192463907192e+02 
       2.236754755548e-03       8.542989744819e+02 
       2.344008133589e-03       8.894283864515e+02 
       2.452825932207e-03       9.245667232824e+02 
       2.563070011809e-03       9.596528802952e+02 
       2.674614048628e-03       9.946322616902e+02 
       2.787343012923e-03       1.029456379594e+03 
       2.901152494737e-03       1.064082383631e+03 
       3.015947945774e-03       1.098472558594e+03 
       3.131643887791e-03       1.132593821971e+03 
       3.248163123109e-03       1.166417245421e+03 
       3.365435971192e-03       1.199917615394e+03 
       3.483399546431e-03       1.233073039355e+03 
       3.601997085734e-03       1.265864596788e+03 
       3.721177329934e-03       1.298276029410e+03 
       3.840893959799e-03       1.330293463174e+03 
       3.961105085324e-03       1.361905155255e+03 
       4.081772785649e-03       1.393101261393e+03 
       4.202862696194e-03       1.423873621584e+03 
       4.324343639221e-03       1.454215564140e+03 
       4.446187293934e-03       1.484121729074e+03 
       4.568367902300e-03       1.513587911461e+03 
       4.690862006968e-03       1.542610924368e+03 
       4.813648217878e-03       1.571188479628e+03 
       4.936707004458e-03       1.599319083744e+03 
       5.060020510573e-03       1.627001945982e+03 
       5.183572389664e-03       1.654236896100e+03 
       5.307347657808e-03       1.681024152987e+03 
       5.431332562637e-03       1.707364632996e+03 
       5.555514466321e-03       1.733259708807e+03 
       5.679881741005e-03       1.758711023879e+03 
       5.804423675274e-03       1.783720546757e+03 
       5.929130390399e-03       1.808290533780e+03 
       6.053992765253e-03       1.832423497771e+03 
       6.179002368925e-03       1.856122180512e+03 
       6.304151400161e-03       1.879389527025e+03 
       6.429432632897e-03       1.902228666222e+03 
       6.554839367177e-03       1.924642876554e+03 
       6.680365384905e-03       1.946635568103e+03 
       6.806004909884e-03       1.968210260203e+03 
       6.931752571685e-03       1.989370559902e+03 
       7.057603372952e-03       2.010120145164e+03 
       7.183552659759e-03       2.030462750845e+03 
       7.309596094728e-03       2.050402157635e+03 
       7.435729632600e-03       2.069942184641e+03 
       7.561949498020e-03       2.089086682272e+03 
       7.688252165313e-03       2.107839527382e+03 
       7.814634340046e-03       2.126204617995e+03 
       7.941092942209e-03       2.144185867900e+03 
       8.067625090842e-03       2.161787202094e+03 
       8.194228089984e-03       2.179012551014e+03 
       8.320899415811e-03       2.195865846324e+03 
       8.447636704845e-03       2.212351012568e+03 
       8.574437743145e-03       2.228471963631e+03 
       8.701300456378e-03       2.244232903189e+03 
       8.828222900695e-03       2.259637926581e+03 
       8.955203254349e-03       2.274690324778e+03 
